360ONE IN Equity,price,volume,mc,pe,bm,div
2020-03-31,251.45,4376088.0,87666.3276,43.0381,2.8418,5.0
2020-04-30,238.26,1096896.0,83078.9153,40.7809,2.6927,5.0
2020-05-31,211.15,531448.0,73633.9214,36.1404,2.3863,5.0
2020-06-30,255.44,2623800.0,89083.0271,43.7206,2.8868,5.0
2020-07-31,267.56,1836900.0,93330.9982,45.7959,3.0239,5.0
2020-08-31,255.88,2266528.0,89346.4745,43.7955,2.8918,15.0
2020-09-30,240.44,7590704.0,83956.0057,41.1532,2.7173,15.0
2020-10-31,229.99,3014000.0,80369.9175,39.3646,2.5992,12.5
2020-11-30,253.91,4135756.0,88771.7964,43.4596,2.8696,12.5
2020-12-31,252.96,2564936.0,88696.9092,43.297,2.8589,12.5
2021-01-31,253.48,7536352.0,88876.6084,43.3847,2.8647,12.5
2021-02-28,303.1,5301620.0,106506.0617,51.8785,3.4255,17.5
2021-03-31,309.85,2531580.0,108921.9051,29.3419,3.8211,17.5
2021-04-30,281.84,2997808.0,99074.6408,26.6892,3.4757,17.5
2021-05-31,296.41,6950360.0,104239.4692,28.0694,3.6554,17.5
2021-06-30,291.09,4752696.0,102398.947,27.5651,3.5897,17.5
2021-07-31,352.83,6895796.0,124117.0001,33.4115,4.3511,17.5
2021-08-31,405.49,23896632.0,143361.5638,38.3984,5.0005,16.25
2021-09-30,393.0,6217552.0,139026.9883,37.2159,4.8465,16.25
2021-10-31,407.48,6745648.0,144147.6388,38.5866,5.025,16.25
2021-11-30,372.5,2771532.0,131820.6695,35.2746,4.5937,21.25
2021-12-31,354.91,38481532.0,125860.8226,33.6091,4.3768,21.25
2022-01-31,400.3,6289632.0,141973.1232,37.9072,4.9366,21.25
2022-02-28,382.89,5912396.0,135814.3422,36.2583,4.7218,13.75
2022-03-31,417.23,8517080.0,148044.4524,102.0734,4.9388,13.75
2022-04-30,430.29,8535764.0,152679.4351,105.2691,5.0934,13.75
2022-05-31,391.6,3605992.0,139032.3388,95.8043,4.6355,13.75
2022-06-30,370.26,7646188.0,131466.985,90.5841,4.3829,18.75
2022-07-31,417.99,4616300.0,148473.6341,102.2599,4.9478,18.75
2022-08-31,419.36,1902636.0,148988.0208,102.5963,4.9641,13.75
2022-09-30,460.08,5513672.0,163491.4754,112.5566,5.446,13.75
2022-10-31,442.85,4086152.0,157370.4285,108.3425,5.2421,18.0
2022-11-30,457.14,6361316.0,162542.6694,111.8379,5.4113,13.0
2022-12-31,444.13,28828056.0,158068.7739,108.6544,5.2572,13.0
2023-01-31,456.78,6816992.0,162602.1908,111.7492,5.407,17.25
2023-02-28,430.86,3734656.0,153418.1686,105.4098,5.1002,17.25
2023-03-31,430.7,4285462.0,153360.3069,23.2685,4.9126,17.25
2023-04-30,419.85,11810736.0,149504.2001,22.6823,4.7888,17.25
2023-05-31,418.5,9345817.0,149140.6592,22.6094,4.7734,21.25
2023-06-30,455.0,13624983.0,162436.9793,24.5813,5.1897,16.25
2023-07-31,521.65,6578014.0,186274.2447,28.1821,5.9499,20.25
2023-08-31,487.35,10231520.0,174127.1315,26.329,5.5587,16.5
2023-09-30,502.1,19676773.0,179772.841,27.1259,5.727,16.5
2023-10-31,525.1,10451208.0,188007.8048,28.3684,5.9893,12.25
2023-11-30,572.25,7972327.0,205025.3718,30.9157,6.5271,16.25
2023-12-31,709.85,28609245.0,254439.7442,38.3495,8.0965,16.25
2024-01-31,620.05,8769088.0,222316.5862,33.4981,7.0723,18.0
2024-02-29,718.95,13247273.0,257919.7825,38.8412,8.2003,18.0
2024-03-31,675.6,6564957.0,242447.5996,30.0534,7.028,18.0
2024-04-30,784.05,29919524.0,281366.2529,34.8777,8.1562,18.0
2024-05-31,776.15,9524823.0,280390.7739,34.5262,8.074,16.0
2024-06-30,980.15,22669364.0,355663.9019,43.601,10.1961,16.0
2024-07-31,1132.3,14711346.0,411618.4619,50.3692,11.7789,16.0
2024-08-31,1073.0,16620756.0,390654.1886,47.7313,11.162,14.0
2024-09-30,1039.6,10520184.0,379149.2808,46.2456,10.8146,14.0
2024-10-31,1090.5,21556410.0,398662.6476,48.5098,11.3441,14.0
2024-11-30,1115.05,9404630.0,432404.2415,49.6019,11.5995,14.0
2024-12-31,1254.8,14707445.0,487209.6421,55.8185,13.0532,14.0
2025-01-31,1007.75,17785599.0,391285.8757,44.8287,10.4833,10.5
2025-02-28,998.3,19480626.0,388396.3588,44.4084,10.3849,0.0
2025-03-31,942.65,28805249.0,370531.1486,34.7329,5.2449,0.0
2025-04-30,986.05,30919017.0,387590.5576,36.332,5.4863,9.0
2025-05-31,997.45,14339125.0,393137.684,36.752,5.5498,9.0
2025-06-30,1194.5,33261488.0,470803.5125,44.0125,6.6461,9.0
2025-07-31,1052.7,53298403.0,425542.0869,38.7878,5.8572,9.0
2025-08-31,1018.1,13998595.0,412013.3415,37.5129,5.6647,9.0
2025-09-30,1024.0,16527193.0,414474.6926,37.7303,5.6975,9.0
2025-10-31,1080.7,18446175.0,437424.6097,39.8195,6.013,12.0
2025-11-30,1183.2,16415349.0,479160.9027,43.5962,6.5833,12.0
2025-12-31,1190.0,14949806.0,482271.7344,43.8467,6.6211,12.0
2026-01-31,1134.3,30981382.0,459995.3117,41.7944,6.3112,12.0
2026-02-28,1103.6,16745258.0,447545.4695,40.6632,6.1404,12.0
2026-03-31,1082.6,4343262.0,439445.0079,39.8895,6.0235,12.0
