ABB IN Equity,price,volume,mc,pe,bm,div
1996-05-31,97.24,277667.0,22366.0794,32.2069,7.3695,0.6
1996-06-30,101.3,1434333.0,23297.9994,33.5489,7.6765,0.6
1996-07-31,102.51,586000.0,23577.5754,33.9515,7.7686,0.6
1996-08-31,107.58,1041220.0,24742.4753,35.6289,8.1525,0.6
1996-09-30,107.51,2260679.0,24726.9433,35.6065,8.1474,0.6
1996-10-31,106.53,1012413.0,24501.7294,35.2822,8.0731,0.6
1996-11-30,101.43,816413.0,23329.0634,33.5936,7.6868,0.6
1996-12-31,99.72,318098.0,22935.6058,33.027,7.5571,0.9
1997-01-31,98.23,900930.0,22593.9015,27.3694,5.0465,0.9
1997-02-28,104.45,420465.0,24022.4396,29.1004,5.3657,0.9
1997-03-31,106.52,786290.0,24498.7466,29.6774,5.4721,1.45
1997-04-30,115.66,451180.0,26600.71,32.2237,5.9416,1.45
1997-05-31,113.72,464775.0,26155.4665,31.6843,5.8421,1.45
1997-06-30,120.97,486810.0,27822.541,33.7038,6.2145,1.45
1997-07-31,109.13,687945.0,25099.3076,30.4049,5.6062,1.45
1997-08-31,107.15,2803615.0,24643.7096,29.853,5.5044,1.45
1997-09-30,108.41,386760.0,24933.6356,30.2042,5.5692,1.45
1997-10-31,115.07,434145.0,26724.964,32.0606,5.9115,1.45
1997-11-30,97.2,432220.0,22355.3651,27.0809,4.9933,1.45
1997-12-31,84.64,1685715.0,19466.4597,27.0289,3.9391,1.45
1998-01-31,80.18,2223230.0,18441.3642,25.6056,3.7317,1.45
1998-02-28,78.11,8016935.0,17965.0572,24.9442,3.6353,1.0
1998-03-31,100.08,3682985.0,23018.0531,31.9602,4.6578,1.0
1998-04-30,107.82,8787145.0,24799.0271,34.4331,5.0182,1.0
1998-05-31,94.32,2898395.0,21692.6771,30.12,4.3896,1.0
1998-06-30,76.58,4096245.0,17613.0042,24.4554,3.5641,1.0
1998-07-31,74.51,2916300.0,17136.6972,23.794,3.4677,1.0
1998-08-31,83.06,1365200.0,19104.0522,26.5257,3.8658,1.0
1998-09-30,90.22,1970860.0,20750.4176,28.8116,4.199,1.0
1998-10-31,86.03,891705.0,19787.4492,27.4746,4.0041,1.0
1998-11-30,91.8,1139285.0,21112.8251,29.3148,4.2723,1.0
1998-12-31,90.99,2182500.0,20926.4441,49.932,4.0993,1.0
1999-01-31,90.85,1963195.0,20895.3806,49.8579,4.0932,1.0
1999-02-28,93.64,1076910.0,21537.3596,51.3897,4.2189,1.0
1999-03-31,84.46,2871480.0,19425.0417,46.3496,3.8052,1.0
1999-04-30,52.22,5162440.0,12011.2198,28.6596,2.3529,1.0
1999-05-31,53.63,4915740.0,12334.2802,29.4305,2.4162,1.0
1999-06-30,63.75,8940885.0,14661.9717,34.9845,2.8721,1.0
1999-07-31,72.93,4994470.0,16774.2897,40.0247,3.2859,1.0
1999-08-31,82.48,8530465.0,18969.4437,45.2625,3.7159,1.0
1999-09-30,72.39,3456725.0,16650.0357,39.7282,3.2616,1.0
1999-10-31,72.03,7184450.0,16567.1997,39.5305,3.2453,1.0
1999-11-30,64.47,7349130.0,14827.6437,35.3798,2.9046,1.0
1999-12-31,45.02,4103535.0,10354.4998,25.067,2.5297,1.0
2000-01-31,47.55,4062005.0,10936.4227,26.4758,2.6719,1.0
2000-02-29,50.42,8553060.0,11597.0398,28.0751,2.8333,1.0
2000-03-31,38.72,3696935.0,8904.8698,21.5576,2.1756,1.0
2000-04-30,29.54,3900185.0,6794.6228,16.449,1.66,1.0
