ADSEZ IN Equity,price,volume,mc,pe,bm,div
2007-11-30,184.31,335445800.0,369245.5504,173.1046,44.4269,0.0
2007-12-31,253.76,267085435.0,508381.4969,238.3323,61.1674,0.0
2008-01-31,167.53,107372920.0,335628.7523,157.3448,40.3822,0.0
2008-02-29,147.13,39722630.0,294759.4958,138.185,35.4649,0.0
2008-03-31,115.75,76499395.0,231892.9629,103.1279,8.8601,0.0
2008-04-30,152.03,108121885.0,304576.1309,135.4517,11.6371,0.0
2008-05-31,158.08,162503930.0,316696.6702,140.842,12.1002,0.0
2008-06-30,98.83,122482820.0,197995.5207,88.053,7.5649,0.0
2008-07-31,115.6,250444240.0,231592.4537,102.9942,8.8486,0.0
2008-08-31,115.45,95159240.0,231291.9444,102.8606,8.8371,0.0
2008-09-30,86.33,68168465.0,172953.0841,76.916,6.6081,0.3
2008-10-31,71.58,46064720.0,143403.0089,63.7745,5.4791,0.3
2008-11-30,51.59,28604000.0,103355.1443,45.9643,3.949,0.3
2008-12-31,65.06,34570925.0,130340.874,57.9654,4.98,0.3
2009-01-31,77.23,80203680.0,154722.1903,68.8084,5.9116,0.3
2009-02-28,68.33,39795985.0,136891.9754,60.8789,5.2303,0.8
2009-03-31,64.66,88694370.0,129539.516,29.9629,4.426,0.8
2009-04-30,77.75,108868435.0,155763.9557,36.0287,5.322,0.8
2009-05-31,122.24,122832840.0,244894.996,56.645,8.3674,0.8
2009-06-30,120.82,83542755.0,242050.1752,55.987,8.2702,0.8
2009-07-31,120.27,74188920.0,240948.308,55.7322,8.2325,0.8
2009-08-31,111.5,63872440.0,223378.5345,51.6682,7.6322,0.6
2009-09-30,103.97,45619770.0,208292.9707,48.1789,7.1168,0.6
2009-10-31,100.03,57986450.0,200399.5946,46.3531,6.8471,0.6
2009-11-30,108.57,36769730.0,217508.5873,50.3105,7.4317,0.6
2009-12-31,110.69,33462935.0,221755.7846,51.2929,7.5768,0.6
2010-01-31,119.04,76873715.0,238484.1322,55.1622,8.1483,0.6
2010-02-28,134.77,65254005.0,269997.5344,62.4513,9.2251,0.7
2010-03-31,157.92,107487630.0,316376.127,46.8013,9.1676,0.7
2010-04-30,147.8,160183710.0,296101.7704,43.8021,8.5801,0.7
2010-05-31,139.29,53526115.0,279052.8795,41.2801,8.086,0.7
2010-06-30,147.7,22414815.0,295901.4309,43.7725,8.5743,0.7
2010-07-31,144.83,38365320.0,290151.6874,42.9219,8.4077,0.7
2010-08-31,153.73,54462225.0,307981.9023,45.5595,8.9243,0.8
2010-09-30,167.65,32434001.0,335869.175,49.6849,9.7324,0.8
2010-10-31,151.9,40498643.0,304315.7035,45.0172,8.8181,0.8
2010-11-30,152.4,34572662.0,305317.401,45.1654,8.8471,0.8
2010-12-31,144.05,20863905.0,288589.0526,42.6907,8.3624,0.8
2011-01-31,140.55,21265717.0,281577.17,41.6535,8.1592,0.8
2011-02-28,138.0,27838740.0,276468.5127,40.8978,8.0112,0.8
2011-03-31,136.65,23695810.0,273763.9294,29.8362,6.5383,0.8
2011-04-30,144.45,21873870.0,289390.4106,31.5393,6.9115,0.8
2011-05-31,161.45,74753962.0,323448.1259,35.2511,7.7249,0.9
2011-06-30,161.95,30746148.0,324449.8234,35.3603,7.7489,0.9
2011-07-31,143.55,26189083.0,287587.3551,31.3428,6.8685,0.9
2011-08-31,152.1,58178600.0,304716.3825,33.2096,7.2776,0.9
2011-09-30,164.35,36206297.0,329257.9715,35.8843,7.8637,0.9
2011-10-31,163.95,16288648.0,328456.6135,35.7969,7.8446,0.9
