AEGISLOG IN Equity,price,volume,mc,pe,bm,div
2010-03-31,13.08,38945892.0,4099.9504,9.7919,2.2192,0.285
2010-04-30,18.01,191643767.0,5644.6003,13.481,3.0553,0.285
2010-05-31,16.73,51883141.0,5243.1606,12.5222,2.838,0.285
2010-06-30,22.81,245265306.0,7147.8841,18.5907,4.129,0.345
2010-07-31,27.36,391532055.0,8573.1363,22.2976,4.129,0.345
2010-08-31,29.8,215809605.0,9330.2309,24.2878,4.129,0.345
2010-09-30,36.49,212439650.0,11426.4019,30.4495,5.6036,0.345
2010-10-31,32.92,216997080.0,10308.6528,27.4709,5.0554,0.345
2010-11-30,32.63,70294050.0,10216.2898,27.2248,5.0101,0.38
2010-12-31,33.92,38123440.0,10620.1823,27.8463,5.143,0.38
2011-01-31,28.01,20190270.0,8769.7909,22.9945,5.143,0.38
2011-02-28,28.86,16754250.0,9034.3562,23.6882,5.143,0.38
2011-03-31,28.85,15166750.0,9031.2252,20.7443,3.4626,0.38
2011-04-30,26.64,17390910.0,8905.6718,19.1585,3.1979,0.38
2011-05-31,23.12,7272910.0,7728.9464,16.6271,2.7754,0.38
2011-06-30,22.31,37436490.0,7456.4943,13.0645,2.698,0.38
2011-07-31,22.95,11291810.0,7670.4444,13.4394,2.698,0.4
2011-08-31,18.84,6854800.0,6296.4838,11.0321,2.698,0.4
2011-09-30,18.71,5040980.0,6254.6967,22.5885,2.2722,0.4
2011-10-31,18.1,2814810.0,6050.7755,21.8521,2.1982,0.4
2011-11-30,13.97,4064800.0,4668.4575,16.8599,1.696,0.4
2011-12-31,10.57,3592690.0,3531.8477,12.5378,1.2612,0.4
2012-01-31,16.61,16519810.0,5552.673,12.5378,1.2612,0.2
2012-02-29,16.09,7274060.0,5378.8386,12.5378,1.2612,0.2
2012-03-31,14.95,4360130.0,4997.74,25.339,1.7123,0.2
2012-04-30,15.4,5958880.0,5146.5022,26.0932,1.7633,0.2
2012-05-31,13.44,1843780.0,4492.9515,22.7797,1.5394,0.2
2012-06-30,13.01,1623790.0,4349.2038,51.8327,1.4689,0.2
2012-07-31,11.26,8262570.0,3762.5126,44.8406,1.4689,0.2
2012-08-31,11.9,8748590.0,3978.1342,47.4104,1.4689,0.2
2012-09-30,16.04,25044980.0,5362.1237,8.2851,1.614,0.2
2012-10-31,16.7,47379440.0,5581.0882,8.6235,1.6799,0.2
2012-11-30,17.74,19412730.0,5932.1001,9.1658,1.7856,0.2
2012-12-31,17.89,35788050.0,5980.5731,5.2325,1.7856,0.2
2013-01-31,16.9,11831830.0,5647.9476,4.9415,1.7856,0.2
2013-02-28,13.03,8155550.0,4354.2183,3.8096,1.7856,0.375
2013-03-31,12.56,12712730.0,4198.7702,12.4851,1.3549,0.375
2013-04-30,14.27,5249450.0,4768.7466,14.1799,1.5388,0.375
2013-05-31,14.57,8532110.0,4870.7071,14.4831,1.5717,0.375
2013-06-30,13.27,2449040.0,4436.1195,10.2868,1.3603,0.375
2013-07-31,10.9,2276540.0,3643.8359,8.4496,1.3603,0.4
2013-08-31,11.04,2586790.0,3688.966,8.5543,1.3603,0.4
2013-09-30,12.91,5943250.0,4314.1012,16.091,1.2508,0.4
2013-10-31,15.11,8265120.0,5049.5543,18.8342,1.4641,0.4
2013-11-30,15.36,6969180.0,5134.8,19.1521,1.4888,0.65
2013-12-31,18.12,16890040.0,6055.7879,12.2564,1.7457,0.65
2014-01-31,15.41,11805860.0,5151.5148,10.4263,1.7457,0.65
2014-02-28,14.46,9167980.0,4833.9328,9.7835,1.7457,0.475
2014-03-31,16.97,22419680.0,5667.9803,9.2834,1.6187,0.475
2014-04-30,16.92,19240120.0,5649.6103,9.2533,1.6134,0.475
2014-05-31,18.6,42652180.0,6210.7303,10.1723,1.7737,0.475
2014-06-30,24.12,34999580.0,8056.0804,12.5822,2.2768,0.475
2014-07-31,30.8,28063100.0,10285.5305,16.0642,2.2768,0.55
2014-08-31,34.12,25542000.0,11396.0805,17.7986,2.2768,0.55
2014-09-30,35.45,23821870.0,11840.3005,17.1588,3.0337,0.55
2014-10-31,37.06,6037860.0,12378.0406,17.938,3.1715,0.55
2014-11-30,45.95,40001560.0,15347.3007,22.241,3.9323,0.525
2014-12-31,44.91,13415600.0,14999.9407,16.0278,3.7988,0.525
2015-01-31,42.3,6570670.0,14128.2006,15.0964,3.7988,0.525
2015-02-28,41.7,7381990.0,13926.1306,14.8804,3.7988,0.75
2015-03-31,60.61,44694750.0,20245.4109,19.5722,4.7374,0.75
2015-04-30,69.22,36133250.0,23119.4811,22.3507,5.4099,0.75
2015-05-31,70.68,9126650.0,23605.4511,22.8205,5.5236,0.75
2015-06-30,79.55,22217800.0,26568.0312,23.8159,6.2481,0.75
2015-07-31,87.28,16024860.0,29149.8513,26.1302,6.2481,0.75
2015-08-31,80.09,12213590.0,26748.3912,23.9775,6.2481,0.75
2015-09-30,88.3,8247260.0,29492.2,26.1862,6.1542,0.75
2015-10-31,99.9,10921858.0,33366.6,29.6263,6.9627,0.75
2015-11-30,107.95,15255604.0,36055.3,32.0136,7.5237,0.8
2015-12-31,104.95,8163437.0,35053.3,33.833,7.461,0.8
2016-01-31,103.8,4875008.0,34669.2,33.4623,7.461,0.8
2016-02-29,85.25,2259937.0,28473.5,27.4823,7.461,0.85
2016-03-31,96.95,7982141.0,32381.3,28.5147,4.3797,0.9
2016-04-30,115.15,12605825.0,38460.1,33.8676,5.2019,0.9
2016-05-31,114.6,9136530.0,38276.4,33.7059,5.1771,0.9
2016-06-30,128.55,23521827.0,42935.7,37.114,5.7463,0.9
2016-07-31,125.05,30307514.0,41766.7,36.1035,5.7463,0.9
2016-08-31,131.5,38036119.0,43921.0,37.9657,5.7463,0.9
2016-09-30,153.6,44599055.0,51302.4,45.128,9.144,0.9
2016-10-31,158.9,6142369.0,53072.6,46.6851,9.4595,0.9
2016-11-30,149.15,7548742.0,49816.1,43.8206,8.8791,0.95
2016-12-31,129.0,7331770.0,43086.0,35.797,7.6111,0.95
2017-01-31,129.25,6341146.0,43169.5,35.8664,7.6111,0.95
2017-02-28,202.1,20148109.0,67501.4,56.082,7.6111,0.7
2017-03-31,194.6,7963838.0,64996.4,54.7606,7.7636,0.7
2017-04-30,194.4,7857024.0,64929.6,54.7043,7.7557,0.7
2017-05-31,211.8,9774262.0,70741.2,59.6006,8.4498,0.7
2017-06-30,189.15,6095464.0,63176.1,46.7037,7.4724,0.7
2017-07-31,189.65,9879307.0,63343.1,46.8272,7.4724,0.7
2017-08-31,189.65,5513699.0,63343.1,46.8272,7.4724,0.7
2017-09-30,235.95,15999778.0,78807.3,48.4497,8.5609,0.7
2017-10-31,232.5,22841875.0,77655.0,47.7413,8.4357,0.7
2017-11-30,232.4,4783479.0,77621.6,47.7207,8.4321,0.7
2017-12-31,286.8,8541138.0,95791.2,53.4078,10.4059,0.7
2018-01-31,249.0,4862904.0,83166.0,46.3687,10.4059,0.7
2018-02-28,252.6,4234570.0,84368.4,47.0391,10.4059,0.85
2018-03-31,259.6,5417093.0,86706.4,43.8172,7.182,0.85
2018-04-30,289.25,3971140.0,96609.5,48.8218,8.0023,0.85
2018-05-31,273.0,3236662.0,91182.0,46.079,7.5527,0.85
2018-06-30,213.4,3255861.0,71275.6,34.6732,5.7489,0.85
2018-07-31,237.5,2854016.0,79325.0,38.589,5.7489,0.85
2018-08-31,220.55,2778746.0,73663.7,35.8349,5.7489,1.25
2018-09-30,198.7,2278978.0,66365.8,32.818,5.2232,1.25
2018-10-31,217.1,2851596.0,72511.4,35.857,5.7069,1.25
2018-11-30,210.5,2219038.0,70307.0,34.7669,5.5334,1.25
2018-12-31,204.1,2484136.0,68169.4,32.7892,5.0563,1.25
2019-01-31,189.9,2008365.0,63426.6,30.5079,5.0563,1.25
2019-02-28,198.9,3132283.0,66432.6,31.9538,5.0563,1.25
2019-03-31,203.2,4286738.0,67868.8,30.661,4.8782,1.25
2019-04-30,195.15,2972449.0,65180.1,29.4464,4.6849,1.25
2019-05-31,226.0,2857774.0,75484.0,34.1013,5.4255,1.25
2019-06-30,199.5,3076922.0,66633.0,29.3931,4.847,1.25
2019-07-31,186.45,2312453.0,63330.8501,27.4704,4.847,1.4
2019-08-31,189.65,2732429.0,64417.7834,27.9419,4.847,1.4
2019-09-30,181.25,2604537.0,61564.5834,44.1287,4.0757,1.4
2019-10-31,171.6,3126209.0,58286.8001,41.7792,3.8587,1.4
2019-11-30,195.6,5873945.0,66438.8001,47.6225,4.3984,1.4
2019-12-31,193.45,3910245.0,65708.5167,50.8102,4.268,1.4
2020-01-31,206.6,4759395.0,70175.1334,54.2641,4.268,1.4
2020-02-29,223.3,9016156.0,75847.5667,58.6504,4.268,1.4
2020-03-31,139.45,6027633.0,47366.5167,47.1115,2.8627,1.4
2020-04-30,170.8,2553897.0,58015.0667,57.7027,3.5063,1.4
2020-05-31,175.65,3291126.0,59662.4501,59.3412,3.6058,1.4
2020-06-30,176.5,6243816.0,59951.1667,82.8638,3.6766,1.4
2020-07-31,190.1,11610361.0,64570.6334,89.2488,3.6766,1.4
2020-08-31,212.5,10343530.0,73383.3335,99.7653,3.6766,1.4
2020-09-30,228.85,9633178.0,79029.5335,45.6372,4.5005,1.7
