APHS IN Equity,price,volume,mc,pe,bm,div
2020-03-31,1139.05,30010876.0,158470.5124,35.0766,47.4605,6.5
2020-04-30,1394.35,26714960.0,193989.1655,42.9384,58.098,6.5
2020-05-31,1356.95,20333552.0,188785.8845,41.7867,56.5396,6.5
2020-06-30,1349.85,21443013.0,187798.0959,100.7858,56.8771,6.5
2020-07-31,1674.6,24152273.0,232978.9913,125.033,56.8771,6.5
2020-08-31,1634.55,23859715.0,227407.0286,122.0427,56.8771,6.5
2020-09-30,2148.05,40866046.0,298847.7978,182.3746,9.5301,6.0
2020-10-31,2119.45,29175520.0,294868.8182,179.9463,9.4032,6.0
2020-11-30,2347.9,44217728.0,326651.9608,199.3423,10.4168,6.0
2020-12-31,2412.8,25996251.0,335681.1836,165.9624,10.6317,6.0
2021-01-31,2561.25,22292867.0,368268.4502,176.1734,10.6317,6.0
2021-02-28,3058.65,30541693.0,439786.9381,210.3866,10.6317,6.0
2021-03-31,2902.65,20454426.0,417356.5317,275.4399,9.068,6.0
2021-04-30,3197.5,21425195.0,459751.4376,303.419,9.9892,2.75
2021-05-31,3168.75,15535293.0,455617.6287,300.6908,9.8994,2.75
2021-06-30,3619.85,20655450.0,520478.887,60.7987,11.219,2.75
2021-07-31,4035.0,12807081.0,580171.091,67.7716,11.219,2.75
2021-08-31,4969.55,31895958.0,714545.0422,83.4682,11.219,5.75
2021-09-30,4481.6,18333817.0,644385.3188,61.8835,12.1471,3.0
2021-10-31,4262.05,10895572.0,612817.3974,58.8518,11.552,3.0
2021-11-30,5687.75,27415036.0,817811.1829,78.5384,15.4163,3.0
2021-12-31,5013.4,16819033.0,720849.9994,64.3665,13.4729,3.0
2022-01-31,4457.35,20451851.0,640898.5409,57.2274,13.4729,3.0
2022-02-28,4802.8,15657059.0,690568.9506,61.6626,13.4729,3.0
2022-03-31,4516.1,20294620.0,649345.8895,62.3871,11.5474,3.0
2022-04-30,4454.35,12777273.0,640467.1869,61.534,11.3895,3.0
2022-05-31,3979.3,18459373.0,572162.2856,54.9715,10.1748,3.0
2022-06-30,3683.5,15713882.0,529630.7841,60.9766,9.4939,3.0
2022-07-31,4212.3,10346794.0,605664.1107,69.7304,9.4939,3.0
2022-08-31,4322.9,12585703.0,621566.6937,71.5613,9.4939,11.75
2022-09-30,4383.4,14253233.0,630265.6655,76.4213,10.5166,11.75
2022-10-31,4517.5,7382315.0,649547.188,78.7592,10.8383,11.75
2022-11-30,4726.4,15709155.0,679583.8028,82.4012,11.3395,11.75
2022-12-31,4477.6,10262579.0,643810.1802,85.1783,10.855,11.75
2023-01-31,4255.9,8568396.0,611933.1217,80.9608,10.855,11.75
2023-02-28,4401.65,10439340.0,632889.7355,83.7335,10.855,6.0
2023-03-31,4310.9,7406774.0,619841.2779,76.5057,10.0016,6.0
2023-04-30,4513.7,8374695.0,649000.8063,80.1048,10.4721,6.0
2023-05-31,4621.95,9394372.0,664565.4954,82.026,10.7233,6.0
2023-06-30,5098.2,12604480.0,733042.9383,111.1024,11.8948,6.0
2023-07-31,5173.45,8970041.0,743862.7338,112.7423,11.8948,6.0
2023-08-31,4814.1,11759173.0,692193.7173,104.9111,11.8948,15.0
2023-09-30,5137.75,8601669.0,738729.6215,107.2657,11.3513,15.0
2023-10-31,4819.9,8127625.0,693027.6683,100.6297,10.649,15.0
2023-11-30,5528.95,9548598.0,794978.1793,115.4332,12.2156,15.0
2023-12-31,5704.1,9868824.0,820162.062,103.8998,12.7272,15.0
2024-01-31,6352.95,7632672.0,913456.7367,115.7186,12.7272,15.0
2024-02-29,6101.6,10929238.0,877316.4632,111.1403,12.7272,12.0
2024-03-31,6356.8,11615982.0,914010.3076,101.7088,13.1789,12.0
2024-04-30,5947.1,10494846.0,855101.7336,95.1536,12.3295,12.0
2024-05-31,5839.2,10914003.0,839587.3692,93.4272,12.1058,12.0
2024-06-30,6185.7,8502025.0,889408.7528,85.7458,12.8383,12.0
2024-07-31,6615.3,7302734.0,951178.6415,91.7009,12.8383,12.0
2024-08-31,6927.5,10207557.0,996068.2114,96.0286,12.8383,16.0
2024-09-30,7199.15,7749676.0,1035127.313,87.4957,13.8011,16.0
2024-10-31,7022.7,5554338.0,1009756.511,85.3512,13.4629,16.0
2024-11-30,6828.9,9204268.0,981891.0442,82.9959,13.0914,16.0
2024-12-31,7296.35,6614254.0,1049103.182,80.0829,14.0218,16.0
2025-01-31,6810.5,7653690.0,979245.4065,74.7503,14.0218,16.0
2025-02-28,6052.6,9135526.0,870271.015,66.4318,14.0218,19.0
2025-03-31,6616.2,7270145.0,951308.0476,65.7936,11.5839,19.0
2025-04-30,6977.0,9095746.0,1003185.552,69.3815,12.2156,19.0
2025-05-31,6880.5,7633290.0,989310.3325,68.4218,12.0467,19.0
2025-06-30,7242.0,9699536.0,1041288.486,66.1793,12.7961,19.0
2025-07-31,7498.0,11970386.0,1078097.358,68.5187,12.7961,19.0
2025-08-31,7610.0,10694775.0,1094201.24,69.5422,12.7961,19.0
2025-09-30,7409.0,6165120.0,1065300.524,63.7169,11.7152,19.0
2025-10-31,7681.0,6765557.0,1104409.95,66.0561,12.1453,19.0
2025-11-30,7335.5,6755934.0,1054732.351,63.0848,11.599,19.0
2025-12-31,7042.5,7024414.0,1012603.447,56.1917,11.0527,19.0
2026-01-31,6960.5,9598681.0,1000813.105,55.5374,11.0527,19.0
2026-02-28,7821.5,9674439.0,1124611.695,62.4072,11.0527,20.0
2026-03-31,7779.5,1643005.0,1118572.739,62.0721,11.0527,20.0
