APNT IN Equity,price,volume,mc,pe,bm,div
2002-03-31,21.87,12715140.0,21056.2163,19.8378,5.1756,0.5
2002-04-30,21.47,6084420.0,20667.891,19.4719,5.0801,0.5
2002-05-31,19.48,2243475.0,18751.939,17.6668,4.6092,0.5
2002-06-30,21.62,6551910.0,20815.5188,19.611,5.1164,0.5
2002-07-31,21.87,4783260.0,21053.007,19.8348,5.1748,0.6
2002-08-31,22.67,743175.0,21823.239,20.5604,5.3641,0.6
2002-09-30,22.7,731955.0,21858.5413,20.5937,5.3728,0.6
2002-10-31,21.99,5835195.0,21174.9604,19.9497,5.2048,0.6667
2002-11-30,21.67,6602085.0,20860.449,19.6533,5.1275,0.6667
2002-12-31,21.64,6265245.0,20837.9839,19.6322,5.1219,0.6667
2003-01-31,21.97,5044515.0,21149.286,19.9255,5.1985,0.6667
2003-02-28,21.06,4053030.0,20276.3565,19.103,4.9839,0.6667
2003-03-31,22.01,4454040.0,21187.7976,15.1806,4.4369,0.6667
2003-04-30,22.13,1099530.0,21306.5417,15.2657,4.4618,0.6667
2003-05-31,25.16,13768545.0,24220.586,17.3535,5.072,0.6667
2003-06-30,25.21,11125320.0,24275.1441,17.3926,5.0834,0.6667
2003-07-31,26.59,1953615.0,25508.4577,18.3445,5.3616,0.7333
2003-08-31,30.79,7336365.0,29644.2828,21.2395,6.2078,0.7333
2003-09-30,30.36,7715110.0,29230.2833,20.9429,6.1211,0.7333
2003-10-31,27.33,4005010.0,26214.875,18.8527,5.5102,0.7333
2003-11-30,30.85,5309660.0,29591.2512,21.2809,6.2199,0.7833
2003-12-31,33.61,11321270.0,32243.433,23.1882,6.7773,0.7833
2004-01-31,32.21,6230090.0,30890.9642,22.2156,6.493,0.7833
2004-02-29,29.99,5757440.0,28771.1371,20.6911,6.0475,0.7833
2004-03-31,30.38,4785630.0,29140.4282,20.1122,5.5036,0.7833
2004-04-30,30.83,16986380.0,29547.1627,20.4102,5.5851,0.7833
2004-05-31,29.5,7154290.0,28272.5041,19.5297,5.3442,0.7833
2004-06-30,31.3,2828760.0,30022.9594,20.7213,5.6703,0.85
2004-07-31,31.93,1329870.0,30627.2554,21.1384,5.7844,0.85
2004-08-31,31.57,1609870.0,30277.1474,20.8967,5.7183,0.85
2004-09-30,32.39,1318720.0,31073.2834,21.4462,5.8687,0.85
2004-10-31,29.54,3705210.0,28334.7675,19.5561,5.3514,0.85
2004-11-30,30.0,7182660.0,28775.9995,19.8607,5.4348,0.9
2004-12-31,32.02,15462890.0,30708.7874,21.1947,5.7998,0.9
2005-01-31,35.99,10709890.0,34516.8113,23.8229,6.519,0.9
2005-02-28,35.55,7685560.0,34094.7633,23.5316,6.4393,0.9
2005-03-31,39.2,15991000.0,37595.8433,21.5955,6.6286,0.9
2005-04-30,37.21,6709890.0,35687.0353,20.499,6.2921,0.9
2005-05-31,38.42,9511370.0,36847.6673,21.1657,6.4967,0.9
2005-06-30,41.1,8760930.0,39423.0377,22.6451,6.9508,0.95
2005-07-31,45.56,7729030.0,43696.2648,25.0997,7.7042,0.95
2005-08-31,48.46,17011260.0,46482.735,26.7002,8.1955,0.95
2005-09-30,50.47,22986260.0,48410.723,27.8077,8.5354,0.95
2005-10-31,48.4,56014400.0,46420.3871,26.6644,8.1845,1.0
2005-11-30,52.53,16240450.0,50381.8748,28.94,8.8829,1.0
2005-12-31,57.88,28458850.0,55513.5841,31.8877,9.7877,1.0
2006-01-31,61.44,10027100.0,58928.329,33.8491,10.3898,1.0
2006-02-28,66.96,12869530.0,64223.102,36.8905,11.3233,1.0
2006-03-31,64.6,9364880.0,61968.9867,29.2103,9.589,1.0
2006-04-30,64.39,11045260.0,61014.5847,29.1108,9.5563,1.0
2006-05-31,57.06,16511770.0,54731.8378,25.7989,8.4691,1.0
2006-06-30,59.21,18824850.0,56789.3175,26.7687,8.7875,1.25
2006-07-31,61.03,9147790.0,58535.0578,27.5916,9.0576,1.25
2006-08-31,63.59,10402550.0,60995.4007,28.7513,9.4383,1.25
2006-09-30,67.61,7258940.0,64851.3766,30.5689,10.035,1.25
2006-10-31,66.88,15156880.0,64146.3661,30.2366,9.9259,1.25
2006-11-30,71.3,8639240.0,68395.6133,32.2396,10.5834,1.35
2006-12-31,73.65,17388450.0,70644.9326,33.2998,10.9315,1.35
2007-01-31,79.59,9724100.0,76342.5687,35.9855,11.8131,1.35
2007-02-28,73.71,18698490.0,70697.6884,33.3247,10.9397,1.35
2007-03-31,76.26,14139210.0,73148.4393,25.3296,9.4046,2.2
2007-04-30,79.09,5370870.0,75862.9697,26.2696,9.7536,2.2
2007-05-31,83.02,11493930.0,79627.8218,27.5733,10.2377,2.2
2007-06-30,81.02,14851150.0,77709.4258,26.909,9.991,1.125
2007-07-31,88.59,8540650.0,84975.3506,29.425,10.9252,1.125
2007-08-31,94.3,6405530.0,90452.3712,31.3216,11.6294,1.125
2007-09-30,98.84,23073010.0,94802.5302,32.8279,12.1886,1.125
2007-10-31,103.23,20509920.0,99018.2141,34.2877,12.7307,1.4
2007-11-30,99.0,14217500.0,94960.7982,32.8827,12.209,1.4
2007-12-31,109.96,11686750.0,105468.834,36.5214,13.56,1.4
2008-01-31,124.62,31912510.0,119530.7057,41.3907,15.3679,1.4
2008-02-29,111.5,9060480.0,106950.798,37.0345,13.7505,1.4
2008-03-31,119.99,42027020.0,115094.4058,28.1271,11.716,1.4
2008-04-30,128.03,4328520.0,122806.3797,30.0117,12.501,1.4
2008-05-31,128.59,3780890.0,123343.5256,30.143,12.5557,0.75
2008-06-30,114.93,20346050.0,110236.0579,26.9398,11.2214,2.1
2008-07-31,120.44,7560000.0,115530.8358,28.2337,11.7604,2.1
2008-08-31,122.93,3925670.0,117909.6577,28.815,12.0025,2.1
2008-09-30,118.72,5804730.0,113871.4258,27.8282,11.5915,2.1
2008-10-31,95.49,12139370.0,91589.2103,22.3828,9.3233,1.7
2008-11-30,88.96,13031600.0,85281.3374,20.8521,8.6857,1.7
2008-12-31,89.5,8515290.0,85799.0365,20.9787,8.7384,1.7
2009-01-31,78.88,19447650.0,75617.4647,18.4892,7.7014,1.7
2009-02-28,78.64,6392260.0,75392.1702,18.4341,7.6785,1.7
2009-03-31,78.64,9562850.0,75387.3767,18.9573,6.269,1.7
2009-04-30,88.83,6966700.0,85156.5299,21.4139,7.0814,1.7
2009-05-31,108.0,10688290.0,103539.603,26.0366,8.61,1.7
2009-06-30,118.78,6692300.0,113874.3953,28.6355,9.4694,1.75
2009-07-31,141.14,10614720.0,135310.9219,34.026,11.252,1.75
2009-08-31,140.03,13706320.0,134246.7708,33.7584,11.1635,1.75
2009-09-30,140.57,8971460.0,134769.2564,33.8898,11.207,1.75
2009-10-31,164.23,10145190.0,157442.512,39.5914,13.0924,1.95
2009-11-30,167.97,11960020.0,161032.8376,40.4942,13.391,1.95
2009-12-31,179.72,6951220.0,172297.5629,43.3269,14.3277,1.95
2010-01-31,185.22,8507370.0,177570.4131,44.6528,14.7662,1.95
2010-02-28,180.99,12836150.0,173519.9055,43.6343,14.4294,1.95
2010-03-31,203.89,17788380.0,195464.5551,23.4028,11.4367,1.95
2010-04-30,207.88,9429750.0,199294.5677,23.8613,11.6608,1.95
2010-05-31,208.61,6966710.0,199994.4247,23.9451,11.7018,1.95
2010-06-30,230.18,16828530.0,220673.5783,26.421,12.9117,2.7
2010-07-31,260.34,35890090.0,249583.1836,29.8823,14.6033,2.7
2010-08-31,276.26,28269280.0,264855.2511,31.7109,15.4968,2.7
2010-09-30,266.32,34446870.0,255320.9853,30.5693,14.939,2.7
2010-10-31,268.77,23104780.0,257674.5999,30.8511,15.0767,2.7
2010-11-30,264.89,18974730.0,253950.0383,30.4052,14.8588,2.7
2010-12-31,287.87,14276010.0,275980.9709,33.0429,16.1478,2.7
2011-01-31,257.75,23233120.0,247104.9321,29.5856,14.4583,2.7
2011-02-28,240.07,25090570.0,230155.1096,27.5562,13.4665,2.7
2011-03-31,252.58,15174770.0,242148.4589,28.7317,11.0758,2.7
2011-04-30,277.46,14220820.0,266000.9216,31.5618,12.1668,2.7
2011-05-31,313.34,54443480.0,300399.0546,35.6433,13.7402,2.7
2011-06-30,318.51,23258010.0,305355.5577,36.2314,13.9669,3.2
2011-07-31,313.4,18425060.0,300456.5886,35.6501,13.7428,3.2
2011-08-31,328.61,16962460.0,315033.6285,37.3797,14.4095,3.2
2011-09-30,315.76,12576570.0,302714.3332,35.918,13.8461,3.2
2011-10-31,315.96,11674990.0,302906.0732,35.9407,13.8548,3.3
2011-11-30,287.94,12375350.0,276043.3044,32.7534,12.6261,3.3
2011-12-31,259.24,17206190.0,248528.6136,29.4887,11.3676,3.3
2012-01-31,299.53,20462570.0,287159.4252,34.0723,13.1346,3.3
2012-02-29,317.06,22447620.0,303960.6432,36.0659,13.9031,3.3
2012-03-31,324.2,23199500.0,310971.991,31.4513,11.3142,3.3
2012-04-30,352.68,18093240.0,338289.9559,34.2142,12.3082,3.3
2012-05-31,402.16,24503250.0,385746.2769,39.0139,14.0348,3.3
2012-06-30,388.86,17406930.0,372988.9435,37.7236,13.5706,4.0
2012-07-31,364.23,26063440.0,349368.6928,35.3347,12.7112,4.0
2012-08-31,364.07,16027090.0,349215.2092,35.3192,12.7057,4.0
2012-09-30,393.48,14223060.0,377425.2343,38.1723,13.732,4.0
2012-10-31,387.12,13232990.0,371324.723,37.5553,13.5101,4.0
2012-11-30,433.04,17680270.0,415366.3171,42.0096,15.1125,4.0
2012-12-31,443.25,13652610.0,425169.2906,43.0011,15.4691,4.0
2013-01-31,450.11,18061350.0,431749.3949,43.6666,15.7085,4.0
2013-02-28,427.22,15356880.0,409788.5867,41.4455,14.9095,4.0
2013-03-31,491.73,28487050.0,471661.6356,42.344,13.9368,4.0
2013-04-30,468.13,21659920.0,449024.5628,40.3117,13.2679,4.0
2013-05-31,486.31,21614450.0,466467.5904,41.8777,13.7833,4.0
2013-06-30,463.65,18622570.0,444732.081,39.9264,13.1411,4.6
2013-07-31,507.6,23546625.0,486888.7799,43.7111,14.3867,4.6
2013-08-31,420.95,30190958.0,403774.2945,36.2494,11.9308,4.6
2013-09-30,459.25,26361914.0,440511.5685,39.5475,13.0164,4.6
2013-10-31,539.45,34607542.0,517439.2283,46.4538,15.2894,4.75
2013-11-30,503.65,19954579.0,483099.9488,43.3709,14.2748,4.75
2013-12-31,490.0,18443881.0,470006.8994,42.1955,13.8879,4.75
2014-01-31,471.7,30335804.0,452453.5805,40.6196,13.3692,4.75
2014-02-28,473.0,15406796.0,453700.5376,40.7315,13.4061,4.75
2014-03-31,547.95,18882609.0,525592.4093,43.1117,13.0122,4.75
2014-04-30,505.15,15526539.0,484538.7454,39.7443,11.9958,4.75
2014-05-31,507.6,23213853.0,486888.7799,39.9371,12.054,4.75
2014-06-30,594.0,28710303.0,569763.4658,46.7349,14.1058,5.3
2014-07-31,628.65,19235994.0,602999.668,49.4611,14.9286,5.3
2014-08-31,624.2,17539326.0,598731.238,49.1109,14.8229,5.3
2014-09-30,629.55,29908484.0,603862.946,49.5319,14.95,6.0
2014-10-31,657.0,26063010.0,630192.9243,51.6916,15.6018,6.0
2014-11-30,744.7,33779010.0,714314.5673,58.5917,17.6845,6.0
2014-12-31,752.3,32943440.0,721604.4703,59.1896,17.8649,6.0
2015-01-31,857.75,47428226.0,822751.8734,67.4862,20.3691,6.0
2015-02-28,818.6,37689715.0,785199.4812,64.406,19.4394,6.0
2015-03-31,811.3,26107849.0,778197.1377,55.7978,16.4095,6.0
2015-04-30,762.45,24613056.0,731340.3275,52.4381,15.4214,6.0
2015-05-31,787.05,38270375.0,754936.5922,54.13,15.919,6.0
2015-06-30,755.35,32409463.0,724530.0234,51.9498,15.2778,6.1
2015-07-31,882.8,36185926.0,846779.7771,60.7153,17.8557,6.1
2015-08-31,848.6,25746380.0,813975.214,58.3631,17.1639,6.1
2015-09-30,841.6,24995425.0,807260.8297,57.8817,17.0223,6.1
2015-10-31,830.65,26360989.0,796757.6143,57.1286,16.8009,6.5
2015-11-30,838.5,19599553.0,804287.3167,57.6685,16.9596,6.5
2015-12-31,883.55,18385510.0,847499.1755,60.7669,17.8708,6.5
2016-01-31,869.9,29609477.0,834406.1261,59.8281,17.5947,6.5
2016-02-29,846.1,22201148.0,811577.2196,58.1912,17.1134,6.5
2016-03-31,868.4,25950419.0,832967.3295,48.2444,12.7661,6.5
2016-04-30,866.25,12891011.0,830905.0543,48.125,12.7345,6.5
2016-05-31,984.85,29425972.0,944665.9079,54.7139,14.478,6.5
2016-06-30,1003.3,23864336.0,962363.1065,55.7389,14.7493,7.5
2016-07-31,1114.15,23942515.0,1068690.178,61.8972,16.3788,7.5
2016-08-31,1157.9,19681934.0,1110655.079,64.3278,17.022,7.5
2016-09-30,1160.7,17000081.0,1113340.773,64.4833,17.0632,7.5
2016-10-31,1075.75,22069540.0,1031856.984,59.7639,15.8143,7.5
2016-11-30,969.9,44301901.0,930325.9015,53.8833,14.2583,7.95
2016-12-31,891.05,31548254.0,854693.1586,49.5028,13.0991,7.95
2017-01-31,970.7,29849738.0,931093.2597,53.9278,14.27,7.95
2017-02-28,1024.2,20812828.0,982410.2796,56.9,15.0565,7.95
2017-03-31,1073.5,20915856.0,1029698.789,53.8104,13.5417,7.95
2017-04-30,1120.45,16127320.0,1074733.063,56.1638,14.134,7.95
2017-05-31,1151.2,25806720.0,1104228.454,57.7052,14.5219,7.95
2017-06-30,1102.95,16757831.0,1057947.163,55.2866,13.9132,10.3
2017-07-31,1161.7,22867577.0,1114300.031,58.2315,14.6543,10.3
2017-08-31,1168.55,15630684.0,1120870.535,58.5748,14.7408,10.3
2017-09-30,1131.7,19883898.0,1085524.098,56.7277,14.2759,10.3
2017-10-31,1180.85,13708608.0,1132668.668,59.1914,14.8959,10.3
2017-11-30,1146.75,13055295.0,1099960.024,57.4821,14.4658,10.3
2017-12-31,1158.5,13753757.0,1111230.598,58.0711,14.614,10.3
2018-01-31,1128.3,23380445.0,1082262.826,56.5573,14.233,10.3
2018-02-28,1117.75,19181053.0,1072143.33,56.0284,14.0999,10.3
2018-03-31,1120.4,17311073.0,1074685.204,54.5738,12.7783,10.3
2018-04-30,1201.7,13064272.0,1152667.984,58.5339,13.7055,10.3
2018-05-31,1304.65,26665069.0,1251417.397,63.5485,14.8797,10.3
2018-06-30,1264.45,15799625.0,1212857.646,61.5904,14.4212,8.7
2018-07-31,1451.4,31269475.0,1392179.672,70.6965,16.5534,8.7
2018-08-31,1372.45,23003699.0,1316451.007,66.8509,15.653,8.7
2018-09-30,1293.3,25539829.0,1240530.502,62.9956,14.7503,8.7
2018-10-31,1230.4,36117712.0,1180196.961,59.9318,14.0329,8.9
2018-11-30,1345.95,29630802.0,1291032.266,65.5602,15.3507,8.9
2018-12-31,1373.05,32494999.0,1317026.526,66.8802,15.6598,8.9
2019-01-31,1412.6,37116392.0,1354962.798,68.8066,16.1109,8.9
2019-02-28,1405.2,20789701.0,1347864.735,68.4462,16.0265,8.9
2019-03-31,1492.7,21896003.0,1431794.541,66.2245,15.1184,8.9
2019-04-30,1463.15,26340848.0,1403450.246,64.9135,14.8191,8.9
2019-05-31,1407.3,32757505.0,1349879.05,62.4357,14.2534,8.9
2019-06-30,1358.15,24846807.0,1302734.479,60.2551,13.7556,10.5
2019-07-31,1521.1,39104929.0,1459035.758,67.4845,15.406,10.5
2019-08-31,1616.2,28912157.0,1550255.468,71.7036,16.3692,10.5
