APR IN Equity,price,volume,mc,pe,bm,div
2005-03-31,90.15,867965.0,2500.8812,7.9303,2.7883,2.2501
2005-04-30,87.75,473110.0,2434.302,7.7192,2.7141,2.2501
2005-05-31,104.97,603617.0,2911.7997,9.2334,3.2464,2.2501
2005-06-30,112.02,1125856.0,3107.3761,9.8536,3.4645,2.2501
2005-07-31,125.52,1367014.0,3481.8841,11.0411,3.882,2.2501
2005-08-31,146.18,1682483.0,4055.0894,12.8588,4.5211,2.2501
2005-09-30,167.14,1566822.0,4636.617,14.7028,5.1695,2.5313
2005-10-31,161.4,788698.0,4477.4511,14.1981,4.992,2.5313
2005-11-30,172.5,882562.0,4785.3799,15.1745,5.3353,1.125
2005-12-31,163.62,752873.0,4538.8288,14.3927,5.0605,1.125
2006-01-31,150.57,259772.0,4176.8045,13.2447,4.6568,1.125
2006-02-28,152.63,633452.0,4234.021,13.4262,4.7206,1.125
2006-03-31,184.54,949990.0,5119.3162,13.6095,4.2646,1.125
2006-04-30,192.23,512125.0,5128.6789,14.1764,4.4422,2.2501
2006-05-31,157.32,423977.0,4364.0584,11.6017,3.6354,2.2501
2006-06-30,146.52,354992.0,4064.4521,10.8052,3.3858,2.2501
2006-07-31,135.42,216584.0,3756.5233,9.9865,3.1293,2.2501
2006-08-31,161.25,360334.0,4473.2899,11.892,3.7264,3.0938
2006-09-30,168.0,266329.0,4660.5439,12.3898,3.8824,3.0938
2006-10-31,184.5,1303201.0,5118.2759,13.6067,4.2637,3.0938
2006-11-30,169.24,454182.0,4694.8738,12.4811,3.911,3.1876
2006-12-31,184.32,503478.0,5113.0744,13.5929,4.2594,3.1876
2007-01-31,189.35,869762.0,6122.6704,13.964,4.3757,3.1876
2007-02-28,147.25,410633.0,4761.4758,10.8593,3.4028,3.1876
2007-03-31,137.25,731726.0,4438.1158,9.1662,2.0477,3.1876
2007-04-30,159.85,296899.0,5168.9094,10.6756,2.3849,3.1876
2007-05-31,160.85,159120.0,5201.2454,10.7423,2.3998,3.1876
2007-06-30,167.15,514041.0,5404.9622,11.1631,2.4938,2.4376
2007-07-31,215.9,979863.0,6981.3421,14.4188,3.2211,4.0
2007-08-31,205.05,513169.0,6630.4965,13.6942,3.0592,4.0
2007-09-30,200.9,184355.0,6496.3021,13.4171,2.9973,4.0
2007-10-31,254.45,760146.0,8227.8948,16.9934,3.7963,4.0
2007-11-30,309.75,1251509.0,10016.0755,20.6866,4.6213,3.5
2007-12-31,394.05,309143.0,12742.0002,26.3166,5.879,3.5
2008-01-31,275.25,793028.0,8900.4836,18.3825,4.1066,3.5
2008-02-29,241.2,130799.0,7799.4428,16.1085,3.5986,3.5
2008-03-31,205.45,158577.0,6643.4309,11.7467,2.3352,3.5
2008-04-30,217.5,175210.0,7033.0797,12.4357,2.4722,3.5
2008-05-31,215.75,403137.0,6976.4917,12.3356,2.4523,3.5
2008-06-30,142.15,58716.0,4596.5622,8.1275,1.6157,3.5
2008-07-31,146.55,57197.0,4738.8406,8.3791,1.6658,3.5
2008-08-31,176.3,645912.0,5700.8365,10.08,2.0039,4.0
2008-09-30,129.85,729616.0,4198.8294,7.4242,1.4759,4.0
2008-10-31,80.35,111905.0,2598.1975,4.5941,0.9133,4.0
2008-11-30,79.0,180180.0,2554.5439,4.5169,0.898,4.0
2008-12-31,84.9,140909.0,2745.3263,4.8542,0.965,4.0
2009-01-31,78.0,861627.0,2522.2079,4.4597,0.8866,4.0
2009-02-28,80.05,196681.0,2588.4967,4.5769,0.9099,4.0
2009-03-31,78.1,150720.0,2525.4415,4.514,0.9021,4.0
2009-04-30,85.55,306470.0,2766.3447,4.514,0.9881,4.0
2009-05-31,139.35,804493.0,4506.0214,4.514,1.6095,4.0
2009-06-30,113.25,389826.0,3662.0518,4.514,1.3081,4.0
2009-07-31,125.7,332011.0,4064.635,4.514,1.4519,4.0
2009-08-31,141.8,608707.0,4585.2446,4.514,1.6378,4.0
2009-09-30,190.0,2355219.0,6143.8397,4.514,2.1945,4.0
2009-10-31,162.35,935532.0,5249.7494,4.514,1.8752,0.0
2009-11-30,164.9,357242.0,5332.2062,4.514,1.9046,0.0
2009-12-31,168.5,244116.0,5448.6158,4.514,1.9462,0.0
2010-01-31,170.4,1417409.0,5510.0542,4.514,1.9681,0.0
2010-02-28,165.7,311355.0,5358.075,4.514,1.9139,0.0
2010-03-31,197.4,1852829.0,6383.1261,7.5315,2.2526,0.0
2010-04-30,231.35,6833865.0,7480.9333,8.8268,2.64,0.0
2010-05-31,235.2,647814.0,7605.4269,8.9737,2.6839,0.0
2010-06-30,227.1,465471.0,7343.5053,8.6646,2.5915,0.0
2010-07-31,217.7,902876.0,7039.5469,8.306,2.4842,5.0
2010-08-31,195.4,511562.0,6318.4541,7.4552,2.2298,5.0
2010-09-30,189.75,1028979.0,6135.7557,7.2396,2.1653,5.0
2010-10-31,240.35,2797248.0,7771.9572,9.1702,2.7427,5.0
2010-11-30,226.7,2397756.0,7330.5709,8.6494,2.5869,7.5
2010-12-31,233.05,733304.0,7535.9045,8.8916,2.6594,7.5
2011-01-31,214.05,348845.0,6921.5205,8.1667,2.4426,7.5
2011-02-28,186.65,668603.0,6035.5141,7.1213,2.1299,7.5
2011-03-31,201.65,991368.0,6520.5541,6.8402,1.8555,7.5
2011-04-30,224.15,461041.0,7248.1141,7.6035,2.0625,7.5
2011-05-31,213.7,125761.0,6910.2029,7.249,1.9664,7.5
2011-06-30,232.0,346589.0,8345.597,7.8697,2.1347,7.5
2011-07-31,226.9,241870.0,8162.1377,7.6967,2.0878,2.5
2011-08-31,166.9,528381.0,6003.7937,5.6615,1.5357,6.0
2011-09-30,161.95,183686.0,5825.7303,5.4936,1.4902,6.0
2011-10-31,156.25,90222.0,5620.6876,5.3002,1.4377,6.0
2011-11-30,132.15,285900.0,4753.7527,4.4827,1.216,3.5
2011-12-31,110.85,204787.0,3987.5406,3.7602,1.02,3.5
2012-01-31,125.1,88117.0,4500.1473,4.2436,1.1511,3.5
2012-02-29,146.0,491398.0,5251.9705,4.9525,1.3434,3.5
2012-03-31,161.35,249315.0,5804.1468,8.4256,1.1861,3.5
