ARBP IN Equity,price,volume,mc,pe,bm,div
2002-03-31,10.73,845540.0,4332.9002,5.9408,1.2419,0.15
2002-04-30,11.32,1394800.0,4573.2802,6.2704,1.3108,0.0
2002-05-31,10.95,868720.0,4422.7902,6.0641,1.2677,0.0
2002-06-30,11.85,990780.0,4786.3902,6.5626,1.3719,0.0
2002-07-31,10.64,794540.0,4297.5502,5.8923,1.2318,0.0
2002-08-31,11.3,563420.0,4565.2002,6.2593,1.3085,0.0
2002-09-30,10.75,251820.0,4343.0002,5.9547,1.2448,0.15
2002-10-31,10.39,262720.0,4195.5402,5.7525,1.2025,0.15
2002-11-30,10.75,490460.0,4444.05,5.9547,1.2448,0.15
2002-12-31,10.49,1987660.0,4335.5325,5.8093,1.2144,0.15
2003-01-31,12.34,10479120.0,5100.3225,6.834,1.4286,0.15
2003-02-28,11.83,2108280.0,5251.4102,6.5515,1.3696,0.15
2003-03-31,10.58,1148780.0,4698.6302,5.5269,0.9879,0.15
2003-04-30,12.01,968920.0,5332.4402,6.2724,1.1212,0.15
2003-05-31,15.11,6269940.0,7024.9875,7.8901,1.4103,0.15
2003-06-30,18.64,11465560.0,8667.6,9.735,1.7401,0.15
2003-07-31,19.92,16054060.0,9260.475,10.4009,1.8591,0.15
2003-08-31,23.22,24061200.0,10798.4625,12.1283,2.1679,0.15
2003-09-30,31.34,70926320.0,14574.2625,16.3691,2.9259,0.175
2003-10-31,32.7,32781570.0,15205.5,17.0781,3.0526,0.175
2003-11-30,30.25,16258960.0,14066.25,15.7985,2.8239,0.175
2003-12-31,42.94,34774580.0,19967.1,22.4261,4.0086,0.175
2004-01-31,39.32,10948770.0,18281.475,20.5329,3.6702,0.175
2004-02-29,38.99,9131290.0,18128.025,20.3605,3.6394,0.175
2004-03-31,37.7,5536990.0,17530.5,16.6036,2.643,0.175
2004-04-30,40.19,6428530.0,18686.025,17.698,2.8172,0.175
2004-05-31,35.92,5865510.0,16700.475,15.8175,2.5179,0.175
2004-06-30,32.52,4581950.0,15121.8,14.3223,2.2799,0.175
2004-07-31,36.24,4153220.0,18399.0482,15.9606,2.5407,0.225
2004-08-31,34.82,1847020.0,17678.1142,15.3352,2.4411,0.225
2004-09-30,37.33,8579640.0,18952.4412,16.4407,2.6171,0.225
2004-10-31,37.01,5807030.0,18787.4387,16.2975,2.5943,0.225
2004-11-30,34.55,5511180.0,17541.0352,15.2163,2.4222,0.225
2004-12-31,32.39,7422940.0,16446.9416,14.2672,2.2711,0.225
2005-01-31,28.97,17290240.0,14708.0691,12.7588,2.031,0.225
2005-02-28,28.76,20519890.0,14601.4521,12.6663,2.0163,0.225
2005-03-31,28.83,53331680.0,14634.4526,12.4065,2.0518,0.225
2005-04-30,28.1,24176860.0,14263.8316,12.4065,1.9999,0.225
2005-05-31,29.54,26005300.0,14997.4581,12.4065,2.1027,0.225
2005-06-30,30.33,44998930.0,15398.5411,12.4065,2.159,0.225
