BAJAJHFL IN Equity,price,volume,mc,pe,bm,div
2024-09-30,154.06,1747117568.0,1283034.281,59.7132,8.4528,0.0
2024-10-31,134.11,678565673.0,1116887.754,51.9806,7.3582,0.0
2024-11-30,135.87,212499278.0,1131545.292,52.6628,7.4548,0.0
2024-12-31,127.42,375441869.0,1061172.453,49.3876,6.9912,0.0
2025-01-31,116.41,328837381.0,969479.5575,45.1202,6.3871,0.0
2025-02-28,108.73,187564468.0,905519.3908,42.1434,5.9657,0.0
2025-03-31,123.29,321201238.0,1026777.207,46.176,5.1476,0.0
2025-04-30,122.0,311136924.0,1016544.824,45.6929,5.0937,0.0
2025-05-31,122.0,176464324.0,1016544.824,45.6929,5.0937,0.0
2025-06-30,121.85,149327476.0,1015294.973,45.6367,5.0875,0.0
2025-07-31,113.87,127443347.0,948802.9431,42.6479,4.7543,0.0
2025-08-31,111.24,109203382.0,926888.903,41.6629,4.6445,0.0
2025-09-30,110.01,92564391.0,916640.1314,41.2022,4.5931,0.0
2025-10-31,110.21,91453828.0,918306.5984,41.2772,4.6015,0.0
2025-11-30,105.07,76571695.0,875478.3984,39.3521,4.3869,0.0
2025-12-31,94.33,683018176.0,785989.1246,35.3296,3.9384,0.0
2026-01-31,90.83,167338603.0,756825.9534,34.0187,3.7923,0.0
2026-02-28,87.04,105272551.0,725246.4052,32.5993,3.6341,0.0
2026-03-31,84.66,22007953.0,705415.4794,31.7079,3.5347,0.0
