BDL IN Equity,price,volume,mc,pe,bm,div
2018-03-31,198.33,13572428.0,72698.5078,14.8837,3.716,0.0
2018-04-30,201.18,7374650.0,73743.2109,15.0976,3.7694,0.0
2018-05-31,202.7,2812048.0,74302.2188,15.212,3.7979,0.0
2018-06-30,188.08,1390702.0,68941.2422,14.1144,3.5239,0.0
2018-07-31,192.1,1795162.0,70416.6563,14.4165,3.5993,0.0
2018-08-31,174.98,1379038.0,64139.2734,13.1313,3.2785,0.0
2018-09-30,140.23,2888510.0,51401.2266,10.5235,2.6274,3.645
2018-10-31,141.15,943850.0,51740.2969,10.5929,2.6447,3.645
2018-11-30,140.65,920856.0,51557.0156,10.5553,2.6353,3.645
2018-12-31,138.13,570638.0,50631.4453,10.3659,2.588,3.645
2019-01-31,129.03,1150042.0,47295.7266,9.6829,2.4175,3.645
2019-02-28,152.0,6522738.0,55717.5,11.4071,2.848,3.645
2019-03-31,141.65,3059356.0,51923.5781,12.2853,2.2888,6.27
2019-04-30,139.15,6847328.0,51007.1719,12.0685,2.2485,6.27
2019-05-31,149.38,2842328.0,54755.2734,12.9553,2.4137,6.27
2019-06-30,169.88,5245414.0,62269.8047,14.7333,2.7449,6.27
2019-07-31,147.0,2477056.0,53884.6875,12.7493,2.3753,6.27
2019-08-31,140.0,1043752.0,51318.75,12.1422,2.2622,6.27
2019-09-30,147.95,2592368.0,54232.9219,12.8317,2.3906,3.46
2019-10-31,164.18,2187086.0,60180.3984,14.2389,2.6528,3.46
2019-11-30,166.68,5286524.0,61096.8047,14.4558,2.6932,3.46
2019-12-31,147.23,3086544.0,53967.1641,12.7689,2.3789,3.46
2020-01-31,145.13,5308534.0,53197.3828,12.5867,2.345,3.46
2020-02-29,137.07,7481914.0,50246.5547,11.8886,2.2149,3.96
2020-03-31,92.58,4044746.0,33934.5234,6.3451,1.3018,3.96
2020-04-30,108.15,3009720.0,39643.7344,7.4126,1.5208,3.96
2020-05-31,117.5,10581090.0,43071.0938,8.0535,1.6522,3.96
2020-06-30,166.63,25759522.0,61078.4766,11.4205,2.343,3.96
2020-07-31,192.43,125075842.0,70535.7891,13.1888,2.7058,3.96
2020-08-31,198.0,58603434.0,72579.375,13.5709,2.7842,3.96
