BIKAJI IN Equity,price,volume,mc,pe,bm,div
2022-11-30,416.45,83238534.0,103908.3895,132.2063,12.6602,0.0
2022-12-31,436.2,18357994.0,108836.2097,138.4762,13.2606,0.0
2023-01-31,392.9,11526479.0,98032.4319,124.7302,11.9442,0.0
2023-02-28,357.3,5370374.0,89149.8801,113.4286,10.862,0.0
2023-03-31,362.6,3439649.0,90472.2825,65.9273,9.4673,0.0
2023-04-30,375.2,5349579.0,93616.107,68.2182,9.7963,0.0
2023-05-31,381.95,10547363.0,95300.2987,69.4455,9.9725,0.0
2023-06-30,417.8,19253193.0,104245.2279,75.9636,10.9085,0.75
2023-07-31,485.0,16387122.0,121012.2918,88.1818,12.6631,0.75
2023-08-31,498.2,15611853.0,124560.0636,90.5818,13.0077,0.75
2023-09-30,484.95,19698448.0,121247.296,88.1727,12.6618,0.75
2023-10-31,473.1,5358542.0,118284.5566,86.0182,12.3524,0.75
2023-11-30,558.0,11502745.0,139511.2716,101.4545,14.5691,0.75
2023-12-31,546.1,6842193.0,136590.532,99.2909,14.2584,0.75
2024-01-31,591.7,7878274.0,147996.004,107.5818,15.449,0.75
2024-02-29,521.85,13035980.0,130661.9406,94.8818,13.6252,0.75
2024-03-31,490.45,4828957.0,122799.9402,46.1383,10.0792,0.75
2024-04-30,532.85,5171830.0,133416.1446,50.127,10.9505,0.75
2024-05-31,593.85,11094378.0,148689.4576,55.8655,12.2041,0.75
2024-06-30,715.6,15327271.0,179173.488,67.3189,14.7062,1.0
2024-07-31,715.2,8438869.0,179073.3351,67.2813,14.698,1.0
2024-08-31,825.1,21707928.0,206590.3367,77.6199,16.9565,1.0
2024-09-30,921.7,18975545.0,230777.2553,86.7074,18.9417,1.0
2024-10-31,849.9,13111618.0,212799.8148,79.953,17.4662,1.0
2024-11-30,802.7,5777199.0,200981.7759,75.5127,16.4962,1.0
2024-12-31,779.45,8363259.0,195160.3902,73.3255,16.0184,1.0
2025-01-31,691.0,6428918.0,173014.0864,65.0047,14.2006,1.0
2025-02-28,634.15,16867791.0,158779.8594,59.6566,13.0323,1.0
2025-03-31,661.0,7409118.0,165641.7813,82.419,11.9754,1.0
2025-04-30,700.2,6687944.0,175465.0155,87.3067,12.6855,1.0
2025-05-31,765.4,6330079.0,191803.6602,95.4364,13.8668,1.0
2025-06-30,740.5,4706531.0,185563.9018,92.3317,13.4157,1.0
2025-07-31,750.0,7445754.0,187944.5325,93.5162,13.5878,1.0
2025-08-31,790.3,8755788.0,198043.4187,98.5411,14.3179,1.0
2025-09-30,744.15,7711623.0,186478.5651,92.7868,13.4818,1.0
2025-10-31,730.6,4747927.0,183083.0339,91.0973,13.2363,1.0
2025-11-30,717.15,4519643.0,179712.562,89.4202,12.9926,1.0
2025-12-31,749.8,4946621.0,187894.414,93.4913,13.5841,1.0
2026-01-31,654.4,4837392.0,163987.8694,81.596,11.8558,1.0
2026-02-28,638.15,2800224.0,159915.7379,79.5698,11.5614,1.0
2026-03-31,630.4,384257.0,157973.6505,78.6035,11.421,1.0
