BJAUT IN Equity,price,volume,mc,pe,bm,div
2008-05-31,285.85,28245020.0,82715.5582,10.6399,5.0947,0.0
2008-06-30,225.18,8169794.0,65158.2152,8.3814,4.0133,10.0
2008-07-31,266.85,8391810.0,77217.5851,9.9326,4.756,10.0
2008-08-31,294.1,7416192.0,85102.836,10.9469,5.2417,10.0
2008-09-30,297.45,8874258.0,86072.2155,11.0716,5.3014,10.0
2008-10-31,272.45,10685794.0,78838.0403,10.1411,4.8558,10.0
2008-11-30,160.82,9200274.0,46537.4485,5.9862,2.8664,10.0
2008-12-31,195.55,7763988.0,56585.7177,7.2787,3.4853,10.0
2009-01-31,237.38,7617140.0,68688.4927,8.8355,4.2307,10.0
2009-02-28,267.52,3887778.0,77412.9079,9.9578,4.7681,10.0
2009-03-31,309.23,6217414.0,89479.5119,16.6359,4.936,10.0
2009-04-30,320.83,5769198.0,92836.1692,17.26,5.1212,10.0
2009-05-31,517.13,17787586.0,149638.9121,27.8207,8.2546,10.0
2009-06-30,501.53,7901950.0,145124.7869,26.9815,8.0056,10.0
2009-07-31,610.88,12694780.0,176767.0688,32.8644,9.7511,11.0
2009-08-31,607.85,12346248.0,175891.7246,32.7016,9.7028,11.0
2009-09-30,747.38,10163690.0,216265.6649,40.2079,11.93,11.0
2009-10-31,694.08,12419696.0,200842.4036,37.3404,11.0792,11.0
2009-11-30,785.22,9235000.0,227218.197,42.2442,12.5342,11.0
2009-12-31,877.4,13340462.0,253890.6187,47.2031,14.0055,11.0
2010-01-31,873.85,11874996.0,252863.3477,47.0121,13.9489,11.0
2010-02-28,908.83,14252300.0,262983.9678,48.8937,14.5071,11.0
2010-03-31,1007.4,12089082.0,291508.3293,18.2727,10.7293,11.0
2010-04-30,1046.68,10983262.0,302873.2274,18.9851,11.1476,11.0
2010-05-31,1104.68,10588854.0,319656.5137,20.0372,11.7654,11.0
2010-06-30,1243.8,8917936.0,359914.6982,22.5607,13.2471,11.0
2010-07-31,1344.0,15879226.0,388909.2539,24.3782,14.3143,20.0
2010-08-31,1365.88,12292422.0,395239.1571,24.7749,14.5473,20.0
2010-09-30,1469.9,16046709.0,425340.5598,26.6618,15.6552,20.0
2010-10-31,1510.95,11829726.0,437219.0572,27.4064,16.0924,20.0
2010-11-30,1576.6,8921369.0,456216.0191,28.5972,16.7916,20.0
2010-12-31,1541.0,11597289.0,445914.5538,27.9515,16.4124,20.0
2011-01-31,1245.95,24859312.0,360536.801,22.5997,13.27,20.0
2011-02-28,1269.15,13065483.0,367250.1336,23.0205,13.5171,20.0
2011-03-31,1463.25,9422041.0,423416.2692,12.255,8.8079,20.0
2011-04-30,1474.0,6932463.0,426526.9645,12.3451,8.8726,20.0
2011-05-31,1344.5,13515889.0,389053.9374,11.2605,8.0931,20.0
2011-06-30,1407.1,8918971.0,407168.3119,11.7848,8.4699,40.0
2011-07-31,1469.6,7293136.0,425253.7497,12.3082,8.8461,40.0
