BJHI IN Equity,price,volume,mc,pe,bm,div
2002-03-31,101.76,1034571.0,47434.8258,2.7804,0.3613,8.0
2002-04-30,105.91,798006.0,49372.4899,2.894,0.376,0.0
2002-05-31,105.18,1439297.0,49028.466,2.8738,0.3734,0.0
2002-06-30,110.17,864395.0,51355.6865,3.0102,0.3911,0.0
2002-07-31,91.36,1067622.0,42588.1361,2.4963,0.3243,14.0
2002-08-31,90.76,1567919.0,42309.8814,2.48,0.3222,14.0
2002-09-30,84.54,1203225.0,39410.9741,2.3101,0.3002,14.0
2002-10-31,91.59,1734684.0,42694.3788,2.5025,0.3252,14.0
2002-11-30,104.0,1708163.0,48482.0751,2.8418,0.3692,14.0
2002-12-31,109.03,1682329.0,50824.4732,2.9791,0.3871,14.0
2003-01-31,111.34,2511977.0,51902.0775,3.0423,0.3953,14.0
2003-02-28,112.08,1351272.0,52246.1014,3.0624,0.3979,14.0
2003-03-31,104.11,1276669.0,48532.6668,1.9692,0.3128,14.0
2003-04-30,104.84,1409210.0,48871.6316,1.983,0.315,14.0
2003-05-31,111.81,1727140.0,52119.622,2.1147,0.3359,14.0
2003-06-30,124.57,1220311.0,58069.2119,2.3561,0.3742,14.0
2003-07-31,138.34,1457356.0,64489.3051,2.6166,0.4156,14.0
2003-08-31,158.02,1585627.0,73661.5896,2.9888,0.4747,14.0
2003-09-30,171.64,1013273.0,80010.8544,3.2464,0.5156,14.0
2003-10-31,198.66,1202718.0,92608.2004,3.7576,0.5968,14.0
2003-11-30,212.97,1144115.0,99276.1932,4.0281,0.6398,14.0
2003-12-31,246.87,1023431.0,115081.0562,4.6694,0.7416,14.0
2004-01-31,216.45,2294720.0,100900.1884,4.094,0.6502,14.0
2004-02-29,196.78,1764373.0,91732.9631,3.722,0.5912,14.0
2004-03-31,197.97,1461132.0,92284.4132,2.6929,0.517,14.0
2004-04-30,199.85,793512.0,93159.6505,2.7184,0.5219,14.0
2004-05-31,189.25,1544226.0,88221.8956,2.5744,0.4942,14.0
2004-06-30,192.0,745199.0,89501.8669,2.6117,0.5014,14.0
2004-07-31,178.45,1011790.0,83188.0163,2.4275,0.466,25.0
2004-08-31,202.44,1533861.0,94368.7933,2.7537,0.5286,25.0
2004-09-30,222.41,1433243.0,103677.6755,3.0254,0.5808,25.0
2004-10-31,209.14,768217.0,97490.3044,2.8448,0.5461,25.0
2004-11-30,219.28,501347.0,102220.6331,2.9829,0.5726,25.0
2004-12-31,245.59,813844.0,114484.0672,3.3407,0.6413,25.0
2005-01-31,225.57,4469534.0,105149.8955,3.0683,0.589,25.0
2005-02-28,224.31,3488907.0,104563.0312,3.0512,0.5857,25.0
2005-03-31,234.88,3055058.0,109490.6677,2.9658,0.5454,25.0
2005-04-30,235.01,2250178.0,109551.3778,2.9674,0.5457,25.0
2005-05-31,267.1,3953590.0,124511.3586,3.3726,0.6202,25.0
2005-06-30,300.32,4485004.0,139997.4936,3.7921,0.6973,25.0
2005-07-31,314.54,3392804.0,146625.013,3.9716,0.7303,25.0
2005-08-31,306.57,4002207.0,142911.5785,3.871,0.7118,25.0
2005-09-30,367.76,5654932.0,171435.2078,4.6436,0.8539,25.0
2005-10-31,370.56,5052829.0,172740.475,4.679,0.8604,25.0
2005-11-30,436.28,5384727.0,203373.7802,5.5087,1.013,25.0
2005-12-31,434.35,4123076.0,202478.3062,5.4845,1.0085,25.0
2006-01-31,467.68,4382853.0,218015.033,5.9053,1.0859,25.0
