BLSIN IN Equity,price,volume,mc,pe,bm,div
2016-09-30,35.99,4933600.0,14747.6775,47.713,12.4193,0.0
2016-10-31,47.43,4070720.0,18850.8,62.8787,16.3669,0.0
2016-11-30,40.78,2538000.0,16709.595,54.0603,14.0715,0.0125
2016-12-31,47.78,37835200.0,19579.7318,63.346,16.4885,0.0125
2017-01-31,46.1,37694120.0,18891.2669,61.1187,15.9087,0.0125
2017-02-28,44.42,32760800.0,18201.779,58.888,15.3281,0.0125
2017-03-31,42.76,27442000.0,17523.0478,34.9775,10.577,0.0125
2017-04-30,39.73,61869760.0,16279.3045,32.4949,9.8263,0.0125
2017-05-31,47.34,29358360.0,19398.9069,38.7219,11.7093,0.0125
2017-06-30,48.35,5970140.0,19813.8294,39.5501,11.9597,0.0125
2017-07-31,50.56,13177508.0,20720.5119,41.3599,12.507,0.0125
2017-08-31,56.05,151168812.0,22969.2893,45.8487,13.8644,0.0125
2017-09-30,61.74,49522560.0,25300.0267,50.501,15.2712,0.0875
2017-10-31,63.88,30995332.0,26175.9742,52.2495,15.8,0.0875
2017-11-30,59.23,23279260.0,24270.405,48.4458,14.6498,0.075
2017-12-31,65.86,52567188.0,26990.4525,53.8753,16.2916,0.075
2018-01-31,49.71,50879880.0,20372.1825,40.6646,12.2968,0.075
2018-02-28,42.8,29005920.0,17539.44,35.0102,10.5869,0.075
2018-03-31,29.01,35476056.0,11889.3225,12.3195,4.5633,0.075
2018-04-30,37.03,29493856.0,15172.845,15.7219,5.8235,0.075
2018-05-31,46.66,27244868.0,19122.2925,19.8142,7.3394,0.075
2018-06-30,39.58,20477848.0,16217.835,16.8047,6.2246,0.075
2018-07-31,44.23,11661692.0,18123.405,18.7792,6.956,0.075
2018-08-31,41.65,8217988.0,17068.17,17.6858,6.551,0.075
2018-09-30,34.01,5182740.0,13938.3225,14.4427,5.3497,0.125
2018-10-31,33.15,9094344.0,13584.87,14.0764,5.2141,0.125
2018-11-30,28.71,4687888.0,11766.3825,12.1921,4.5161,0.125
2018-12-31,29.94,17308632.0,12268.3875,12.7123,4.7088,0.125
2019-01-31,26.1,4723972.0,10695.78,11.0828,4.1052,0.125
2019-02-28,24.7,6054472.0,10122.06,10.4883,3.885,0.125
2019-03-31,28.74,10426024.0,11776.6275,11.1928,3.1654,0.125
2019-04-30,30.93,11840612.0,12673.065,12.0448,3.4063,0.125
2019-05-31,31.65,6089276.0,12970.17,12.3272,3.4862,0.125
2019-06-30,25.71,3857592.0,10536.9825,10.0146,2.8322,0.125
2019-07-31,20.5,13704164.0,8400.9,7.9844,2.258,0.125
2019-08-31,20.04,2903144.0,8211.3675,7.8043,2.2071,0.125
2019-09-30,20.0,4462212.0,8196.0,7.7897,2.203,0.25
2019-10-31,18.75,5666704.0,7683.75,7.3028,2.0653,0.25
2019-11-30,18.56,7303524.0,7606.9125,7.2298,2.0446,0.25
2019-12-31,16.58,1799556.0,6792.435,6.4557,1.8257,0.25
2020-01-31,16.61,4281260.0,6807.8025,6.4703,1.8298,0.25
2020-02-29,15.53,3130772.0,6362.145,6.0467,1.7101,0.25
2020-03-31,7.29,7174308.0,2986.4175,5.6934,0.697,0.25
2020-04-30,7.34,5319024.0,3006.9075,5.7324,0.7018,0.25
2020-05-31,7.8,3428120.0,3196.44,6.0938,0.746,0.25
2020-06-30,16.27,13454180.0,6669.495,12.7148,1.5566,0.25
2020-07-31,19.55,10055636.0,8011.59,15.2734,1.8699,0.25
2020-08-31,24.6,27164716.0,10081.08,19.2188,2.3529,0.25
2020-09-30,22.08,8099620.0,9046.335,17.2461,2.1114,0.25
2020-10-31,20.65,6933176.0,8462.37,16.1328,1.9751,0.25
2020-11-30,20.08,4625380.0,8226.735,15.6836,1.9201,0.25
2020-12-31,21.35,11950564.0,8749.23,16.6797,2.042,0.25
2021-01-31,25.64,45782444.0,10506.2475,20.0293,2.4521,0.25
2021-02-28,26.83,11706256.0,10992.885,20.957,2.5657,0.1875
2021-03-31,23.05,36224516.0,9445.89,18.8163,2.0543,0.1875
2021-04-30,22.63,10291652.0,9271.725,18.4694,2.0164,0.1875
2021-05-31,26.78,26180080.0,10972.395,21.8571,2.3863,0.1875
2021-06-30,32.38,109277672.0,13267.275,26.4286,2.8854,0.1875
2021-07-31,37.88,83570668.0,15521.175,30.9184,3.3755,0.1875
2021-08-31,50.55,139822144.0,20715.39,41.2653,4.5052,0.1875
2021-09-30,65.78,116877100.0,26954.595,53.6939,5.8621,0.125
2021-10-31,54.04,16590260.0,22144.5675,44.1122,4.816,0.125
2021-11-30,48.39,9726984.0,19829.1975,39.5,4.3125,0.125
2021-12-31,47.23,7852468.0,19352.805,38.551,4.2088,0.125
2022-01-31,60.31,21835924.0,24716.0625,49.2347,5.3752,0.125
2022-02-28,54.09,30278148.0,22165.0575,44.1531,4.8205,0.3125
2022-03-31,58.84,26903636.0,24111.6075,21.6713,4.2317,0.3125
2022-04-30,90.41,157473680.0,37051.0425,33.3011,6.5027,0.3125
2022-05-31,93.4,75881198.0,38275.32,34.4015,6.7175,0.3125
2022-06-30,96.35,109416764.0,39484.23,35.488,6.9297,0.3125
2022-07-31,120.8,126111788.0,49503.84,44.4936,8.6882,0.3125
2022-08-31,129.8,77818860.0,53192.04,47.8085,9.3355,0.3125
2022-09-30,141.57,159256312.0,58161.8415,52.1455,10.1824,0.375
2022-10-31,162.63,124317156.0,66809.6025,59.8987,11.6964,0.375
2022-11-30,186.5,59654098.0,76617.93,68.6924,13.4135,0.375
2022-12-31,165.3,57431588.0,67908.546,60.884,11.8888,0.375
2023-01-31,183.05,32020703.0,75200.601,67.4217,13.1654,0.375
2023-02-28,155.45,57488872.0,63861.969,57.256,11.1803,0.625
2023-03-31,165.7,49321982.0,68072.874,33.8855,8.4789,0.625
2023-04-30,179.4,51050465.0,73701.108,36.6871,9.1799,0.625
2023-05-31,183.0,122802469.0,75180.06,37.4233,9.3641,0.625
2023-06-30,207.9,100195038.0,85409.478,42.5153,10.6382,0.625
2023-07-31,242.9,103830807.0,99788.178,49.6728,12.4292,0.625
2023-08-31,287.5,83800652.0,118375.5111,58.7935,14.7114,0.625
2023-09-30,250.1,48058169.0,102976.4011,51.1452,12.7976,0.75
2023-10-31,261.75,88615239.0,107773.1827,53.5276,13.3937,0.75
2023-11-30,264.95,43965668.0,109090.7536,54.182,13.5575,0.75
2023-12-31,319.4,147707866.0,131510.046,65.317,16.3437,0.75
2024-01-31,420.0,88865146.0,172931.1814,85.8896,21.4914,0.75
2024-02-29,366.1,59850782.0,150738.3464,74.8671,18.7333,0.75
2024-03-31,312.85,82708180.0,128813.1431,41.1645,10.6665,0.75
2024-04-30,350.5,60146716.0,144315.1883,46.1184,11.9502,0.75
2024-05-31,311.3,48611996.0,128174.9447,40.9605,10.6137,0.75
2024-06-30,350.6,61760544.0,144356.3623,46.1316,11.9536,0.75
2024-07-31,359.45,87384951.0,148000.2694,47.2961,12.2553,0.75
2024-08-31,421.65,136355437.0,173610.5539,55.4803,14.376,0.75
2024-09-30,367.25,110633140.0,151211.8485,48.3224,12.5213,1.0
2024-10-31,397.85,73648610.0,163811.1202,52.3487,13.5646,1.0
2024-11-30,388.45,43247072.0,159940.7557,51.1118,13.2441,1.0
2024-12-31,483.0,89861582.0,198870.8586,63.5526,16.4677,1.0
2025-01-31,436.25,162800075.0,179621.9711,57.4013,14.8738,1.0
2025-02-28,339.05,64329024.0,139600.7549,44.6118,11.5598,1.0
2025-03-31,398.65,80375038.0,164140.513,32.3055,9.4833,1.0
2025-04-30,355.35,85292103.0,146312.1317,28.7966,8.4533,0.5
2025-05-31,406.55,80850103.0,167393.2661,32.9457,9.6713,0.5
2025-06-30,368.95,49819824.0,151911.808,29.8987,8.7768,0.5
2025-07-31,380.05,44745047.0,156482.1321,30.7982,9.0409,0.5
2025-08-31,366.7,54801590.0,150985.391,29.7164,8.7233,0.5
2025-09-30,322.3,19497746.0,132704.0946,26.1183,7.6671,1.0
2025-10-31,314.6,203261399.0,129533.6897,25.4943,7.4839,1.0
2025-11-30,329.75,62562025.0,135771.5644,26.722,7.8443,1.0
2025-12-31,321.1,35373066.0,132210.0056,26.0211,7.6385,1.0
2026-01-31,257.45,29348398.0,106002.6968,20.863,6.1244,1.0
2026-02-28,278.7,132014470.0,114752.1911,22.5851,6.6299,3.0
2026-03-31,260.0,3496087.0,107052.6361,21.0697,6.185,3.0
