BLSTR IN Equity,price,volume,mc,pe,bm,div
2009-03-31,77.7,3786954.0,13976.0539,7.7506,3.8069,3.5
2009-04-30,86.55,3753424.0,15567.9211,8.6334,4.2405,3.5
2009-05-31,143.28,4255102.0,25771.1599,14.2918,7.0196,3.5
2009-06-30,170.38,2206566.0,30645.691,16.995,8.3474,3.5
2009-07-31,196.18,2202092.0,35286.3884,19.5686,9.6114,3.5
2009-08-31,167.95,1618458.0,30209.5014,16.7531,8.2286,3.5
2009-09-30,180.1,1912684.0,32394.9461,17.9651,8.8239,3.5
2009-10-31,166.33,1938168.0,29917.2094,16.591,8.149,3.5
2009-11-30,170.63,1214136.0,30690.659,17.02,8.3596,3.5
2009-12-31,193.85,2135462.0,34868.186,19.3367,9.4975,3.5
2010-01-31,189.85,3002336.0,34148.6981,18.9377,9.3016,3.5
2010-02-28,177.7,1990012.0,31963.2533,17.7257,8.7063,3.5
2010-03-31,182.23,1744456.0,32777.1741,15.4953,6.6664,3.5
2010-04-30,204.55,3285964.0,36792.8164,17.3937,7.4832,3.5
2010-05-31,202.53,2887474.0,36428.5756,17.2215,7.4091,3.5
2010-06-30,205.45,2930974.0,36954.7012,17.4702,7.5161,3.5
2010-07-31,221.0,4001320.0,39751.7107,18.7925,8.085,4.0
2010-08-31,212.9,1526792.0,38294.7475,18.1037,7.7886,4.0
2010-09-30,242.63,3408700.0,43641.4425,20.6314,8.8761,4.0
2010-10-31,228.48,1824286.0,41096.2538,19.4281,8.3584,4.0
2010-11-30,217.03,1653332.0,39036.7195,18.4545,7.9396,4.0
2010-12-31,218.63,1183166.0,39324.5147,18.5906,7.9981,4.0
2011-01-31,167.08,4195476.0,30052.1134,14.2071,6.1122,4.0
2011-02-28,160.88,1757056.0,28936.907,13.6798,5.8854,4.0
2011-03-31,185.73,2685374.0,33406.7261,20.7514,6.5344,4.0
2011-04-30,184.4,567524.0,33168.3957,20.6034,6.4878,4.0
2011-05-31,158.23,735454.0,28460.2463,17.6788,5.5669,4.0
