CBOI IN Equity,price,volume,mc,pe,bm,div
2022-03-31,18.35,69776829.0,159295.2386,13.9939,0.5782,0.0
2022-04-30,18.75,71023083.0,162767.6144,14.2989,0.5908,0.0
2022-05-31,18.9,64334125.0,164069.7553,14.4133,0.5955,0.0
2022-06-30,16.9,38694703.0,146707.8764,13.399,0.5274,0.0
2022-07-31,17.85,48644996.0,154954.7689,14.1522,0.557,0.0
2022-08-31,19.45,99070996.0,168844.272,15.4207,0.6069,0.0
2022-09-30,20.1,210214607.0,174486.8826,14.1549,0.6196,0.0
2022-10-31,20.35,90670406.0,176657.1174,14.331,0.6273,0.0
2022-11-30,24.55,541525528.0,213117.0631,17.2887,0.7568,0.0
2022-12-31,32.15,1750448287.0,279092.2027,19.6037,1.0246,0.0
2023-01-31,30.05,226481321.0,260862.2299,18.3232,0.9577,0.0
2023-02-28,25.9,120220040.0,224836.3313,15.7927,0.8254,0.0
2023-03-31,24.1,132341243.0,209210.6403,12.487,0.7161,0.0
2023-04-30,30.35,197723229.0,263466.5118,15.7254,0.9018,0.0
2023-05-31,27.05,171174019.0,234819.4116,14.0155,0.8037,0.0
2023-06-30,29.05,201065921.0,252181.2905,13.2648,0.8488,0.0
2023-07-31,30.25,340507737.0,262598.4178,13.8128,0.8838,0.0
2023-08-31,34.85,474551538.0,302530.7392,15.9132,1.0182,0.0
2023-09-30,51.3,1608118769.0,445332.1929,20.3571,1.4681,0.0
2023-10-31,43.2,675039361.0,375016.5835,17.1429,1.2363,0.0
2023-11-30,44.05,233932148.0,382395.382,17.4802,1.2606,0.0
2023-12-31,50.1,562993709.0,434915.0655,17.766,1.3999,0.0
2024-01-31,57.5,806509616.0,499154.0173,20.3901,1.6066,0.0
2024-02-29,62.65,1175982645.0,543860.8554,22.2163,1.7505,0.0
2024-03-31,59.8,419937970.0,519120.178,19.4156,1.6035,0.0
2024-04-30,67.25,382089703.0,583793.1768,21.8344,1.8033,0.0
2024-05-31,64.65,315880168.0,561222.7343,20.9903,1.7335,0.0
2024-06-30,62.79,455702082.0,545076.1869,17.4417,1.6866,0.0
2024-07-31,63.57,305221643.0,551847.3197,17.6583,1.7075,0.0
2024-08-31,61.12,127518113.0,530579.0181,16.9778,1.6417,0.0
2024-09-30,58.83,112593551.0,510699.6668,14.9315,1.5245,0.0
2024-10-31,57.83,130799193.0,502018.7274,14.6777,1.4986,0.0
2024-11-30,55.92,111083714.0,485438.133,14.1929,1.4491,0.0
2024-12-31,53.31,147566463.0,462780.8811,12.6929,1.3507,0.0
2025-01-31,52.05,181578719.0,451842.8974,12.3929,1.3188,0.0
2025-02-28,43.98,76672878.0,381787.7162,10.4714,1.1143,0.0
2025-03-31,42.77,97358050.0,371283.7795,9.4415,1.0497,0.0
2025-04-30,37.06,375381254.0,335444.9312,8.181,0.9095,0.0
2025-05-31,38.94,239388356.0,352461.5656,8.596,0.9557,0.0
2025-06-30,39.66,366417727.0,358978.5745,8.1605,0.946,0.0
2025-07-31,36.41,187144691.0,329561.5204,7.4918,0.8684,0.3875
2025-08-31,34.52,82752836.0,312454.372,7.1029,0.8234,0.3875
2025-09-30,37.78,133100999.0,341961.9401,7.3217,0.8874,0.3875
2025-10-31,39.48,233370683.0,357349.3223,7.6512,0.9273,0.5875
2025-11-30,38.37,169974403.0,347302.2669,7.436,0.9013,0.5875
2025-12-31,37.4,121038690.0,338522.4076,6.8624,0.8569,0.5875
2026-01-31,37.43,192615576.0,338793.9497,6.8679,0.8576,0.7875
2026-02-28,40.07,218703397.0,362689.649,7.3523,0.9181,0.7875
2026-03-31,37.75,42205779.0,341690.3981,6.9266,0.865,0.7875
