CHOLAHLD IN Equity,price,volume,mc,pe,bm,div
2002-03-31,4.99,120060.0,1772.8632,3.2933,0.325,0.5
2002-04-30,5.53,150880.0,1964.9234,3.65,0.3602,0.0
2002-05-31,4.73,262910.0,1679.2954,3.1194,0.3078,0.0
2002-06-30,5.34,160510.0,1895.9787,3.5219,0.3475,0.0
2002-07-31,4.92,294360.0,1748.2401,3.2475,0.3205,0.55
2002-08-31,5.68,483170.0,2017.8631,3.7484,0.3699,0.55
2002-09-30,5.79,218700.0,2056.0289,3.8193,0.3769,0.55
2002-10-31,6.01,208510.0,2134.8228,3.9656,0.3913,0.55
2002-11-30,6.15,115420.0,2185.3001,4.0594,0.4006,0.55
2002-12-31,6.31,220200.0,2241.9333,4.1646,0.411,0.55
2003-01-31,6.45,108230.0,2289.9483,4.2538,0.4198,0.55
2003-02-28,6.19,58420.0,1649.6121,4.0845,0.4031,0.55
2003-03-31,6.1,60400.0,1625.5976,3.0468,0.2943,0.55
2003-04-30,6.17,165820.0,1644.0703,3.0814,0.2976,0.55
2003-05-31,7.0,177590.0,1865.7427,3.4969,0.3378,0.55
2003-06-30,9.39,484340.0,2501.2036,4.6879,0.4528,0.55
2003-07-31,8.6,1369880.0,2290.6148,4.2932,0.4147,0.9
2003-08-31,9.2,1217920.0,2452.2509,4.5962,0.444,0.9
2003-09-30,10.17,842310.0,2708.0978,5.0757,0.4903,0.9
2003-10-31,9.73,1316480.0,2592.6435,4.8593,0.4694,0.9
2003-11-30,10.82,536960.0,2881.7412,5.4011,0.5217,0.9
2003-12-31,14.9,1082650.0,3970.7069,7.4422,0.7189,0.9
2004-01-31,12.89,685510.0,3434.075,6.4364,0.6217,0.9
2004-02-29,14.16,499600.0,3773.049,7.0717,0.6831,0.9
2004-03-31,12.87,3220920.0,3429.4568,2.5929,0.54,0.9
2004-04-30,14.47,643360.0,3856.1761,2.9155,0.6072,0.9
2004-05-31,12.83,173310.0,3419.2968,2.5852,0.5384,0.9
2004-06-30,17.69,1811970.0,4711.4622,3.5622,0.7418,0.9
2004-07-31,18.79,354970.0,5006.1017,3.785,0.7882,1.0
2004-08-31,19.99,401095.0,5325.6794,4.0266,0.8385,1.0
2004-09-30,22.31,1298290.0,5944.5149,4.4945,0.936,1.0
2004-10-31,23.94,2105530.0,6376.7761,4.8213,1.004,1.0
