CIFC IN Equity,price,volume,mc,pe,bm,div
2000-06-30,4.8,121434.0,526.9721,2.8864,0.3198,0.6969
2000-07-31,4.68,79751.0,514.2228,2.8166,0.3121,0.6969
2000-08-31,4.54,86273.0,498.0736,2.7281,0.3023,0.6969
2000-09-30,4.45,115965.0,488.7241,2.6769,0.2966,0.6969
2000-10-31,4.72,169433.0,518.4725,2.8399,0.3147,0.6969
2000-11-30,4.99,98807.0,548.221,3.0028,0.3327,0.6969
2000-12-31,4.81,107350.0,527.822,2.8911,0.3204,0.6969
2001-01-31,4.8,170551.0,526.9721,2.8864,0.3198,0.6969
2001-02-28,4.76,351078.0,522.7223,2.8631,0.3173,0.6969
2001-03-31,4.61,142641.0,505.7232,2.77,0.3069,0.6969
2001-04-30,4.65,56174.0,509.973,2.7933,0.3095,0.6969
2001-05-31,5.12,72990.0,561.8202,3.0773,0.341,0.6969
2001-06-30,5.01,61056.0,549.9209,3.0121,0.3338,0.0
2001-07-31,4.25,49090.0,466.6253,2.5559,0.2832,0.5234
2001-08-31,4.51,54360.0,495.5238,2.7142,0.3007,0.5234
2001-09-30,4.41,69903.0,484.4743,2.6536,0.294,0.5234
2001-10-31,4.49,85188.0,492.9739,2.7002,0.2992,0.5234
2001-11-30,4.53,69380.0,497.2237,2.7235,0.3018,0.5234
2001-12-31,4.49,161123.0,492.9739,2.7002,0.2992,0.5234
2002-01-31,4.72,142221.0,514.4801,2.8399,0.3147,0.5234
2002-02-28,4.96,179875.0,539.7824,2.9795,0.3302,0.5234
2002-03-31,5.65,1608545.0,615.6893,4.4299,0.3977,0.5234
2002-04-30,5.47,415389.0,595.4475,4.2843,0.3846,0.5234
2002-05-31,6.1,1705906.0,664.6071,4.7819,0.4293,0.5234
2002-06-30,7.19,1345781.0,783.5279,5.6375,0.5061,0.5234
2002-07-31,5.7,826600.0,620.7498,4.4663,0.401,0.7743
2002-08-31,5.96,737692.0,649.4257,4.6727,0.4195,0.7743
2002-09-30,6.35,174599.0,691.5962,4.9761,0.4467,0.7743
2002-10-31,6.4,127427.0,696.6567,5.0125,0.45,0.7743
2002-11-30,6.74,163053.0,733.7667,5.2795,0.474,0.7743
