CIPLA IN Equity,price,volume,mc,pe,bm,div
2008-03-31,220.0,41261320.0,171004.0234,24.3929,4.5538,2.0
2008-04-30,213.0,25094973.0,165562.9863,23.6168,4.4089,2.0
2008-05-31,212.1,25179044.0,164863.4244,23.517,4.3903,2.0
2008-06-30,211.05,36558346.0,164047.2688,23.4006,4.3686,2.0
2008-07-31,218.9,36268800.0,170149.0033,24.271,4.5311,2.0
2008-08-31,240.05,25867237.0,186588.7083,26.616,4.9689,2.0
2008-09-30,228.65,37512858.0,177727.5907,25.352,4.7329,2.0
2008-10-31,177.2,38717900.0,137735.968,19.6474,3.6679,2.0
2008-11-30,200.15,26860934.0,155574.7968,22.192,4.143,2.0
2008-12-31,186.6,32248964.0,145042.5035,20.6896,3.8625,2.0
2009-01-31,191.95,26749593.0,149201.0104,21.2828,3.9732,2.0
2009-02-28,191.5,25280560.0,148851.2295,21.2329,3.9639,2.0
2009-03-31,220.05,27739977.0,171042.888,22.1825,3.934,2.0
2009-04-30,240.75,41114762.0,187132.812,24.2692,4.3041,2.0
2009-05-31,222.8,33792935.0,173180.4383,22.4597,3.9832,2.0
2009-06-30,253.35,49639570.0,196926.6788,25.5393,4.5293,2.0
2009-07-31,275.05,42470868.0,213793.8938,27.7268,4.9173,2.0
2009-08-31,270.85,47673689.0,210529.2716,27.3034,4.8422,2.0
2009-09-30,279.9,32705046.0,217563.7553,28.2157,5.004,2.0
2009-10-31,287.1,48729486.0,230518.7301,28.9415,5.1327,2.0
2009-11-30,320.0,44740278.0,256934.8438,32.2581,5.7209,2.0
2009-12-31,335.05,57477895.0,269018.8106,33.7752,5.99,2.0
2010-01-31,317.2,32101173.0,254686.6639,31.9758,5.6708,2.0
2010-02-28,316.15,19965870.0,253843.5964,31.87,5.6521,2.0
2010-03-31,338.35,28993439.0,271668.4512,24.6971,4.5963,2.0
2010-04-30,343.15,28586158.0,275522.4739,25.0474,4.6615,2.0
2010-05-31,319.0,39695599.0,256131.9224,23.2847,4.3335,2.0
2010-06-30,338.5,28607088.0,271788.8894,24.708,4.5984,2.0
2010-07-31,326.3,17592252.0,261993.2485,23.8175,4.4326,2.0
2010-08-31,303.25,37912358.0,243485.9105,22.135,4.1195,2.0
