CLEAN IN Equity,price,volume,mc,pe,bm,div
2021-07-31,1682.0,28598291.0,178660.2874,90.0428,33.1057,0.0
2021-08-31,1522.5,12131303.0,161718.3636,81.5043,29.9663,0.0
2021-09-30,2047.25,17587145.0,217456.7618,109.5958,40.2946,0.0
2021-10-31,2073.85,8418856.0,220282.186,111.0198,40.8182,0.0
2021-11-30,2139.35,6388183.0,227239.5278,114.5262,42.1074,0.0
2021-12-31,2493.35,11701836.0,264841.0389,133.477,49.0749,0.0
2022-01-31,2230.2,5255241.0,236889.5201,119.3897,43.8955,0.0
2022-02-28,1824.6,4418400.0,193807.1108,97.6767,35.9124,0.0
2022-03-31,1992.4,4161278.0,211630.6519,92.6267,27.54,0.0
2022-04-30,1945.4,1866571.0,206638.3609,90.4417,26.8903,0.0
2022-05-31,1748.65,1951100.0,185739.7809,81.2947,24.1707,0.0
2022-06-30,1490.05,2289052.0,158271.5584,69.2724,20.5962,0.0
2022-07-31,1687.35,3976903.0,179238.7875,78.4449,23.3234,3.25
2022-08-31,1740.0,2929653.0,184853.3179,80.8926,24.0512,3.25
2022-09-30,1759.15,3541044.0,186887.7667,81.7829,24.3159,3.25
2022-10-31,1572.2,1858378.0,167026.6588,73.0916,21.7318,3.25
2022-11-30,1496.3,1802803.0,158963.2296,69.563,20.6826,3.25
2022-12-31,1490.05,1444630.0,158299.245,69.2724,20.5962,3.25
2023-01-31,1376.15,808786.0,146198.7893,63.9772,19.0219,3.25
2023-02-28,1377.85,1321681.0,146379.3931,64.0563,19.0453,5.25
2023-03-31,1267.9,1486630.0,134698.5757,45.6407,13.3365,5.25
2023-04-30,1444.0,1490818.0,153407.0063,51.9798,15.1888,5.25
2023-05-31,1418.75,7820832.0,150725.974,51.0709,14.9232,5.25
2023-06-30,1396.0,4150164.0,148309.0465,50.252,14.6839,5.25
2023-07-31,1300.3,2450552.0,138153.5527,46.8071,13.6773,2.0
2023-08-31,1417.75,4422591.0,150632.3151,51.0349,14.9127,5.0
2023-09-30,1409.25,3231901.0,149729.2119,50.7289,14.8233,5.0
2023-10-31,1304.2,1495065.0,138567.9178,46.9474,13.7183,5.0
2023-11-30,1363.75,2332087.0,144894.9531,49.0911,14.3447,5.0
2023-12-31,1549.1,6142608.0,164587.917,55.7631,16.2943,5.0
2024-01-31,1493.55,3269906.0,158688.7884,53.7635,15.71,5.0
2024-02-29,1413.4,2619833.0,150172.8991,50.8783,14.867,4.0
2024-03-31,1329.35,2485368.0,141246.1015,57.8733,11.7395,4.0
2024-04-30,1320.7,2502919.0,140327.0217,57.4967,11.6632,4.0
2024-05-31,1306.4,2450362.0,138807.618,56.8742,11.5369,4.0
2024-06-30,1430.6,3818178.0,152004.1169,62.2812,12.6337,4.0
2024-07-31,1621.6,5687591.0,172313.4246,70.5964,14.3204,4.0
2024-08-31,1493.5,7019173.0,158701.3441,65.0196,13.1892,5.0
2024-09-30,1576.5,3317739.0,167525.5949,68.633,13.9221,5.0
2024-10-31,1526.6,4779123.0,162223.0086,66.4606,13.4815,5.0
2024-11-30,1284.2,2554310.0,136464.5537,55.9077,11.3408,5.0
2024-12-31,1423.1,5138080.0,151227.5061,61.9547,12.5675,5.0
2025-01-31,1436.45,3919642.0,152646.1606,62.5359,12.6853,5.0
2025-02-28,1193.25,1737754.0,126802.2076,51.9482,10.5376,5.0
2025-03-31,1167.35,1880576.0,124051.0848,46.9192,8.7581,5.0
2025-04-30,1174.8,3040485.0,124842.7759,47.2186,8.814,5.0
2025-05-31,1549.2,4446662.0,164629.2376,62.2669,11.6229,5.0
2025-06-30,1465.6,2038033.0,155745.2948,58.9068,10.9957,5.0
2025-07-31,1222.3,3012993.0,129890.4707,49.1278,9.1704,5.0
2025-08-31,1174.5,103493671.0,124810.8957,47.2066,8.8117,5.0
2025-09-30,1098.6,9239278.0,116752.3868,44.1559,8.2423,6.0
2025-10-31,1008.8,5564832.0,107209.0004,40.5466,7.5686,6.0
2025-11-30,913.5,9763739.0,97081.1081,36.7162,6.8536,6.0
2025-12-31,876.05,6135406.0,93103.5269,35.211,6.5726,6.0
2026-01-31,861.0,4212228.0,91504.0656,34.6061,6.4597,6.0
2026-02-28,735.15,9497600.0,78129.1682,29.5478,5.5155,6.0
2026-03-31,773.75,1065479.0,82231.4411,31.0993,5.8051,6.0
