CLGT IN Equity,price,volume,mc,pe,bm,div
1996-05-31,136.75,152300.0,37194.0845,48.7522,15.3689,1.6
1996-06-30,128.13,816900.0,34848.2053,45.6774,14.3996,1.6
1996-07-31,126.63,857500.0,34440.2263,45.1426,14.231,1.6
1996-08-31,129.75,883524.0,35290.1825,46.2567,14.5822,1.6
1996-09-30,119.63,703876.0,32536.3243,42.6471,13.4443,1.6
1996-10-31,114.13,742508.0,31040.4014,40.6863,12.8261,1.6
1996-11-30,111.88,833332.0,30428.4329,39.8841,12.5733,1.6
1996-12-31,117.38,1419884.0,31924.3559,41.8449,13.1914,1.6
1997-01-31,125.88,2402736.0,34236.2368,44.8752,14.1467,1.6
1997-02-28,154.63,4019926.0,42055.8341,55.1248,17.3778,1.6
1997-03-31,137.5,9641798.0,37398.074,47.3811,14.4859,1.6
1997-04-30,156.38,5205364.0,42531.8096,53.8853,16.4744,1.6
1997-05-31,136.5,4033348.0,37126.088,47.0365,14.3806,1.6
1997-06-30,145.0,5109358.0,39437.9689,49.9655,15.2761,1.6
1997-07-31,161.25,6789656.0,43857.7413,55.5651,16.988,1.6
1997-08-31,154.13,18366126.0,41919.8411,53.1099,16.2374,1.45
1997-09-30,144.88,18017724.0,39403.9707,49.9225,15.2629,1.45
1997-10-31,143.63,8153994.0,39607.9601,49.4917,15.1312,1.45
1997-11-30,130.88,5607138.0,35596.1668,45.0982,13.788,1.45
1997-12-31,128.25,11805046.0,34882.2035,44.1937,13.5114,1.3
1998-01-31,115.63,7613204.0,31448.3804,39.8432,12.1813,1.3
1998-02-28,125.85,3858454.0,34229.4371,43.3666,13.2586,1.3
1998-03-31,142.5,8543158.0,38758.0039,48.4035,13.2116,1.3
1998-04-30,133.3,10636432.0,36255.7328,45.2785,12.3587,1.3
1998-05-31,117.5,3805360.0,31958.3541,39.9117,10.8938,1.3
1998-06-30,118.9,4608308.0,32339.1345,40.3872,11.0236,1.3
1998-07-31,127.95,6993470.0,34800.6077,43.4613,11.8627,0.85
1998-08-31,96.8,8637334.0,26328.2441,32.8804,8.9746,0.85
1998-09-30,92.5,8396242.0,25158.7043,31.4198,8.576,0.85
1998-10-31,79.45,4386972.0,21609.2871,26.9871,7.3661,0.85
1998-11-30,84.8,5995850.0,23064.4122,28.8043,7.8621,0.85
1998-12-31,98.0,8577382.0,26654.6273,33.288,9.0859,0.85
1999-01-31,89.5,6810900.0,24342.7463,30.4008,8.2978,0.85
1999-02-28,88.0,5577434.0,23934.7673,29.8913,8.1588,0.85
1999-03-31,90.0,13046224.0,24478.7393,53.6033,8.3334,0.85
1999-04-30,94.25,6561572.0,25634.6798,56.1346,8.7269,0.85
1999-05-31,104.83,20971902.0,28510.9317,62.433,9.7061,0.85
1999-06-30,102.58,9731248.0,27898.9632,61.0929,9.4978,0.85
1999-07-31,119.5,20288236.0,32502.3261,71.1733,11.0649,0.85
1999-08-31,140.25,24178902.0,38146.0354,83.5319,12.9862,1.5
1999-09-30,135.7,21580366.0,36908.4992,80.8219,12.5649,1.5
1999-10-31,118.5,20867146.0,32230.3401,70.5777,10.9723,1.5
1999-11-30,112.85,9310420.0,30693.6192,67.2126,10.4492,1.5
1999-12-31,107.0,11522394.0,29102.5012,63.7284,9.9075,1.5
2000-01-31,96.63,14401432.0,26280.6465,57.5491,8.9468,1.5
