CRIN IN Equity,price,volume,mc,pe,bm,div
2001-04-30,4.6,225630.0,894.9622,1.693,0.3784,1.1
2001-05-31,7.08,676100.0,1377.4636,2.6058,0.5823,1.1
2001-06-30,6.6,121480.0,1283.1034,2.4273,0.5425,0.0
2001-07-31,5.55,1598020.0,1079.7913,2.0427,0.4565,0.65
2001-08-31,5.3,1300610.0,1031.1521,1.9507,0.4359,0.65
2001-09-30,5.36,22640.0,1041.8527,1.9709,0.4405,0.65
2001-10-31,5.3,211960.0,1030.1793,1.9488,0.4355,0.65
2001-11-30,6.04,667800.0,1174.1515,2.2212,0.4964,0.65
2001-12-31,5.58,113820.0,1085.6281,2.0537,0.459,0.65
2002-01-31,6.01,578420.0,1168.3328,2.2102,0.4939,0.65
2002-02-28,7.21,1407870.0,1402.7776,2.6537,0.593,0.25
2002-03-31,6.57,480390.0,1278.2592,2.4181,0.5404,0.25
2002-04-30,8.4,433280.0,1634.3039,3.0916,0.6909,0.25
2002-05-31,7.2,471960.0,1400.832,2.65,0.5922,0.25
2002-06-30,8.2,196970.0,1595.3919,3.018,0.6745,0.25
2002-07-31,6.17,325300.0,1199.4439,2.269,0.5071,0.45
2002-08-31,6.5,53340.0,1264.6205,2.3923,0.5346,0.45
2002-09-30,6.3,52010.0,1225.7091,2.3187,0.5182,0.45
2002-10-31,6.1,26830.0,1186.7977,2.2451,0.5017,0.45
2002-11-30,6.3,141960.0,1225.7091,2.3187,0.5182,0.45
2002-12-31,6.41,79800.0,1247.1104,2.3592,0.5272,0.45
2003-01-31,6.11,229500.0,1187.7705,2.247,0.5021,0.45
2003-02-28,6.5,38880.0,1264.6205,2.3923,0.5346,0.45
2003-03-31,6.26,384350.0,1216.954,4.5019,0.5302,0.3
2003-04-30,6.38,32200.0,1241.2737,4.5919,0.5408,0.3
2003-05-31,7.89,1367730.0,1535.0547,5.6787,0.6688,0.3
2003-06-30,7.23,2634410.0,1405.6743,5.2001,0.6124,0.6
2003-07-31,6.91,418380.0,1344.3889,4.9734,0.5857,0.6
2003-08-31,7.25,685130.0,1410.5382,5.2181,0.6145,0.6
2003-09-30,7.8,485670.0,1517.5446,5.6139,0.6611,0.6
2003-10-31,9.27,702860.0,1803.5434,6.6719,0.7857,0.6
2003-11-30,11.63,4017800.0,2262.6979,8.3705,0.9858,0.6
2003-12-31,16.74,4875610.0,3256.8842,12.0484,1.4189,0.6
2004-01-31,15.0,2008450.0,2918.355,10.796,1.2714,0.6
2004-02-29,12.6,543400.0,2451.4182,9.0687,1.068,0.6
2004-03-31,10.81,1543740.0,2745.1183,5.9897,0.8086,0.6
2004-04-30,12.81,1475840.0,3253.2383,7.0983,0.9583,0.6
2004-05-31,12.5,1273950.0,3175.75,6.9293,0.9355,0.6
2004-06-30,11.63,2634560.0,2953.4475,6.4442,0.87,0.95
2004-07-31,11.83,2002180.0,3005.5298,6.5579,0.8853,0.95
2004-08-31,13.38,1788960.0,3399.3228,7.4171,1.0013,0.65
2004-09-30,15.1,1638710.0,3836.306,8.3705,1.1301,0.65
2004-10-31,14.09,1261460.0,3578.3787,7.8079,1.0541,0.65
2004-11-30,15.79,3028940.0,4011.5442,8.753,1.1817,0.65
2004-12-31,16.88,1426780.0,4289.7355,9.36,1.2636,0.65
2005-01-31,17.92,4756160.0,4552.6834,9.9338,1.3411,0.65
2005-02-28,20.51,7331870.0,5210.6885,11.3695,1.5349,0.65
2005-03-31,20.8,6047540.0,5284.3647,6.7412,1.3341,0.65
2005-04-30,20.81,2497870.0,5286.9053,6.7444,1.3348,0.65
2005-05-31,21.47,2602570.0,5453.312,6.9567,1.3768,0.65
2005-06-30,19.22,1134210.0,4881.686,6.2275,1.2325,0.75
2005-07-31,23.07,6198040.0,5859.8015,7.4752,1.4794,0.75
2005-08-31,25.37,2843110.0,6444.1303,8.2207,1.6269,0.75
2005-09-30,23.7,2523930.0,6021.1271,7.681,1.5202,0.75
2005-10-31,25.9,5098460.0,6578.78,8.3924,1.6609,0.75
2005-11-30,29.92,7659190.0,7601.3554,9.6969,1.9191,0.75
2005-12-31,35.62,8623540.0,9049.4746,11.5443,2.2847,0.75
2006-01-31,34.53,9223178.0,8771.2697,11.1894,2.2145,0.75
2006-02-28,40.53,9336630.0,10295.6033,13.1339,2.5993,0.75
2006-03-31,47.4,7675414.0,12042.2356,12.6253,2.614,0.75
2006-04-30,48.43,10041468.0,11540.4758,12.8983,2.6705,0.75
2006-05-31,42.73,19282568.0,10854.5256,11.38,2.3562,0.75
2006-06-30,30.85,8572056.0,7837.6154,8.2171,1.7013,0.85
2006-07-31,29.93,3998626.0,7602.6139,7.9707,1.6503,0.85
2006-08-31,31.73,4037062.0,8059.914,8.4501,1.7496,0.85
2006-09-30,34.5,5122784.0,8764.9183,9.1893,1.9026,0.85
2006-10-31,40.13,9151382.0,10193.9811,10.6875,2.2128,0.85
2006-11-30,40.6,4949706.0,10314.6575,10.814,2.239,0.85
2006-12-31,40.98,4876822.0,10409.9283,10.9139,2.2597,0.85
2007-01-31,44.93,5121088.0,11413.448,11.966,2.4775,0.85
2007-02-28,38.88,2929560.0,9876.4116,10.3546,2.1439,0.85
2007-03-31,32.63,3215540.0,8288.564,7.1013,1.504,0.85
2007-04-30,36.7,4911234.0,9323.8406,7.9883,1.6918,0.85
2007-05-31,37.13,1401718.0,9431.8143,8.0808,1.7114,0.85
2007-06-30,39.38,1938360.0,10003.4394,8.5706,1.8152,0.85
2007-07-31,43.1,4354914.0,11021.515,9.3814,1.9869,1.0
2007-08-31,46.6,5166374.0,11916.5336,10.1432,2.1482,1.0
2007-09-30,60.48,8527686.0,15464.6671,13.1633,2.7878,1.0
2007-10-31,52.93,4459180.0,13533.9811,11.52,2.4398,1.0
2007-11-30,58.43,6789466.0,14940.4411,12.7171,2.6933,1.0
2007-12-31,62.8,5744452.0,16059.2161,13.6694,2.895,1.0
2008-01-31,61.55,4162370.0,15739.5661,13.3973,2.8374,1.0
2008-02-29,64.0,3969234.0,16366.0801,13.9306,2.9503,1.0
2008-03-31,58.7,1339008.0,15010.7641,7.8162,2.0646,1.0
2008-04-30,68.47,6952942.0,19158.8946,9.1178,2.4084,1.0
2008-05-31,64.53,2403998.0,18053.7083,8.5919,2.2695,1.0
2008-06-30,58.48,5596852.0,16360.9545,7.7863,2.0567,1.0
2008-07-31,85.5,10189864.0,23922.3875,11.3848,3.0072,1.75
2008-08-31,89.08,5025294.0,24922.6511,11.8609,3.1329,1.75
2008-09-30,72.55,2893682.0,20299.0552,9.6605,2.5517,1.75
2008-10-31,58.68,5489316.0,16416.9133,7.8129,2.0637,1.75
2008-11-30,45.53,1720808.0,12737.6221,6.0619,1.6012,1.75
2008-12-31,47.15,3275444.0,13192.2874,6.2783,1.6584,1.75
2009-01-31,54.35,6944630.0,15206.8042,7.237,1.9116,6.0
2009-02-28,46.85,2104300.0,13108.3492,6.2383,1.6478,6.0
2009-03-31,45.3,2518502.0,12674.6685,2.2656,1.0458,6.0
2009-04-30,61.55,8920392.0,17221.3211,3.0783,1.421,6.0
2009-05-31,91.0,3760160.0,25461.2546,4.5511,2.1008,6.0
2009-06-30,93.1,8256714.0,26056.7716,4.6562,2.1493,6.0
2009-07-31,92.65,4903880.0,25930.8259,4.6337,2.1389,5.0
2009-08-31,85.8,4002002.0,24014.4768,4.2911,1.9808,5.0
