CRS IN Equity,price,volume,mc,pe,bm,div
2010-03-31,125.05,1004346.0,1573.079,7.9397,1.7772,1.0
2010-04-30,131.63,1830874.0,1655.7899,8.3571,1.8706,1.0
2010-05-31,123.03,195384.0,1547.6053,7.8111,1.7484,1.0
2010-06-30,128.4,170986.0,1615.2207,8.1524,1.8248,1.0
2010-07-31,136.38,4778654.0,1715.543,8.6587,1.9381,1.25
2010-08-31,171.4,2535808.0,2169.0328,10.8825,2.4359,1.25
2010-09-30,169.35,437204.0,2143.1072,10.7524,2.4068,1.25
2010-10-31,177.4,781087.0,2244.9792,11.2635,2.5212,1.25
2010-11-30,149.75,348890.0,1895.0712,9.5079,2.1282,1.25
2010-12-31,157.85,169491.0,1997.5759,10.0222,2.2433,1.25
2011-01-31,166.0,261172.0,2100.7133,10.5397,2.3592,1.25
2011-02-28,161.5,290723.0,2043.7663,10.254,2.2952,1.25
2011-03-31,159.45,405380.0,2017.8237,7.5856,1.8088,1.25
2011-04-30,192.0,525875.0,2429.7407,9.1342,2.178,1.25
2011-05-31,191.65,142454.0,2425.3115,9.1175,2.1741,1.25
2011-06-30,207.35,580045.0,2623.9934,9.8644,2.3522,1.25
2011-07-31,225.65,925425.0,2855.5781,10.735,2.5597,1.25
2011-08-31,202.8,242801.0,2566.4136,9.648,2.3005,2.5
2011-09-30,189.3,146438.0,2395.5725,9.0057,2.1474,2.5
2011-10-31,204.4,58670.0,2586.6615,9.7241,2.3187,2.5
2011-11-30,180.9,109616.0,2289.2713,8.6061,2.0521,2.5
2011-12-31,170.8,69535.0,2161.4569,8.1256,1.9375,2.5
2012-01-31,181.55,102581.0,2297.497,8.637,2.0595,2.5
2012-02-29,218.2,231924.0,2761.2991,10.3806,2.4752,2.5
2012-03-31,232.0,147545.0,2935.9367,9.1627,2.1094,2.5
2012-04-30,265.5,180410.0,3359.8758,10.4858,2.414,2.5
2012-05-31,252.95,119296.0,3201.0569,9.9901,2.2999,2.5
2012-06-30,273.0,229090.0,3454.7876,10.782,2.4822,2.5
2012-07-31,289.3,233902.0,3661.0625,11.4258,2.6304,2.5
2012-08-31,364.65,2178869.0,4614.6091,14.4017,3.3155,3.0
2012-09-30,336.0,281964.0,4252.0463,13.2701,3.055,3.0
2012-10-31,371.8,600034.0,4705.0917,14.684,3.3806,3.0
2012-11-30,430.2,356998.0,5444.1378,16.9905,3.9115,3.0
2012-12-31,406.1,525400.0,5139.1547,16.0387,3.6924,3.0
2013-01-31,418.95,1181621.0,5301.7702,16.5462,3.8093,3.0
2013-02-28,413.1,256394.0,5227.739,16.3152,3.7561,3.0
2013-03-31,443.6,347657.0,5613.7135,12.1501,3.1273,3.0
2013-04-30,455.85,184487.0,5768.736,12.4856,3.2137,3.0
2013-05-31,496.0,191247.0,6276.8302,13.5853,3.4968,3.0
2013-06-30,494.2,184691.0,6254.0387,13.536,3.4841,4.0
2013-07-31,500.4,207220.0,6332.4989,13.7058,3.5278,4.0
2013-08-31,480.05,186218.0,6074.9722,13.1485,3.3843,4.0
2013-09-30,528.7,76673.0,6690.6318,14.481,3.7273,4.0
2013-10-31,589.85,144718.0,7464.4773,16.1558,4.1584,4.0
2013-11-30,593.5,134105.0,7510.6676,16.2558,4.1841,4.0
2013-12-31,702.95,226894.0,8895.7436,19.2536,4.9557,4.0
2014-01-31,750.6,149779.0,9498.7483,20.5588,5.2917,4.0
2014-02-28,755.85,130403.0,9565.1864,20.7025,5.3287,4.0
2014-03-31,884.15,264895.0,11188.8067,21.5541,4.9957,4.0
2014-04-30,961.95,294202.0,12173.3559,23.4508,5.4353,4.0
2014-05-31,1293.65,1485976.0,16370.9776,31.5371,7.3095,4.0
2014-06-30,1256.85,207509.0,15905.2782,30.6399,7.1016,4.0
2014-07-31,1317.15,222709.0,16668.3671,32.1099,7.4423,4.0
2014-08-31,1684.45,423731.0,21316.5015,41.0641,9.5177,5.0
2014-09-30,1603.0,187496.0,20285.7628,39.0785,9.0575,5.0
2014-10-31,1667.85,726634.0,21106.4313,40.6594,9.4239,5.0
2014-11-30,1740.8,335392.0,22029.6052,42.4378,9.8361,5.0
2014-12-31,1785.65,375794.0,22597.1755,43.5312,10.0895,5.0
2015-01-31,2133.1,293550.0,26994.113,52.0015,12.0527,5.0
2015-02-28,2588.7,515186.0,32759.997,63.1082,14.627,5.0
2015-03-31,2481.35,144909.0,32272.1286,46.5021,8.9282,5.0
2015-04-30,2178.05,642299.0,28327.4461,40.818,7.8369,5.0
2015-05-31,2346.15,217722.0,30513.7311,43.9683,8.4418,5.0
2015-06-30,1956.65,180425.0,25447.9446,36.6689,7.0403,5.0
2015-07-31,1995.05,932246.0,25947.371,37.3885,7.1785,6.25
2015-08-31,2061.15,220444.0,26807.0569,38.6272,7.4163,6.25
2015-09-30,2020.65,162808.0,26280.3206,37.8683,7.2706,6.25
2015-10-31,1906.15,385554.0,24791.1479,35.7225,6.8586,6.25
2015-11-30,1956.85,113592.0,25450.5458,36.6726,7.041,6.25
2015-12-31,2016.6,132627.0,26227.6468,37.7924,7.256,6.25
2016-01-31,1749.45,121415.0,22753.1266,32.7858,6.2948,6.25
2016-02-29,1698.35,364052.0,22088.5272,31.8281,6.1109,6.25
2016-03-31,1829.9,134165.0,23799.45,28.5146,5.6533,6.25
2016-04-30,1844.95,596812.0,23995.1876,28.7491,5.6998,6.25
2016-05-31,2003.45,225298.0,26056.6187,31.2189,6.1895,6.25
2016-06-30,2376.9,181421.0,30913.6618,37.0382,7.3433,6.25
2016-07-31,2358.7,315092.0,30676.9557,36.7546,7.287,9.0
2016-08-31,2406.4,151091.0,31297.3351,37.4979,7.4344,9.0
2016-09-30,2379.85,187812.0,30952.0324,37.0842,7.3524,9.0
