DELHIVER IN Equity,price,volume,mc,pe,bm,div
2024-09-30,425.0,41517219.0,314516.2779,3838.3036,3.3944,0.0
2024-10-31,356.1,32473296.0,263835.183,3216.0468,2.8441,0.0
2024-11-30,335.95,42316881.0,249282.7905,3034.0661,2.6831,0.0
2024-12-31,346.15,79520812.0,257123.1325,1190.64,2.779,0.0
2025-01-31,321.05,35496851.0,238726.2572,1104.3044,2.779,0.0
2025-02-28,249.85,67832942.0,185988.838,859.4003,2.779,0.0
2025-03-31,255.1,47183899.0,190197.8353,116.484,2.0165,0.0
2025-04-30,305.55,154831658.0,227858.7845,139.5205,2.4153,0.0
2025-05-31,358.0,115152481.0,267102.3551,163.4703,2.8299,0.0
2025-06-30,382.8,55851845.0,285677.3039,143.3708,3.0247,0.0
2025-07-31,425.25,73048059.0,317488.2391,159.2697,3.0247,0.0
2025-08-31,468.05,77295014.0,349501.9122,175.2996,3.0247,0.0
2025-09-30,450.05,47649501.0,336374.2207,243.2703,3.5311,0.0
2025-10-31,465.95,75574412.0,348369.3617,251.8649,3.6559,0.0
2025-11-30,426.2,81815789.0,318702.4713,230.3784,3.344,0.0
2025-12-31,403.85,38677560.0,302118.4812,197.9657,3.1565,0.0
2026-01-31,422.95,47104968.0,316490.4157,207.3284,3.1565,0.0
2026-02-28,433.4,69914838.0,324409.8925,212.451,3.1565,0.0
2026-03-31,428.8,5308345.0,320966.6773,210.1961,3.1565,0.0
