DLFU IN Equity,price,volume,mc,pe,bm,div
2007-07-31,612.2,300041605.0,1034075.749,48.0122,35.9417,0.0
2007-08-31,598.05,108661276.0,1019575.161,46.9025,35.1109,0.0
2007-09-30,763.2,107626295.0,1301128.552,59.8545,44.8067,2.0
2007-10-31,949.4,153697027.0,1618568.458,74.4574,55.7384,2.0
2007-11-30,944.4,59084431.0,1610044.293,74.0653,55.4448,4.0
2007-12-31,1073.9,52658055.0,1830820.167,84.2214,63.0476,4.0
2008-01-31,809.3,61703989.0,1379721.353,63.47,47.5132,4.0
2008-02-29,780.3,59918234.0,1330281.196,61.1956,45.8107,4.0
2008-03-31,645.75,107515973.0,1100895.915,13.7442,5.875,4.0
2008-04-30,705.15,94823948.0,1202162.996,15.0085,6.4154,4.0
2008-05-31,586.85,103716032.0,1000481.251,12.4906,5.3391,4.0
2008-06-30,396.4,137224233.0,675795.8043,8.437,3.6064,4.0
2008-07-31,511.5,179243819.0,872022.0835,10.8868,4.6536,4.0
2008-08-31,493.1,114065021.0,840653.1562,10.4952,4.4862,4.0
2008-09-30,352.65,168277992.0,601209.3602,7.5058,3.2084,2.0
2008-10-31,220.0,185025739.0,375063.2617,4.6825,2.0015,2.0
2008-11-30,198.4,241328427.0,338238.8688,4.2228,1.805,2.0
2008-12-31,282.15,481464493.0,481018.6332,6.0053,2.567,2.0
2009-01-31,177.65,375127166.0,302863.5838,3.7811,1.6162,2.0
2009-02-28,152.0,488398424.0,259134.6172,3.2352,1.3829,2.0
2009-03-31,167.3,330268916.0,285218.5622,6.3758,1.2477,2.0
2009-04-30,230.25,389477935.0,392537.8,8.7748,1.7171,2.0
2009-05-31,406.5,764168852.0,689909.3487,15.4916,3.0316,2.0
2009-06-30,310.8,446144553.0,527487.8858,11.8445,2.3179,2.0
2009-07-31,396.2,477290881.0,672428.2508,15.0991,2.9547,2.0
2009-08-31,424.15,307497537.0,719864.8223,16.1643,3.1632,2.0
2009-09-30,438.0,310517291.0,743366.2002,16.6921,3.2665,2.0
2009-10-31,370.25,287527853.0,628381.9996,14.1101,2.7612,2.0
