DLPL IN Equity,price,volume,mc,pe,bm,div
2016-09-30,535.05,9254624.0,88543.2803,46.9174,14.5625,1.225
2016-10-31,590.6,3176340.0,97736.022,51.7885,16.0744,1.225
2016-11-30,578.03,6192190.0,95699.1899,50.6858,15.7322,1.225
2016-12-31,535.47,2498308.0,88654.501,55.8713,14.519,1.225
2017-01-31,557.95,2863274.0,92375.5203,58.2163,14.519,1.225
2017-02-28,486.85,6637996.0,80881.5443,50.7978,14.519,1.875
2017-03-31,483.78,15672476.0,80370.6873,51.4954,13.4959,1.875
2017-04-30,479.95,4176510.0,79735.231,51.0883,13.3892,1.875
2017-05-31,452.08,6475280.0,75104.2912,48.1211,12.6116,1.875
2017-06-30,390.98,10028880.0,65162.0426,40.5511,11.6443,1.875
2017-07-31,417.0,5657524.0,69499.5122,43.2503,11.6443,1.7
2017-08-31,405.35,7452482.0,67557.8591,42.042,11.6443,1.7
2017-09-30,398.73,2409914.0,66453.7002,41.9642,9.7401,1.7
2017-10-31,386.28,7448726.0,64378.7148,40.6539,9.436,1.7
2017-11-30,444.9,5094650.0,74149.4765,46.824,10.8681,1.6
2017-12-31,440.65,2059502.0,73441.1482,44.9762,10.8919,1.6
2018-01-31,451.85,7718246.0,75307.8017,46.1193,10.8919,1.6
2018-02-28,455.8,1422106.0,75966.1294,46.5225,10.8919,1.6
2018-03-31,438.15,2043364.0,73024.4836,42.502,9.2689,1.6
2018-04-30,422.13,1830632.0,70353.6691,40.9475,8.9299,1.6
2018-05-31,430.63,6863470.0,71777.9616,41.772,9.1097,1.6
2018-06-30,478.85,4515176.0,79816.2599,44.9084,9.8802,1.6
2018-07-31,470.0,4219110.0,78341.1134,44.0784,9.8802,1.6
2018-08-31,523.1,4504420.0,87191.9924,49.0583,9.8802,2.25
2018-09-30,479.28,2116726.0,79887.1003,43.6133,9.1348,2.25
2018-10-31,439.78,3401982.0,73303.1131,40.0189,8.3819,2.25
2018-11-30,431.23,4191746.0,71877.9715,39.2408,8.219,2.75
2018-12-31,455.15,6068234.0,75865.8676,39.3136,8.6578,2.75
2019-01-31,539.33,4846532.0,89896.4276,46.5842,8.6578,2.75
2019-02-28,505.65,3339900.0,84283.3702,43.6755,8.6578,2.75
2019-03-31,522.15,2058614.0,87033.6433,43.5212,9.2051,2.75
2019-04-30,522.15,1577648.0,87033.6433,43.5212,9.2051,2.75
2019-05-31,518.83,4550798.0,86479.4216,43.2441,9.1465,2.75
2019-06-30,534.85,4959464.0,89150.5202,42.5579,9.6842,2.75
2019-07-31,543.9,3108034.0,90659.0034,43.278,9.6842,2.75
2019-08-31,622.13,3785982.0,103697.7982,49.5023,9.6842,3.0
2019-09-30,696.38,4594990.0,116074.0273,49.712,10.9635,3.0
2019-10-31,768.73,3691626.0,128133.5583,54.8769,12.1026,3.0
2019-11-30,783.95,6817416.0,130671.3103,55.9637,12.3423,4.75
2019-12-31,746.98,5093128.0,124508.1983,51.4929,11.7621,4.75
2020-01-31,885.6,4254698.0,147614.6596,61.049,11.7621,4.75
2020-02-29,814.08,6578754.0,135697.9615,56.1184,11.7621,4.75
2020-03-31,700.85,11545988.0,116824.5141,51.4196,11.3113,6.0
2020-04-30,792.93,8269818.0,132172.4732,58.1749,12.7974,6.0
2020-05-31,766.33,4603636.0,127738.5257,56.2233,12.3681,6.0
2020-06-30,782.28,5457942.0,130397.2273,66.3787,12.6582,6.0
2020-07-31,945.85,8559060.0,157663.5038,80.2586,12.6582,6.0
2020-08-31,887.43,6558952.0,147924.6549,75.3011,12.6582,6.0
2020-09-30,939.88,6096288.0,156667.5325,78.0427,13.5394,6.0
2020-10-31,1148.43,13051122.0,191430.6853,95.3597,16.5437,6.0
2020-11-30,1145.25,6980546.0,190901.4453,95.0961,16.4979,6.0
2020-12-31,1152.63,7250078.0,192130.7823,80.2663,16.7011,6.0
2021-01-31,1123.75,8858800.0,187317.6156,78.2555,16.7011,6.0
2021-02-28,1150.35,11152124.0,191751.5631,80.1079,16.7011,6.0
2021-03-31,1353.53,10359748.0,225618.7547,77.5249,18.1211,6.0
2021-04-30,1466.35,31918728.0,244425.5266,83.9871,19.6316,6.0
2021-05-31,1478.08,15922636.0,246379.9641,84.6587,19.7886,6.0
2021-06-30,1636.23,20458922.0,272741.9493,69.304,21.3155,6.0
2021-07-31,1778.18,16692720.0,296403.5533,75.3165,21.3155,7.0
2021-08-31,2025.78,17183450.0,337675.9364,85.8038,21.3155,7.0
2021-09-30,1838.4,10779038.0,306442.4438,75.9931,22.3348,7.0
2021-10-31,1754.43,8527144.0,292444.6717,72.5219,21.3146,7.0
2021-11-30,1894.73,10667318.0,315831.2441,78.3214,23.0191,7.0
2021-12-31,1911.13,10050438.0,318564.9561,86.6063,22.6619,7.0
2022-01-31,1485.23,10537980.0,247571.7899,67.3058,22.6619,7.0
2022-02-28,1258.13,10821396.0,209716.5468,57.0144,22.6619,7.0
2022-03-31,1305.35,11171550.0,217588.4704,62.994,14.389,7.0
2022-04-30,1300.0,10466326.0,216696.6802,62.7358,14.33,7.0
2022-05-31,1042.35,23906838.0,173763.658,50.3021,11.4899,7.0
2022-06-30,1080.2,12097228.0,180073.3951,66.246,12.0257,10.0
2022-07-31,1151.8,10871632.0,192009.3839,70.6371,12.0257,6.0
2022-08-31,1283.15,10329112.0,213905.9219,78.6924,12.0257,6.0
2022-09-30,1259.38,14467124.0,209942.5402,84.5095,13.5542,6.0
2022-10-31,1281.53,8692340.0,213635.0283,85.9959,13.7926,6.0
2022-11-30,1222.8,12185302.0,203845.3504,82.0552,13.1606,6.0
2022-12-31,1130.22,15706512.0,188412.7504,77.2631,12.2956,6.0
2023-01-31,1050.65,7108482.0,175151.5017,71.8233,12.2956,6.0
2023-02-28,994.68,8846326.0,165820.0352,67.9968,12.2956,6.0
2023-03-31,914.05,9267312.0,152404.8159,63.8161,9.0994,6.0
2023-04-30,977.25,6348160.0,162973.7876,68.2285,9.7286,6.0
2023-05-31,1016.48,9326562.0,169566.0765,70.967,10.1191,6.0
2023-06-30,1129.7,17192036.0,188454.0167,71.4276,10.9802,3.0
2023-07-31,1163.15,12900680.0,194048.0284,73.5426,10.9802,3.0
2023-08-31,1087.95,5812108.0,181611.1715,68.7879,10.9802,6.0
