DN IN Equity,price,volume,mc,pe,bm,div
2003-03-31,3.83,322660.0,230.0,2.1961,0.3195,0.3
2003-04-30,4.06,317740.0,230.0,2.328,0.3387,0.3
2003-05-31,5.04,788880.0,230.0,2.8871,0.4201,0.3
2003-06-30,5.7,1993240.0,230.0,3.2684,0.4756,0.3
2003-07-31,6.6,1658490.0,230.0,3.7844,0.5507,0.3
2003-08-31,5.51,1970090.0,230.0,3.1566,0.4593,0.3
2003-09-30,5.33,1263590.0,230.0,3.0534,0.4443,0.3
2003-10-31,5.47,1596670.0,230.0,3.1336,0.456,0.3
2003-11-30,6.34,3192770.0,230.0,3.6325,0.5285,0.3
2003-12-31,7.54,6099390.0,230.0,4.3234,0.6291,0.3
2004-01-31,5.86,2069770.0,230.0,3.3573,0.4885,0.3
2004-02-29,6.3,980420.0,230.0,3.6124,0.5256,0.3
2004-03-31,5.75,734390.0,230.0,3.2971,0.4797,0.3
2004-04-30,6.02,362530.0,230.0,3.449,0.5018,0.3
2004-05-31,5.71,516220.0,230.0,3.2741,0.4764,0.3
2004-06-30,5.18,278240.0,230.0,2.9674,0.4318,0.3
2004-07-31,5.33,387790.0,230.0,3.0534,0.4443,0.3
2004-08-31,5.89,878410.0,230.0,3.3773,0.4914,0.3
2004-09-30,6.65,1857850.0,230.0,3.8131,0.5548,0.3
2004-10-31,6.59,3124980.0,230.0,3.7787,0.5498,0.3
2004-11-30,9.02,6460030.0,230.0,5.1692,0.7521,0.3
2004-12-31,8.67,6872580.0,230.0,4.9685,0.7229,0.3
2005-01-31,8.21,1350680.0,230.0,4.7076,0.685,0.3
2005-02-28,8.94,4114440.0,230.0,5.1262,0.7459,0.3
2005-03-31,8.75,3022360.0,230.0,5.0144,0.7296,0.3
2005-04-30,9.2,1363100.0,230.0,5.2753,0.7676,0.3
2005-05-31,13.32,16859650.0,230.0,7.6377,1.1113,0.3
2005-06-30,17.29,8675830.0,230.0,9.917,1.443,0.3
2005-07-31,20.81,5958480.0,230.0,11.9296,1.7358,0.4
2005-08-31,21.24,3617870.0,230.0,12.1819,1.7725,0.4
2005-09-30,25.3,6362700.0,230.0,14.5071,2.1108,0.4
2005-10-31,21.39,2036230.0,230.0,12.2622,1.7842,0.4
2005-11-30,25.12,2017020.0,230.0,14.401,2.0954,0.4
2005-12-31,26.88,4867130.0,230.0,15.4102,2.2422,0.4
2006-01-31,27.01,1792600.0,230.0,15.4847,2.2531,0.4
2006-02-28,21.1,2470900.0,230.0,12.0988,1.7604,0.4
2006-03-31,19.29,2914930.0,230.0,11.0609,1.6094,0.4
2006-04-30,21.03,2566680.0,230.0,12.0558,1.7542,0.4
2006-05-31,19.72,2404060.0,1767.1014,11.3046,1.6449,0.4
2006-06-30,15.99,1532220.0,1433.221,9.1687,1.3341,0.4
2006-07-31,14.23,782010.0,1275.0199,8.1566,1.1868,0.4
2006-08-31,16.54,989370.0,1482.9669,9.4869,1.3804,0.4
2006-09-30,16.49,1135800.0,1478.4853,9.4583,1.3762,0.4
2006-10-31,15.58,780190.0,1396.0235,8.9307,1.2995,0.4
2006-11-30,14.71,1164410.0,1318.0434,8.4319,1.2269,0.4
2006-12-31,13.62,1140680.0,1220.7923,7.8097,1.1363,0.4
2007-01-31,14.99,4277910.0,1343.5886,8.5953,1.2506,0.4
2007-02-28,13.64,2288310.0,1222.1368,7.8183,1.1376,0.4
2007-03-31,12.41,2885220.0,1111.8891,7.113,1.035,0.4
2007-04-30,12.8,711940.0,1146.8457,7.3367,1.0675,0.4
2007-05-31,13.0,813060.0,1165.2203,7.4542,1.0846,0.4
2007-06-30,13.32,812060.0,1193.9026,7.6377,1.1113,0.4
2007-07-31,11.93,2387260.0,1069.3137,6.8407,0.9953,0.4
2007-08-31,11.38,2893480.0,1020.0159,6.5253,0.9495,0.4
2007-09-30,12.01,3568410.0,1076.0361,6.8837,1.0016,0.4
2007-10-31,11.05,2872830.0,990.4372,6.3361,0.9219,0.4
2007-11-30,10.33,3005310.0,925.902,5.9232,0.8619,0.4
2007-12-31,14.83,5881270.0,1328.7993,8.5007,1.2369,0.4
2008-01-31,12.83,10405910.0,1149.9828,7.3567,1.0704,0.4
2008-02-29,13.69,2042850.0,1227.5148,7.8527,1.1426,0.4
2008-03-31,11.5,2534210.0,1030.7718,14.6684,0.6149,0.4
2008-04-30,12.87,1192400.0,1153.5681,16.4158,0.6881,0.4
2008-05-31,14.06,2251810.0,1259.7824,17.9273,0.7515,0.4
2008-06-30,14.18,2153760.0,1271.4346,18.0931,0.7584,0.4
2008-07-31,14.9,1482110.0,1335.5217,19.0051,0.7966,0.4
2008-08-31,13.84,1112390.0,1240.5114,17.6531,0.74,0.4
2008-09-30,11.32,789220.0,1014.1898,14.4324,0.605,0.4
2008-10-31,9.12,674560.0,816.9987,11.6263,0.4873,0.4
2008-11-30,9.37,1219370.0,839.8549,11.9515,0.501,0.4
2008-12-31,9.37,429070.0,839.8549,11.9515,0.501,0.4
2009-01-31,8.0,245380.0,717.0586,10.2041,0.4277,0.4
2009-02-28,7.7,371660.0,690.1689,9.8214,0.4117,0.4
2009-03-31,8.15,655080.0,730.9517,2.5848,0.3834,0.4
2009-04-30,10.38,596110.0,930.3836,3.29,0.488,0.4
2009-05-31,13.64,4629850.0,1222.585,4.3233,0.6413,0.4
2009-06-30,11.68,2163770.0,1046.9056,3.7021,0.5492,0.4
2009-07-31,12.32,1461570.0,1103.8221,3.9033,0.579,0.5
2009-08-31,13.53,796760.0,1212.2773,4.2868,0.6359,0.5
2009-09-30,13.32,2189750.0,1193.9026,4.2219,0.6263,0.5
2009-10-31,12.33,772100.0,1105.1666,3.9081,0.5797,0.5
2009-11-30,12.5,1084900.0,1120.4041,3.962,0.5877,0.5
2009-12-31,13.52,2120360.0,1211.8291,4.2853,0.6357,0.5
2010-01-31,14.91,8476620.0,1335.9699,4.7242,0.7008,0.5
2010-02-28,13.71,1395090.0,1433.216,4.3455,0.6446,0.5
2010-03-31,13.7,1251590.0,1432.1706,6.2786,0.6527,0.5
2010-04-30,16.95,3523020.0,1771.9191,7.7681,0.8075,0.5
2010-05-31,16.16,1897130.0,1689.3341,7.406,0.7699,0.5
2010-06-30,18.02,1529510.0,1884.2975,8.2608,0.8587,0.5
2010-07-31,20.22,2609140.0,2113.2357,9.2644,0.963,0.5
2010-08-31,17.59,1120470.0,1838.8235,8.0614,0.838,0.5
2010-09-30,17.96,1129460.0,1877.5025,8.231,0.8556,0.5
2010-10-31,19.25,1270710.0,2012.3565,8.8222,0.9171,0.5
2010-11-30,18.5,1741790.0,1933.953,8.4785,0.8813,0.5
2010-12-31,19.5,1029680.0,2038.491,8.9368,0.929,0.5
2011-01-31,19.62,628570.0,2050.5129,8.9895,0.9344,0.5
2011-02-28,19.4,970760.0,2028.0372,8.8909,0.9242,0.5
2011-03-31,17.66,509810.0,1846.1411,7.1643,0.776,0.5
2011-04-30,18.36,653520.0,1919.3177,7.4483,0.8067,0.5
2011-05-31,18.05,206630.0,1886.9109,7.3225,0.7931,0.5
2011-06-30,18.5,495490.0,1933.953,7.5051,0.8129,0.5
2011-07-31,21.13,1682520.0,2208.3653,8.57,0.9282,0.6
2011-08-31,19.29,264200.0,2016.0154,7.8235,0.8474,0.6
2011-09-30,17.49,328800.0,1828.8923,7.0974,0.7687,0.6
2011-10-31,18.0,157150.0,1881.684,7.3022,0.7909,0.6
2011-11-30,15.78,242590.0,1649.6097,6.4016,0.6934,0.6
2011-12-31,15.3,922480.0,1599.4314,6.2069,0.6723,0.6
2012-01-31,15.02,202310.0,1570.1608,6.0933,0.66,0.6
2012-02-29,17.51,1254530.0,1829.9377,7.1014,0.7692,0.6
2012-03-31,14.35,2125980.0,1500.1203,6.505,0.5935,0.6
2012-04-30,16.32,373200.0,1705.5375,7.3957,0.6747,0.6
2012-05-31,15.8,260960.0,1651.7004,7.1623,0.6534,0.6
2012-06-30,16.45,619550.0,1719.6501,7.4569,0.6803,0.6
2012-07-31,15.99,317540.0,1671.5627,7.2484,0.6613,0.6
2012-08-31,16.9,340300.0,1766.1695,7.6587,0.6987,0.6
2012-09-30,17.59,476250.0,1838.3008,7.9714,0.7272,0.6
2012-10-31,20.03,1330680.0,2093.8962,9.0798,0.8284,0.6
2012-11-30,26.52,1488760.0,2772.3478,12.0218,1.0968,0.6
2012-12-31,26.51,1224930.0,2770.7797,12.015,1.0961,0.6
2013-01-31,25.99,952290.0,2716.9427,11.7815,1.0748,0.6
2013-02-28,26.19,1513780.0,2737.8503,11.8722,1.0831,0.6
2013-03-31,26.5,1426860.0,2770.2571,7.3306,0.9873,0.6
2013-04-30,27.06,547370.0,2828.2756,7.4841,1.0079,0.6
2013-05-31,27.5,591670.0,2874.7951,7.6072,1.0245,0.6
2013-06-30,26.9,803580.0,2812.0774,7.4412,1.0022,0.6
2013-07-31,25.7,357200.0,2686.6316,7.1093,0.9575,0.8
2013-08-31,23.0,969600.0,2404.3784,6.3624,0.8569,0.8
2013-09-30,24.0,161460.0,2508.9166,6.639,0.8941,0.8
2013-10-31,26.31,307210.0,2750.3999,7.278,0.9802,0.8
2013-11-30,30.0,683140.0,3136.1458,8.2988,1.1177,0.8
2013-12-31,30.13,327070.0,3149.2131,8.3333,1.1223,0.8
2014-01-31,30.5,738840.0,3188.4149,8.4371,1.1363,0.8
2014-02-28,40.88,2266010.0,4273.5213,11.3084,1.523,0.8
2014-03-31,42.7,2067680.0,4463.7808,11.6571,1.4515,0.8
2014-04-30,52.63,2794630.0,5501.8451,14.368,1.7891,0.8
2014-05-31,88.79,7342870.0,9281.9461,24.2397,3.0183,0.8
2014-06-30,87.6,6828381.0,9157.5457,23.9148,2.9778,0.8
2014-07-31,80.8,2475792.0,8446.686,22.0584,2.7467,1.0
2014-08-31,77.0,1631442.0,8049.4408,21.021,2.6175,1.0
2014-09-30,78.5,1860468.0,8206.2481,21.4305,2.6685,1.0
2014-10-31,73.55,3247816.0,7688.7841,20.0792,2.5002,1.0
2014-11-30,85.2,3530384.0,8906.654,23.2596,2.8963,1.0
2014-12-31,81.7,3014598.0,8540.7703,22.3041,2.7773,1.0
2015-01-31,82.6,1334238.0,8634.8547,22.5498,2.8079,1.0
2015-02-28,75.7,1730461.0,7913.5268,20.6661,2.5733,1.0
2015-03-31,68.5,1267119.0,7160.8662,13.5375,2.0683,1.0
2015-04-30,69.0,803445.0,7213.1353,13.6364,2.0834,1.0
2015-05-31,67.05,528893.0,7009.2858,13.251,2.0245,1.0
2015-06-30,62.1,533430.0,6491.8218,12.2727,1.875,1.0
2015-07-31,71.3,5283454.0,7453.5731,14.0909,2.1528,1.0
2015-08-31,61.35,1420452.0,6413.4181,12.1245,1.8524,1.0
2015-09-30,63.1,1282860.0,6596.36,12.4704,1.9052,1.0
2015-10-31,65.1,1501995.0,6805.4363,12.8656,1.9656,1.0
2015-11-30,70.65,1162343.0,7385.6233,13.9625,2.1332,1.0
2015-12-31,73.55,2311985.0,7688.7841,14.5356,2.2208,1.0
2016-01-31,65.9,1632693.0,7663.3919,13.0237,1.9898,1.0
2016-02-29,59.65,1721143.0,6936.5907,11.7885,1.8011,1.0
2016-03-31,68.0,1899536.0,7907.5971,11.6239,1.6723,1.0
2016-04-30,70.05,854204.0,8145.9879,11.9744,1.7227,1.0
2016-05-31,82.35,4023464.0,9576.3327,14.0769,2.0252,1.0
2016-06-30,86.3,2919163.0,10035.671,14.7521,2.1223,1.0
2016-07-31,102.95,3565291.0,11971.8694,17.5983,2.5318,1.2
2016-08-31,113.45,7546988.0,13192.8955,19.3932,2.79,1.2
2016-09-30,119.05,7828482.0,13844.1093,20.3504,2.9277,1.2
2016-10-31,114.45,3732363.0,13309.1837,19.5641,2.8146,1.2
2016-11-30,93.7,2327555.0,10896.2037,16.0171,2.3043,1.2
2016-12-31,92.0,10148707.0,10698.5137,15.7265,2.2625,1.2
2017-01-31,107.2,4135662.0,12466.0943,18.3248,2.6363,1.2
2017-02-28,107.45,2492619.0,12495.1663,18.3675,2.6424,1.2
2017-03-31,131.25,8058747.0,15262.8253,15.9866,2.3999,1.2
2017-04-30,136.85,4239543.0,17887.8377,16.6687,2.5023,1.2
2017-05-31,141.25,3768752.0,18462.9673,17.2046,2.5827,1.2
2017-06-30,161.4,9270138.0,21096.7995,19.659,2.9512,1.2
2017-07-31,162.3,7196998.0,21214.4396,19.7686,2.9676,1.2
2017-08-31,178.55,5467759.0,23338.4978,21.7479,3.2647,1.2
2017-09-30,194.05,8738011.0,25364.5226,23.6358,3.5482,1.2
2017-10-31,217.15,11012215.0,28383.953,26.4495,3.9705,1.2
2017-11-30,208.65,7340567.0,27272.9059,25.4141,3.8151,1.2
2017-12-31,231.5,9798242.0,30259.6583,28.1973,4.2329,1.2
2018-01-31,278.1,25245952.0,36350.8034,33.8733,5.085,1.2
2018-02-28,260.75,6500427.0,35564.4854,31.76,4.7677,1.2
2018-03-31,247.9,7074898.0,33811.8349,41.3167,3.6667,1.2
2018-04-30,269.2,5989472.0,36717.0066,44.8667,3.9817,1.2
2018-05-31,244.15,3609047.0,33300.361,40.6917,3.6112,1.2
2018-06-30,243.85,3163359.0,33259.443,40.6417,3.6068,1.2
2018-07-31,241.65,2749351.0,32959.3784,40.275,3.5742,1.3
2018-08-31,261.25,5186508.0,35632.682,43.5417,3.8641,1.3
2018-09-30,295.6,13908647.0,40317.7829,49.2667,4.3722,1.3
2018-10-31,248.5,7489663.0,33893.6707,41.4167,3.6756,1.3
2018-11-30,257.65,8692865.0,35141.667,42.9417,3.8109,1.3
2018-12-31,221.1,5071757.0,30156.5014,36.85,3.2703,1.3
2019-01-31,219.35,3980616.0,29917.8135,36.5583,3.2444,1.3
2019-02-28,232.55,2574085.0,31718.2017,38.7583,3.4396,1.3
2019-03-31,274.15,6302669.0,37392.1522,21.5357,3.4894,1.3
2019-04-30,264.1,3092635.0,36021.4021,20.7463,3.3615,1.3
2019-05-31,315.15,13915167.0,42984.2669,24.7565,4.0113,1.3
2019-06-30,290.1,9399016.0,39567.6212,22.7887,3.6924,2.0
2019-07-31,277.8,5048319.0,37889.9868,21.8225,3.5359,2.0
2019-08-31,275.5,7491958.0,37576.2828,21.6418,3.5066,2.0
2019-09-30,298.85,5549820.0,40761.0603,23.476,3.8038,2.0
2019-10-31,341.2,7149808.0,46537.3056,26.8028,4.3428,2.0
2019-11-30,336.9,9637084.0,45950.8155,26.465,4.2881,2.0
2019-12-31,373.1,7563063.0,50888.2436,29.3087,4.7489,2.0
2020-01-31,383.6,7565949.0,52320.3705,30.1335,4.8825,2.0
2020-02-29,461.9,20998912.0,62999.9456,36.2844,5.8791,2.0
2020-03-31,385.05,26792143.0,52518.1404,8.5949,3.341,4.5
2020-04-30,506.15,22076515.0,69035.3377,11.298,4.3918,4.5
2020-05-31,498.1,27480491.0,67937.3737,11.1183,4.322,4.5
2020-06-30,475.05,19063781.0,64793.5141,10.6038,4.122,4.5
2020-07-31,643.15,36715929.0,87721.1843,14.356,5.5805,4.5
2020-08-31,683.45,43870624.0,93217.8239,15.2556,5.9302,4.5
2020-09-30,821.2,42882066.0,112005.9653,18.3304,7.1255,4.5
2020-10-31,742.25,19793128.0,101237.7354,16.5681,6.4404,4.5
2020-11-30,865.1,17417100.0,117993.6206,19.3103,7.5064,4.5
2020-12-31,941.85,22554679.0,128461.7866,21.0234,8.1723,4.5
2021-01-31,971.55,18336796.0,132512.66,21.6864,8.43,4.5
2021-02-28,1368.65,26374289.0,186674.3369,30.5502,11.8756,4.5
2021-03-31,1656.5,29926483.0,225935.0741,29.1227,9.628,4.5
2021-04-30,1865.6,27820817.0,254454.8592,32.7989,10.8433,4.5
2021-05-31,1785.4,28915570.0,243516.1372,31.3889,10.3772,0.0
2021-06-30,1808.55,27909248.0,246673.6361,31.7959,10.5117,0.0
2021-07-31,2039.2,31839366.0,278132.6892,35.8509,11.8523,5.5
2021-08-31,2283.6,31052867.0,311467.1484,40.1477,13.2728,5.5
2021-09-30,2406.55,17324061.0,328236.6728,42.3092,13.9875,5.5
2021-10-31,2230.35,44829131.0,304204.219,39.2115,12.9633,5.5
2021-11-30,2119.4,17967207.0,289071.4111,37.2609,12.3185,5.5
2021-12-31,2490.2,18562164.0,339645.9507,43.7799,14.4737,5.5
2022-01-31,2231.5,15751615.0,304361.071,39.2317,12.97,5.5
2022-02-28,1999.05,16252667.0,272656.5086,35.145,11.619,5.5
2022-03-31,2243.75,20370320.0,306031.8857,28.6925,9.1669,5.5
2022-04-30,2326.6,12463197.0,317332.0492,29.7519,9.5054,5.5
2022-05-31,1997.0,17159620.0,272376.9029,25.5371,8.1588,5.5
2022-06-30,1736.4,26556278.0,236832.8764,22.2046,7.0941,5.5
2022-07-31,1919.4,19285348.0,261792.8029,24.5448,7.8418,7.0
2022-08-31,1979.05,19973969.0,269928.6478,25.3075,8.0855,7.0
2022-09-30,2036.0,25975553.0,277696.2315,26.0358,8.3181,7.0
2022-10-31,2313.95,12085849.0,315606.6772,29.5902,9.4537,7.0
2022-11-30,2175.55,12942042.0,296729.8803,27.8203,8.8883,7.0
2022-12-31,1985.3,7764364.0,270781.1043,25.3875,8.111,7.0
2023-01-31,1880.05,4666024.0,256425.7367,24.0416,7.681,7.0
2023-02-28,1799.15,9280202.0,245391.5397,23.007,7.3505,7.0
2023-03-31,1842.6,6006703.0,251317.8173,29.5005,6.1448,7.0
