EIH IN Equity,price,volume,mc,pe,bm,div
2002-03-31,24.81,876593.0,11225.2856,52.8424,1.1902,0.6949
2002-04-30,23.77,295833.0,10753.745,50.6226,1.1403,0.6949
2002-05-31,23.81,165552.0,10769.463,50.6966,1.1419,0.6949
2002-06-30,23.64,271640.0,10696.1123,50.3513,1.1341,0.6949
2002-07-31,24.48,523559.0,11073.3447,52.1271,1.1741,0.6949
2002-08-31,24.09,1019264.0,10897.8268,51.3009,1.1555,0.6949
2002-09-30,24.61,482313.0,11130.9775,52.3984,1.1802,0.6949
2002-10-31,23.62,293691.0,10685.6336,50.302,1.133,0.6949
2002-11-30,22.88,76835.0,10350.3158,48.7235,1.0975,0.6949
2002-12-31,22.01,147757.0,9954.7457,46.8614,1.0555,0.6949
2003-01-31,20.59,2387314.0,9312.9265,43.8401,0.9875,0.6949
2003-02-28,20.57,982007.0,9305.0675,43.8031,0.9866,0.6949
2003-03-31,17.96,352879.0,8126.2161,224.8422,0.8973,0.6949
2003-04-30,17.98,171578.0,8131.4554,224.9872,0.8979,0.6949
2003-05-31,18.96,318912.0,8576.7993,237.3093,0.9471,0.6949
2003-06-30,20.08,1150521.0,9085.0153,251.371,1.0032,0.6949
2003-07-31,21.81,617706.0,9868.2966,273.0434,1.0897,0.6949
2003-08-31,24.19,1475416.0,10942.3612,302.7615,1.2083,0.3475
2003-09-30,24.64,1496699.0,11146.6955,308.4151,1.2309,0.3475
2003-10-31,28.84,2215718.0,13048.5758,361.0378,1.4409,0.3475
2003-11-30,29.88,1285352.0,13517.4968,374.0122,1.4927,0.3475
2003-12-31,34.4,3245714.0,15560.8393,430.549,1.7183,0.3475
2004-01-31,33.11,1342769.0,14979.2726,414.4577,1.6541,0.3475
2004-02-29,32.18,325102.0,14557.5057,402.788,1.6075,0.3475
2004-03-31,31.61,511670.0,14298.1584,98.9579,1.5944,0.3475
2004-04-30,31.63,254432.0,14308.6371,99.0304,1.5956,0.3475
2004-05-31,29.07,181542.0,13150.743,91.0166,1.4665,0.3475
