EIM IN Equity,price,volume,mc,pe,bm,div
2006-03-31,30.24,10300500.0,8494.2209,4.0078,1.9293,0.4
2006-04-30,31.19,8214170.0,8402.9154,4.1344,1.9903,0.4
2006-05-31,29.61,3719590.0,8318.6334,3.925,1.8894,0.4
2006-06-30,23.85,2621000.0,6700.419,3.1615,1.5219,0.4
2006-07-31,22.24,11167070.0,6248.1056,2.948,1.4192,0.4
2006-08-31,22.58,2118620.0,6342.2205,2.9925,1.4405,0.4
2006-09-30,29.69,24578610.0,8339.7039,3.9349,1.8942,0.4
2006-10-31,36.19,42641640.0,10165.8139,4.7965,2.309,0.4
2006-11-30,38.01,12894060.0,10677.1246,5.0378,2.4251,0.4
2006-12-31,36.39,2998530.0,10224.8113,4.8244,2.3224,0.4
2007-01-31,37.57,5589000.0,10554.9157,4.9801,2.3974,0.4
2007-02-28,34.07,2998940.0,9571.6258,4.5162,2.174,0.4
2007-03-31,24.54,6293640.0,6894.2676,13.0746,1.7222,2.9
2007-04-30,27.08,31360680.0,7606.4505,14.4253,1.9001,2.9
2007-05-31,33.56,22282400.0,9426.9417,17.8777,2.3548,2.9
2007-06-30,35.24,17631640.0,9900.3256,18.7755,2.4731,2.9
2007-07-31,37.67,28227890.0,10583.0097,20.0702,2.6436,2.9
2007-08-31,36.61,16544870.0,10283.8086,19.5027,2.5689,2.9
2007-09-30,42.12,19311230.0,11833.1927,22.4411,2.9559,2.9
2007-10-31,47.22,25915000.0,13265.9867,25.1583,3.3138,2.9
2007-11-30,42.98,10835890.0,12074.8011,22.8993,3.0163,2.9
2007-12-31,40.79,73615000.0,11459.5425,21.7325,2.8626,2.9
2008-01-31,27.86,17474520.0,7826.9884,14.8435,1.9552,2.9
2008-02-29,28.51,11098790.0,8009.5994,15.1898,2.0008,2.9
2008-03-31,24.99,5623420.0,7020.6906,12.8208,1.6108,0.4
2008-04-30,27.5,6088100.0,7725.85,14.1085,1.7726,0.4
2008-05-31,30.11,56534030.0,8459.1034,15.4476,1.9409,0.5
2008-06-30,27.51,14957410.0,7728.6594,14.1137,1.7733,0.5
2008-07-31,27.2,7363040.0,7640.1633,13.9521,1.753,0.5
2008-08-31,28.57,3265450.0,8026.4558,14.6575,1.8416,0.5
2008-09-30,26.69,2918630.0,7496.8839,13.6904,1.7201,0.5
2008-10-31,19.49,5311000.0,5474.1159,9.9965,1.256,0.5
2008-11-30,21.99,3161790.0,6176.4659,11.2791,1.4171,0.5
2008-12-31,23.49,1501580.0,6600.6853,12.0538,1.5145,0.5
2009-01-31,21.79,3111960.0,6120.2779,11.1765,1.4042,0.5
2009-02-28,21.84,48037650.0,6134.3249,11.2022,1.4075,0.5
2009-03-31,21.74,7497400.0,6109.0403,11.156,1.4017,0.5
2009-04-30,20.47,28660480.0,5461.085,10.4993,1.3192,0.5
2009-05-31,28.43,12382260.0,7586.5452,14.5857,1.8326,0.5
2009-06-30,31.16,6941330.0,8315.0457,15.9863,2.0086,0.5
2009-07-31,37.73,4350430.0,10068.2501,19.3569,2.4321,0.5
2009-08-31,44.46,7663520.0,11862.8163,22.8071,2.8655,0.5
2009-09-30,58.08,8302880.0,15497.3132,29.7947,3.7435,0.5
2009-10-31,50.07,3765740.0,13361.179,25.6878,3.2275,0.5
2009-11-30,58.45,3705140.0,15597.3822,29.9871,3.7676,0.5
2009-12-31,65.52,13583010.0,17487.8532,21.2849,0.7759,0.5
2010-01-31,56.79,8670060.0,15157.5631,18.4487,0.6725,0.5
2010-02-28,58.4,13456230.0,15590.1137,18.9734,0.6916,0.5
2010-03-31,65.14,5332440.0,17388.0489,21.1615,0.7714,0.7
2010-04-30,80.09,24222710.0,21417.9875,26.0201,0.9485,0.7
2010-05-31,84.87,19888240.0,22694.9371,27.5715,1.005,0.7
2010-06-30,91.7,49000780.0,24545.8884,29.7921,1.086,0.7
2010-07-31,98.41,23963460.0,26383.7205,31.9721,1.1654,0.7
2010-08-31,125.57,32143660.0,33665.3147,40.796,1.4871,0.7
2010-09-30,122.27,8512070.0,32780.5847,39.7238,1.448,0.7
2010-10-31,128.09,10080260.0,34342.2671,41.6163,1.517,0.7
2010-11-30,118.67,7738440.0,31967.0849,38.5543,1.4054,0.7
2010-12-31,123.53,4194080.0,33274.9168,17.5113,2.7006,0.7
2011-01-31,102.29,6293190.0,27554.6751,14.501,2.2363,0.7
2011-02-28,105.92,12416370.0,28554.2608,15.0149,2.3156,0.7
2011-03-31,134.43,8479280.0,36241.7926,19.0573,2.939,1.1
2011-04-30,124.74,2858710.0,33630.7519,17.6843,2.7272,1.1
2011-05-31,133.49,12542940.0,35997.7149,18.924,2.9184,1.1
2011-06-30,130.04,8715550.0,35068.7138,18.4356,2.8431,1.1
2011-07-31,132.03,1199210.0,35604.0042,18.717,2.8865,1.1
2011-08-31,134.43,2047220.0,36274.0486,19.0566,2.9389,1.1
2011-09-30,160.58,9799600.0,43333.22,22.7651,3.5108,1.1
2011-10-31,169.11,3873980.0,45632.3096,23.9729,3.6971,1.1
2011-11-30,161.35,5036480.0,43552.5593,22.8735,3.5275,1.1
2011-12-31,148.8,2747210.0,40164.988,12.9979,2.69,1.1
2012-01-31,167.15,2272190.0,45118.13,14.6008,3.0217,1.1
2012-02-29,173.73,3657750.0,46894.2448,15.1756,3.1407,1.1
2012-03-31,199.33,7111430.0,53807.4927,17.4122,3.6035,1.6
2012-04-30,228.39,8157500.0,61651.8021,19.9506,4.1289,1.6
2012-05-31,229.44,5750060.0,61932.5395,20.0415,4.1477,1.6
2012-06-30,199.99,4697760.0,53994.3018,17.4694,3.6154,1.6
