EXID IN Equity,price,volume,mc,pe,bm,div
2002-03-31,3.12,1269440.0,2332.8843,7.5958,0.6713,0.0722
2002-04-30,3.15,1364904.0,2358.0852,7.6779,0.6785,0.0722
2002-05-31,3.12,1770265.0,2329.2842,7.5841,0.6702,0.0722
2002-06-30,3.79,2324510.0,2835.1024,9.231,0.8158,0.1686
2002-07-31,3.53,5310835.0,2637.0953,8.5863,0.7588,0.1686
2002-08-31,3.78,1330688.0,2822.502,9.19,0.8122,0.1686
2002-09-30,3.53,348783.0,2638.8953,8.5922,0.7593,0.1686
2002-10-31,3.98,780844.0,2950.5707,9.6941,0.8567,0.1686
2002-11-30,4.36,547519.0,3228.8591,10.6084,0.9375,0.1686
2002-12-31,4.32,1775351.0,3196.0243,10.5205,0.9297,0.1686
2003-01-31,4.31,1159172.0,3187.1217,10.4911,0.9272,0.1686
2003-02-28,4.0,857955.0,2960.9963,9.7468,0.8614,0.1686
2003-03-31,3.56,487018.0,2635.1621,4.7067,0.7062,0.1686
2003-04-30,4.83,8115159.0,3568.1519,6.3732,0.9562,0.1686
2003-05-31,6.27,6134242.0,4636.4608,8.2813,1.2425,0.1686
2003-06-30,6.72,5872535.0,4967.6366,8.8728,1.3313,0.1686
2003-07-31,8.65,5778949.0,6392.0581,11.417,1.713,0.3853
2003-08-31,7.92,2426411.0,5857.9028,10.463,1.5699,0.3853
2003-09-30,8.1,4182952.0,5978.5603,10.6919,1.6042,0.3853
2003-10-31,11.06,28474583.0,8165.8384,14.6036,2.1912,0.3853
2003-11-30,12.31,20285355.0,9102.0059,16.2573,2.4393,0.3853
2003-12-31,13.58,8318940.0,10042.1191,17.9365,2.6912,0.3853
2004-01-31,12.52,9577988.0,9258.6914,16.5372,2.4813,0.3853
2004-02-29,12.73,1970744.0,9408.2549,16.8043,2.5214,0.3853
2004-03-31,12.39,9520145.0,9158.9824,10.6032,2.2534,0.3853
2004-04-30,15.03,4728997.0,11110.4297,12.8623,2.7335,0.3853
2004-05-31,11.93,1203188.0,8820.6841,10.2115,2.1702,0.3853
2004-06-30,10.81,990303.0,7990.9629,9.251,1.966,0.3853
2004-07-31,12.52,9854488.0,9258.6914,10.7186,2.2779,0.3853
2004-08-31,14.42,1809796.0,10658.1782,12.3388,2.6222,0.3853
2004-09-30,14.97,3380848.0,11067.6973,12.8128,2.723,0.3853
2004-10-31,14.13,2182881.0,10448.0771,12.0955,2.5705,0.3853
2004-11-30,15.03,3254624.0,11113.9907,12.8664,2.7344,0.3853
2004-12-31,15.87,7686732.0,11730.0498,13.5796,2.8859,0.3853
2005-01-31,14.56,10126037.0,10768.5703,12.4665,2.6494,0.3853
2005-02-28,15.74,9863022.0,11641.0239,13.4766,2.864,0.3853
2005-03-31,13.87,15320085.0,10800.0,13.0521,2.1692,0.3853
2005-04-30,13.58,10558066.0,10571.25,12.7756,2.1233,0.3853
2005-05-31,16.24,42445315.0,12641.25,15.2773,2.539,0.3853
2005-06-30,16.31,14987008.0,12697.5,15.3453,2.5503,0.3853
2005-07-31,18.68,21267322.0,14542.5,17.575,2.9209,0.2408
2005-08-31,18.65,22614973.0,14520.0,17.5478,2.9164,0.2408
2005-09-30,20.32,32377350.0,15817.5,19.1159,3.177,0.2408
2005-10-31,20.29,14219275.0,15798.75,19.0932,3.1732,0.2408
2005-11-30,21.1,5403289.0,16425.0,19.85,3.299,0.2408
2005-12-31,25.38,32421937.0,19762.5,23.8835,3.9694,0.2408
2006-01-31,23.31,53524293.0,18150.0,21.9347,3.6455,0.2408
2006-02-28,23.24,21039084.0,18097.5,21.8713,3.6349,0.2408
2006-03-31,25.43,9739653.0,19796.25,28.0363,3.6599,0.2408
2006-04-30,26.32,11009643.0,20670.0,29.0188,3.7882,0.2408
2006-05-31,24.86,4098315.0,19353.75,27.4096,3.5781,0.2408
2006-06-30,24.21,11922856.0,18851.25,26.6979,3.4852,0.2408
2006-07-31,25.91,7412776.0,20175.0,28.5727,3.7299,0.289
