FCT IN Equity,price,volume,mc,pe,bm,div
2008-03-31,22.4,625811.0,7946.8929,160.0,2.2368,0.0
2008-04-30,34.85,772181.0,12363.8043,248.9286,3.4801,0.0
2008-05-31,33.2,1824565.0,11778.4305,237.1429,3.3153,0.0
2008-06-30,25.9,1138956.0,9188.5949,185.0,2.5864,0.0
2008-07-31,26.7,778896.0,9472.4125,190.7143,2.6662,0.0
2008-08-31,26.7,1071555.0,9472.4125,190.7143,2.6662,0.0
2008-09-30,24.95,1949440.0,8851.5615,178.2143,2.4915,0.0
2008-10-31,18.25,551141.0,6474.5891,130.3571,1.8224,0.0
2008-11-30,16.25,277696.0,5765.0451,116.0714,1.6227,0.0
2008-12-31,18.45,301842.0,6545.5435,131.7857,1.8424,0.0
2009-01-31,17.7,338119.0,6279.4645,126.4286,1.7675,0.0
2009-02-28,20.0,1964766.0,7095.4401,142.8571,1.9972,0.0
2009-03-31,21.85,883127.0,7751.7683,32.9152,2.1821,0.0
2009-04-30,25.95,3775552.0,9206.3335,39.0915,2.5915,0.0
2009-05-31,43.25,5442691.0,15343.8891,65.1525,4.3192,0.0
2009-06-30,43.55,5652119.0,15450.3207,65.6044,4.3492,0.0
2009-07-31,35.95,1616262.0,12754.0535,54.1557,3.5902,0.0
2009-08-31,34.3,831252.0,12168.6797,51.6701,3.4254,0.0
2009-09-30,40.65,2120174.0,14421.4819,61.2358,4.0595,0.0
2009-10-31,33.7,1019829.0,11955.8165,50.7662,3.3655,0.0
2009-11-30,37.6,5231053.0,13339.4273,56.6413,3.7549,0.0
2009-12-31,38.65,1828055.0,13711.9379,58.223,3.8598,0.0
2010-01-31,63.9,54227840.0,22669.931,96.26,6.3814,0.0
2010-02-28,52.65,36227392.0,18678.746,79.3128,5.2579,0.0
2010-03-31,45.45,9385223.0,16124.3875,69.5211,4.5392,0.0
2010-04-30,53.15,8470357.0,18856.132,69.5211,5.3082,0.0
2010-05-31,52.75,13237033.0,18714.2232,69.5211,5.2682,0.0
2010-06-30,51.5,5840975.0,18270.7582,69.5211,5.1434,0.0
2010-07-31,49.4,5331070.0,17525.737,69.5211,4.9337,0.0
2010-08-31,48.6,6081922.0,17241.9194,69.5211,4.8538,0.0
2010-09-30,48.1,3025594.0,17064.5334,69.5211,4.8038,0.0
2010-10-31,47.7,7242189.0,16922.6246,69.5211,4.7639,0.0
2010-11-30,50.85,19939077.0,18040.1564,69.5211,5.0785,0.0
2010-12-31,51.45,4973874.0,18253.0196,69.5211,5.1384,0.0
2011-01-31,45.0,2370754.0,15964.7401,69.5211,4.4942,0.0
2011-02-28,43.6,2723832.0,15468.0593,69.5211,4.3544,0.0
2011-03-31,39.15,1857922.0,13889.3239,69.5211,17.7793,0.0
2011-04-30,41.7,2500377.0,14793.9925,69.5211,18.9373,0.0
2011-05-31,39.35,933071.0,13960.2783,69.5211,17.8701,0.0
2011-06-30,39.1,934007.0,13871.5853,69.5211,17.7566,0.0
2011-07-31,38.85,1331192.0,13782.8923,69.5211,17.643,0.0
2011-08-31,38.65,4311978.0,13711.9379,69.5211,17.5522,0.0
2011-09-30,33.65,870494.0,11938.0779,69.5211,15.2815,0.0
2011-10-31,34.35,466111.0,12186.4183,69.5211,15.5994,0.0
2011-11-30,24.15,560290.0,8567.7439,69.5211,10.9673,0.0
2011-12-31,22.9,603846.0,8124.2789,69.5211,10.3996,0.0
2012-01-31,33.45,3276036.0,11867.1235,69.5211,15.1907,0.0
2012-02-29,34.85,2163981.0,12363.8043,69.5211,15.8265,0.0
2012-03-31,30.2,852457.0,10714.1145,97.4194,12.0443,0.0
2012-04-30,31.45,552659.0,11157.5795,101.4516,12.5428,0.0
2012-05-31,27.7,1148694.0,9827.1845,89.3548,11.0472,0.0
2012-06-30,27.9,1183791.0,9898.1389,90.0,11.127,0.0
2012-07-31,26.8,2251313.0,9507.8897,86.4516,10.6883,0.0
2012-08-31,26.0,968338.0,9224.0721,83.871,10.3693,0.0
2012-09-30,30.2,3481739.0,10714.1145,97.4194,12.0443,0.0
2012-10-31,27.65,1402594.0,9809.4459,89.1935,11.0273,0.0
2012-11-30,27.35,371274.0,9703.0143,88.2258,10.9077,0.0
2012-12-31,28.6,2082354.0,10146.4793,92.2581,11.4062,0.0
2013-01-31,28.55,1585553.0,10128.7407,92.0968,11.3862,0.0
2013-02-28,27.0,502391.0,9578.8441,87.0968,10.7681,0.0
2013-03-31,22.1,268302.0,7840.4613,68.7097,8.4948,0.0
2013-04-30,22.65,212101.0,8035.5859,68.7097,8.4948,0.0
2013-05-31,22.3,427081.0,7911.4157,68.7097,8.4948,0.0
2013-06-30,19.95,371873.0,7077.7015,68.7097,8.4948,0.0
2013-07-31,18.25,498065.0,6474.5891,68.7097,8.4948,0.0
2013-08-31,21.65,661176.0,7680.8139,68.7097,8.4948,0.0
2013-09-30,20.1,674067.0,7130.9173,68.7097,8.4948,0.0
2013-10-31,19.7,344148.0,6989.0085,68.7097,8.4948,0.0
