GAIL IN Equity,price,volume,mc,pe,bm,div
2005-03-31,26.53,377145579.0,179447.2719,8.8727,2.0368,1.0
2005-04-30,25.49,153023227.0,172428.3635,8.5256,1.9572,1.0
2005-05-31,26.71,195244551.0,180673.4668,8.9333,2.0508,1.0
2005-06-30,28.45,183762983.0,192470.3067,9.5166,2.1847,1.0
2005-07-31,28.25,163770838.0,191117.2642,9.4497,2.1693,1.0
2005-08-31,29.14,243711106.0,197121.3906,9.7466,2.2375,1.0
2005-09-30,32.94,221735406.0,222829.1996,11.0177,2.5293,1.0
2005-10-31,29.31,258378801.0,198305.3029,9.8051,2.2509,1.0
2005-11-30,33.38,256385495.0,225788.9802,11.164,2.5629,1.0
2005-12-31,33.25,409629834.0,224943.3286,11.1222,2.5533,1.0
2006-01-31,36.56,257364724.0,247310.8137,12.2282,2.8071,1.25
2006-02-28,34.1,151876366.0,230693.7596,11.4065,2.6185,1.5
2006-03-31,39.81,516970210.0,269340.0382,11.0428,2.6237,1.5
2006-04-30,36.14,220001131.0,245112.1195,10.0252,2.3819,1.5
2006-05-31,29.53,459619456.0,199785.1932,8.1911,1.9462,1.5
2006-06-30,32.13,223639825.0,217374.7467,8.9123,2.1175,1.5
2006-07-31,30.23,142136353.0,204478.5596,8.3835,1.9919,1.25
2006-08-31,32.51,150761297.0,219911.7015,9.0163,2.1422,1.25
2006-09-30,32.89,134492694.0,222533.2215,9.1238,2.1678,1.25
2006-10-31,32.01,119397992.0,216571.3777,8.8793,2.1097,1.25
2006-11-30,33.39,126803187.0,225873.5454,9.2607,2.2003,1.25
2006-12-31,32.69,107621472.0,221137.8964,9.0666,2.1542,1.1875
2007-01-31,35.16,165585217.0,237839.5157,9.7513,2.3169,1.1875
2007-02-28,35.36,148865967.0,239234.8408,9.8085,2.3304,0.9375
2007-03-31,33.07,96630022.0,223717.1338,8.911,1.8922,1.25
2007-04-30,37.05,133257674.0,250651.1376,9.9838,2.12,1.25
2007-05-31,38.17,156870937.0,258219.7195,10.2853,2.184,1.25
2007-06-30,38.79,129910955.0,262405.695,10.452,2.2195,1.25
2007-07-31,42.28,110316105.0,286041.6575,11.3934,2.4194,1.25
2007-08-31,38.74,101887000.0,262067.4344,10.4385,2.2166,1.25
2007-09-30,47.38,207501597.0,320502.0995,12.7661,2.7108,1.25
2007-10-31,51.49,335323510.0,348324.0495,13.8742,2.9462,1.25
2007-11-30,53.56,517503345.0,362319.5898,14.4317,3.0645,1.25
2007-12-31,67.95,517488545.0,459696.415,18.3104,3.8882,1.0625
2008-01-31,50.92,392362057.0,344476.3331,13.721,2.9136,1.0625
2008-02-29,52.93,319541641.0,358049.0473,14.2616,3.0284,1.0625
2008-03-31,53.18,225426868.0,359782.6338,12.9277,2.6547,0.75
2008-04-30,55.01,176423867.0,372171.4353,13.3728,2.7461,0.75
2008-05-31,50.05,253613607.0,338599.0518,12.1665,2.4984,0.75
2008-06-30,41.64,284657401.0,281728.9563,10.1231,2.0788,0.75
2008-07-31,46.95,304253019.0,317626.8828,11.4129,2.3437,0.75
2008-08-31,49.41,259706566.0,334286.2267,12.0115,2.4666,1.25
2008-09-30,51.08,313595186.0,345533.398,12.4157,2.5496,1.25
2008-10-31,40.25,329935309.0,272278.8086,9.7835,2.0091,1.25
2008-11-30,36.79,295552787.0,248875.389,8.9426,1.8364,1.25
2008-12-31,38.67,244657237.0,261623.5931,9.4006,1.9304,1.25
2009-01-31,36.62,263134647.0,247733.7587,8.9015,1.8279,1.5
2009-02-28,38.18,238534640.0,258262.1264,9.2799,1.9056,1.5
2009-03-31,46.05,242378640.0,311538.2035,11.0233,2.0229,1.5
2009-04-30,48.08,224470876.0,325301.1901,11.5103,2.1122,1.5
2009-05-31,56.25,289345386.0,380543.4082,13.465,2.4709,1.5
2009-06-30,54.07,233785933.0,365765.6392,12.9421,2.375,1.5
2009-07-31,62.24,436154379.0,421071.2812,14.899,2.7341,1.5
2009-08-31,62.89,271326198.0,425447.5304,15.0539,2.7625,1.3125
2009-09-30,67.34,248972958.0,455573.8835,16.1198,2.9581,1.3125
2009-10-31,65.3,220670801.0,441747.473,15.6306,2.8683,1.3125
2009-11-30,78.5,199239345.0,531048.3261,18.7904,3.4482,1.3125
2009-12-31,77.49,181808684.0,524261.9687,18.5503,3.4041,0.9375
2010-01-31,73.88,209184273.0,499843.7667,17.6863,3.2456,0.9375
2010-02-28,74.78,178031329.0,505869.0373,17.8995,3.2847,0.9375
2010-03-31,76.99,182815295.0,520837.078,15.6538,2.9244,0.9375
2010-04-30,80.46,258714478.0,544303.9215,16.3591,3.0562,0.9375
2010-05-31,85.06,195104610.0,575445.0571,17.2951,3.231,0.9375
2010-06-30,87.62,204765752.0,592759.7822,17.8155,3.3282,0.9375
2010-07-31,82.22,190246911.0,556227.615,16.7175,3.1231,0.9375
2010-08-31,86.63,210815932.0,586100.2725,17.6153,3.2909,0.9375
2010-09-30,89.54,177789442.0,605761.682,18.2063,3.4013,1.4063
2010-10-31,92.17,178079633.0,623520.3743,18.74,3.501,1.4063
2010-11-30,92.16,142654434.0,623456.9504,18.7381,3.5006,1.4063
2010-12-31,96.12,157312026.0,650285.2607,19.5444,3.6512,1.4063
2011-01-31,88.3,161517102.0,597389.727,17.9546,3.3542,1.4063
2011-02-28,79.98,126996419.0,541069.3026,16.2619,3.038,1.4063
2011-03-31,87.0,138218548.0,588573.8047,14.6372,2.7745,1.4063
2011-04-30,89.15,91547162.0,603097.8781,14.9984,2.8429,1.4063
2011-05-31,83.4,148782812.0,564219.0266,14.0315,2.6597,1.4063
2011-06-30,82.73,93931427.0,559652.5057,13.918,2.6381,1.4063
2011-07-31,86.46,112356976.0,584895.2184,14.5457,2.7571,1.4063
2011-08-31,76.99,122255578.0,520837.078,12.9527,2.4552,1.4063
2011-09-30,76.98,141928340.0,520773.6541,12.9511,2.4549,1.4063
2011-10-31,79.29,84492472.0,536439.3578,13.3407,2.5287,1.4063
2011-11-30,73.43,110113532.0,496799.4194,12.3549,2.3419,1.4063
2011-12-31,71.93,164367788.0,486651.5952,12.1025,2.294,1.4063
2012-01-31,69.99,187136680.0,473522.8476,11.776,2.2321,1.5938
2012-02-29,70.29,145411445.0,475552.4125,11.8265,2.2417,1.5938
