GRASIM IN Equity,price,volume,mc,pe,bm,div
2002-03-31,35.81,7997661.0,26484.5118,5.7338,0.6315,1.5937
2002-04-30,35.84,6333014.0,26502.8497,5.7378,0.6319,0.0
2002-05-31,36.47,12130642.0,26975.0506,5.84,0.6432,0.0
2002-06-30,39.28,2927669.0,29047.2333,6.2886,0.6926,0.0
2002-07-31,38.45,9675465.0,28437.4981,6.1566,0.678,1.7929
2002-08-31,38.83,6364915.0,28717.1511,6.2172,0.6847,1.7929
2002-09-30,38.35,3176499.0,28364.1465,6.1407,0.6763,1.7929
2002-10-31,37.44,6168327.0,27690.2287,5.9948,0.6602,1.7929
2002-11-30,35.54,5838521.0,26287.3793,5.6911,0.6268,1.7929
2002-12-31,39.08,7858198.0,28905.1145,6.2579,0.6892,1.7929
2003-01-31,40.27,6747706.0,29785.3337,6.4484,0.7102,1.7929
2003-02-28,43.34,8147359.0,32054.6488,6.9397,0.7643,1.7929
2003-03-31,41.0,3484915.0,30321.7173,5.8533,0.6781,1.7929
2003-04-30,44.73,9014005.0,33081.5712,6.3861,0.7398,1.7929
2003-05-31,47.8,8456116.0,35355.4708,6.825,0.7907,1.7929
2003-06-30,62.23,23342973.0,46023.544,8.8844,1.0292,1.7929
2003-07-31,67.2,26811227.0,49700.2929,9.5941,1.1115,1.9921
2003-08-31,76.66,20836472.0,56696.2016,10.9446,1.2679,1.9921
2003-09-30,82.59,12948084.0,61078.9597,11.7907,1.3659,1.9921
2003-10-31,106.4,20033538.0,78692.5124,15.1908,1.7598,1.9921
2003-11-30,111.52,19579711.0,82474.7043,15.9209,1.8444,1.9921
2003-12-31,124.47,10403915.0,92051.6724,17.7696,2.0586,1.9921
2004-01-31,137.82,15299265.0,101926.6315,19.6759,2.2794,1.9921
2004-02-29,132.79,8453672.0,98208.6223,18.9582,2.1963,1.9921
2004-03-31,132.59,11913608.0,98057.3289,8.2771,1.8347,1.9921
2004-04-30,153.27,9551464.0,113355.7332,9.5685,2.1209,1.9921
2004-05-31,130.0,13287649.0,96145.6085,8.1157,1.7989,1.9921
2004-06-30,125.4,13048362.0,92743.9281,7.8286,1.7353,1.9921
2004-07-31,121.6,10506064.0,89933.645,7.5914,1.6827,2.7889
2004-08-31,138.58,11176002.0,102490.5276,8.6513,1.9176,2.7889
2004-09-30,142.29,11556569.0,105236.6224,8.8831,1.969,2.7889
2004-10-31,134.41,9345538.0,99389.9132,8.3913,1.86,2.7889
2004-11-30,139.84,5316729.0,103405.1177,8.7303,1.9351,2.7889
2004-12-31,163.94,7527424.0,121221.4161,10.2345,2.2685,2.7889
2005-01-31,164.85,20569069.0,121895.4632,10.2913,2.2811,2.7889
2005-02-28,166.98,15631912.0,123472.7457,10.4245,2.3106,2.7889
