HAVL IN Equity,price,volume,mc,pe,bm,div
2002-05-31,1.69,62400.0,785.3038,7.8917,2.3133,0.025
2002-06-30,1.6,190960.0,741.8368,7.4549,2.1853,0.025
2002-07-31,1.65,174960.0,765.0192,7.6878,2.2536,0.025
2002-08-31,1.63,55680.0,753.428,7.5713,2.2194,0.0313
2002-09-30,1.59,34880.0,737.7799,7.4141,2.1733,0.0313
2002-10-31,1.56,25440.0,725.0296,7.286,2.1358,0.0313
2002-11-30,1.5,48800.0,695.472,6.9889,2.0487,0.0313
2002-12-31,1.42,90000.0,656.9313,6.6016,1.9352,0.0313
2003-01-31,1.51,80960.0,701.2676,7.0472,2.0658,0.0313
2003-02-28,1.46,58400.0,675.1874,6.7851,1.989,0.0313
2003-03-31,1.45,140320.0,670.5509,7.19,1.6148,0.0313
2003-04-30,1.34,71520.0,620.419,6.6525,1.4941,0.0313
2003-05-31,1.38,243840.0,637.516,6.8358,1.5353,0.0313
2003-06-30,1.44,318560.0,669.3918,7.1776,1.612,0.0313
2003-07-31,1.95,15128720.0,905.5625,9.7099,2.1808,0.0313
2003-08-31,2.24,101892560.0,1037.9919,11.1299,2.4997,0.0313
2003-09-30,2.53,109603520.0,1171.5805,12.5623,2.8214,0.0313
2003-10-31,2.73,133675600.0,1266.0488,13.5753,3.0489,0.0188
2003-11-30,2.83,91507120.0,1310.6749,14.0538,3.1563,0.0188
2003-12-31,3.83,113416680.0,1500.807,19.0532,4.2792,0.0188
2004-01-31,3.26,48481720.0,1277.1055,16.2132,3.6413,0.0188
2004-02-29,2.98,25930240.0,1166.968,14.815,3.3273,0.0188
2004-03-31,2.76,19765640.0,1082.774,13.7462,3.0873,0.0188
2004-04-30,2.84,18316640.0,1113.123,14.1314,3.1738,0.0188
2004-05-31,2.58,17633720.0,1011.307,12.8389,2.8835,0.0188
2004-06-30,2.63,33101160.0,1030.3975,13.0812,2.9379,0.0188
2004-07-31,3.11,55169280.0,1216.4075,15.4427,3.4683,0.0625
2004-08-31,3.59,192193240.0,1638.7381,17.8414,4.007,0.0625
2004-09-30,3.99,67833280.0,1823.1033,19.8486,4.4578,0.0625
2004-10-31,4.37,28786360.0,1997.1942,21.744,4.8835,0.0625
2004-11-30,4.49,17459400.0,2051.4193,22.3344,5.0161,0.0625
2004-12-31,7.01,30856440.0,3199.278,34.8315,7.8228,0.0625
2005-01-31,6.43,49644880.0,2937.8304,31.9853,7.1836,0.0625
2005-02-28,6.92,123858520.0,3159.8657,34.4027,7.7265,0.0625
2005-03-31,6.61,40066840.0,3064.7132,10.0586,3.5406,0.0625
2005-04-30,7.73,40978040.0,3585.7377,11.7686,4.1426,0.0625
2005-05-31,9.46,135331760.0,4383.7918,14.3879,5.0646,0.0625
2005-06-30,9.75,26689160.0,4519.4088,14.833,5.2212,0.0625
2005-07-31,15.22,92918520.0,7058.4612,23.1663,8.1546,0.0625
2005-08-31,14.73,30618780.0,6829.5057,22.415,7.8901,0.0625
2005-09-30,17.49,34199140.0,8108.0096,26.6111,9.3672,0.0625
2005-10-31,17.22,32182500.0,7985.1434,26.2079,9.2252,0.0625
2005-11-30,18.23,31617840.0,8449.9486,27.7334,9.7622,0.0625
2005-12-31,19.82,23128600.0,9187.1457,30.1529,10.6139,0.0625
2006-01-31,19.56,15117100.0,9067.7569,29.7611,10.476,0.0625
2006-02-28,21.71,19091340.0,10063.4367,33.029,11.6263,0.0625
2006-03-31,27.28,54645880.0,12648.2632,22.466,13.4165,0.0625
2006-04-30,30.13,20754580.0,13836.3561,24.8089,14.8157,0.0625
2006-05-31,30.51,58202420.0,15187.4873,25.1239,15.0038,0.0625
