HBLENGIN IN Equity,price,volume,mc,pe,bm,div
2002-03-31,1.45,332050.0,441.5906,2.8231,0.3483,0.0
2002-04-30,2.35,2078039.0,441.5906,4.5647,0.5631,0.0
2002-05-31,2.26,1782007.0,441.5906,4.3997,0.5428,0.0
2002-06-30,2.4,433726.0,441.5906,4.6747,0.5767,0.0
2002-07-31,2.31,2076077.0,441.5906,4.4914,0.5541,0.0
2002-08-31,2.07,1001178.0,441.5906,4.0331,0.4975,0.0
2002-09-30,2.05,165139.0,441.5906,3.9781,0.4908,0.0
2002-10-31,1.89,708498.0,441.5906,3.6664,0.4523,0.0
2002-11-30,2.03,242924.0,441.5906,3.9506,0.4874,0.0
2002-12-31,2.18,2365532.0,441.5906,4.2347,0.5224,0.0
2003-01-31,2.14,433471.0,441.5906,4.1614,0.5134,0.0
2003-02-28,2.88,2871589.0,441.5906,5.6005,0.6909,0.0
2003-03-31,3.28,4810694.0,441.5906,6.9149,0.7254,0.0
2003-04-30,4.38,15222777.0,441.5906,9.2166,0.9668,0.0
2003-05-31,4.12,3921377.0,441.5906,8.6709,0.9096,0.0
2003-06-30,3.85,1197984.0,441.5906,8.0955,0.8492,0.0
2003-07-31,4.34,4732941.0,441.5906,9.1273,0.9575,0.0
2003-08-31,3.68,2136399.0,441.5906,7.7384,0.8118,0.1414
2003-09-30,3.37,2990728.0,441.5906,7.0935,0.7441,0.1414
2003-10-31,2.87,769924.0,441.5906,6.0419,0.6338,0.1414
2003-11-30,2.71,1698897.0,441.5906,5.7046,0.5984,0.1414
2003-12-31,3.28,7117759.0,441.5906,6.905,0.7243,0.1414
2004-01-31,2.57,2555145.0,441.5906,5.4069,0.5672,0.1414
2004-02-29,2.47,985222.0,441.5906,5.2085,0.5464,0.1414
2004-03-31,2.16,1327933.0,441.5906,5.103,0.4561,0.1414
2004-04-30,2.1,1858657.0,441.5906,4.9474,0.4422,0.1414
2004-05-31,2.02,772098.0,441.5906,4.7695,0.4263,0.1414
2004-06-30,2.31,8926077.0,441.5906,5.4476,0.4869,0.1414
2004-07-31,2.73,2469680.0,441.5906,6.4371,0.5753,0.1414
2004-08-31,3.25,3478156.0,441.5906,7.6712,0.6856,0.1414
2004-09-30,5.29,9307787.0,441.5906,12.4851,1.1159,0.1131
2004-10-31,6.99,5811447.0,441.5906,16.4986,1.4746,0.1131
2004-11-30,7.95,5528909.0,441.5906,18.7555,1.6763,0.1131
2004-12-31,12.4,13755761.0,441.5906,29.2505,2.6143,0.1131
2005-01-31,13.64,9725186.0,441.5906,32.1856,2.8766,0.1131
2005-02-28,15.73,5489688.0,441.5906,37.0996,3.3158,0.1131
2005-03-31,14.6,2711638.0,441.5906,16.4063,2.6661,0.1131
2005-04-30,15.51,1333758.0,441.5906,17.4288,2.8322,0.1131
2005-05-31,16.21,2166073.0,441.5906,18.2181,2.9605,0.1131
2005-06-30,15.36,1404530.0,441.5906,17.2645,2.8056,0.1131
2005-07-31,19.26,5811553.0,441.5906,21.6456,3.5175,0.1131
2005-08-31,19.46,2350732.0,441.5906,21.8787,3.5554,0.1131
2005-09-30,27.51,13215765.0,441.5906,30.9215,5.0249,0.1414
2005-10-31,22.11,2419743.0,441.5906,24.8558,4.0392,0.1414
2005-11-30,26.39,4079854.0,441.5906,29.6607,4.82,0.1414
2005-12-31,26.45,3184946.0,441.5906,29.7348,4.832,0.1414
2006-01-31,23.82,2180957.0,441.5906,26.7735,4.3508,0.1414
2006-02-28,24.42,2058975.0,441.5906,27.4463,4.4601,0.1414
2006-03-31,25.84,2939858.0,441.5906,22.9414,3.1827,0.1414
2006-04-30,25.03,1227265.0,441.5906,22.2176,3.0823,0.1414
2006-05-31,25.54,1944447.0,441.5906,22.6694,3.145,0.1414
2006-06-30,20.81,496510.0,441.5906,18.4747,2.563,0.1414
2006-07-31,19.86,2531480.0,441.5906,17.6268,2.4454,0.1414
2006-08-31,28.76,1191110.0,441.5906,25.5281,3.5416,0.1414
2006-09-30,24.3,2302340.0,441.5906,21.573,2.9929,0.15
2006-10-31,26.99,4592280.0,441.5906,23.9567,3.3236,0.15
2006-11-30,26.07,8540800.0,441.5906,23.1399,3.2103,0.15
2006-12-31,24.61,4052000.0,441.5906,21.8482,3.0311,0.15
2007-01-31,24.84,1238910.0,7094.3039,22.0524,3.0594,0.15
2007-02-28,23.0,1827870.0,6568.7999,20.4189,2.8328,0.15
