HCP IN Equity,price,volume,mc,pe,bm,div
2010-03-31,533.0,39374815.0,493141.2034,319.1617,43.9292,0.0
2010-04-30,498.1,15456918.0,460851.0946,298.2635,41.0528,0.0
2010-05-31,481.2,13216793.0,445214.9101,288.1437,39.6599,0.0
2010-06-30,484.55,44123808.0,448314.3904,290.1497,39.936,0.0
2010-07-31,449.5,10475387.0,415885.4989,269.1617,37.0472,0.0
2010-08-31,396.7,6307290.0,367033.9876,237.5449,32.6955,0.0
2010-09-30,440.9,20051340.0,407928.624,264.012,36.3384,0.0
2010-10-31,429.6,6198195.0,397473.6604,257.2455,35.4071,0.0
2010-11-30,312.15,10213939.0,288806.8042,186.9162,25.727,0.5
2010-12-31,330.5,9341219.0,305784.5548,197.9042,27.2394,0.5
2011-01-31,253.4,10575207.0,234450.2457,151.7365,20.8849,0.5
2011-02-28,297.4,22144462.0,275159.8384,178.0838,24.5113,0.5
2011-03-31,289.45,6522880.0,267804.3552,119.6074,22.6619,0.5
2011-04-30,292.45,5717618.0,270580.0092,120.8471,22.8968,0.5
2011-05-31,282.05,8727488.0,260957.7419,116.5496,22.0826,0.5
2011-06-30,266.0,3099633.0,246107.9927,109.9174,20.826,0.5
2011-07-31,254.35,1652529.0,235329.2028,105.1033,19.9139,0.5
2011-08-31,233.0,3791042.0,215575.7981,96.281,18.2423,0.5
2011-09-30,226.7,2665782.0,209746.9246,93.6777,17.749,0.5
2011-10-31,223.35,1865361.0,206647.4442,92.2934,17.4868,0.5
2011-11-30,185.2,1349975.0,171350.3769,76.5289,14.4999,0.5
2011-12-31,186.15,5474790.0,172229.334,76.9215,14.5743,0.5
2012-01-31,310.55,66800908.0,287326.4554,128.3264,24.3139,0.5
2012-02-29,294.7,12832552.0,272661.7498,121.7769,23.073,0.5
2012-03-31,268.15,12116527.0,248097.2114,76.6143,17.7511,0.5
2012-04-30,280.5,10057717.0,259523.6539,80.1429,18.5687,0.5
2012-05-31,252.1,11963274.0,233247.4622,72.0286,16.6886,0.5
2012-06-30,260.0,8250356.0,240556.6846,74.2857,17.2116,0.5
2012-07-31,247.85,4830703.0,229315.2857,70.8143,16.4073,0.5
2012-08-31,256.7,16965355.0,237503.4651,73.3429,16.9932,0.5
2012-09-30,263.05,8627584.0,243378.5995,75.1571,17.4135,1.0
2012-10-31,250.55,3506146.0,231813.3743,71.5857,16.586,1.0
2012-11-30,153.55,44036713.0,142067.2266,43.8714,10.1648,1.0
2012-12-31,142.4,21230492.0,131751.0457,40.6857,9.4267,1.0
2013-01-31,129.35,9975389.0,119676.9506,36.9571,8.5628,1.0
2013-02-28,114.4,17705867.0,105844.9412,32.6857,7.5731,1.0
2013-03-31,92.5,11060514.0,85582.6666,24.0885,5.2025,1.0
2013-04-30,100.05,16444686.0,92568.0627,26.0547,5.6271,1.0
2013-05-31,95.95,14483038.0,88774.6688,24.987,5.3965,1.0
2013-06-30,74.35,7628414.0,68789.9551,19.362,4.1817,1.0
2013-07-31,46.9,20742310.0,43392.7222,12.2135,2.6378,1.0
2013-08-31,55.75,37806150.0,51580.9011,14.5182,3.1356,1.0
2013-09-30,62.85,24615434.0,58149.9486,16.3672,3.5349,1.0
2013-10-31,71.6,23506985.0,66245.6057,18.6458,4.027,1.0
2013-11-30,68.8,17332353.0,63654.9954,17.9167,3.8695,1.0
2013-12-31,70.55,11515011.0,65274.1268,18.3724,3.968,1.0
2014-01-31,61.8,9423410.0,57178.4697,16.0938,3.4758,1.0
2014-02-28,59.05,4218215.0,54634.1203,15.3776,3.3212,1.0
2014-03-31,68.65,21677011.0,63516.2127,22.1452,3.4722,1.0
2014-04-30,74.1,31157884.0,68558.6506,23.9032,3.7479,1.0
2014-05-31,100.1,50318019.0,92614.3174,32.2903,5.0629,1.0
2014-06-30,115.6,43938818.0,106955.1958,37.2903,5.8469,1.0
2014-07-31,92.8,18161571.0,85860.2264,29.9355,4.6937,1.0
2014-08-31,88.2,13421148.0,81604.2238,28.4516,4.461,1.0
2014-09-30,79.75,10861573.0,73786.132,25.7258,4.0336,1.0
2014-10-31,82.05,6111277.0,75914.1333,26.4677,4.15,1.0
2014-11-30,75.5,7217564.0,69853.9557,24.3548,3.8187,1.0
2014-12-31,70.65,6353789.0,65366.6486,22.7903,3.5734,1.0
2015-01-31,69.7,6360253.0,64487.6916,22.4839,3.5253,1.0
2015-02-28,72.1,12112987.0,66708.2191,23.2581,3.6467,1.0
2015-03-31,63.6,9288583.0,58843.862,87.1233,3.161,1.0
2015-04-30,62.75,5670743.0,58057.4268,85.9589,3.1188,1.0
2015-05-31,62.0,4272584.0,57363.5133,84.9315,3.0815,1.0
2015-06-30,62.75,8913935.0,58057.4268,85.9589,3.1188,1.0
2015-07-31,61.6,5512070.0,56993.4261,84.3836,3.0616,1.0
2015-08-31,53.3,6884213.0,49314.1171,73.0137,2.6491,0.15
2015-09-30,53.3,2266928.0,49314.1171,73.0137,2.6491,0.15
2015-10-31,57.0,3908543.0,52737.4235,78.0822,2.833,0.15
2015-11-30,57.5,3236464.0,53200.0325,78.7671,2.8579,0.15
2015-12-31,58.75,5513463.0,54356.5549,80.4795,2.92,0.15
2016-01-31,49.45,3505262.0,45752.028,67.7397,2.4578,0.15
2016-02-29,43.05,2116147.0,39830.633,58.9726,2.1397,0.15
2016-03-31,50.35,4417590.0,46584.7241,122.8049,3.3026,0.15
2016-04-30,53.75,4700124.0,49730.4652,131.0976,3.5256,0.15
2016-05-31,45.6,4488207.0,42189.9388,111.2195,2.991,0.15
2016-06-30,53.5,14580953.0,49499.1607,130.4878,3.5092,0.15
2016-07-31,64.15,20460333.0,59352.7319,156.4634,4.2077,0.15
2016-08-31,65.8,19604061.0,60879.3415,160.4878,4.316,0.15
2016-09-30,59.7,12285024.0,55235.512,145.6098,3.9159,0.15
2016-10-31,59.95,8655122.0,55466.8165,146.2195,3.9323,0.0
2016-11-30,58.9,23007597.0,54495.3376,143.6585,3.8634,0.0
2016-12-31,59.6,29939815.0,55142.9902,145.3659,3.9093,0.0
2017-01-31,66.35,74985265.0,61388.2114,161.8293,4.3521,0.0
2017-02-28,67.85,29291113.0,62776.0384,165.4878,4.4504,0.0
2017-03-31,66.1,19970371.0,61156.9069,98.3631,4.169,0.0
2017-04-30,65.6,14528992.0,60694.2979,97.619,4.1374,0.0
2017-05-31,63.4,25854088.0,58658.8184,94.3452,3.9987,0.0
2017-06-30,64.0,13573450.0,59213.9492,95.2381,4.0365,0.0
2017-07-31,69.65,21030716.0,64441.4307,103.6458,4.3928,0.0
2017-08-31,62.5,32491217.0,57826.1223,93.006,3.9419,0.2
2017-09-30,58.3,33644041.0,53940.2069,86.756,3.677,0.2
2017-10-31,69.45,50521258.0,64256.3871,103.3482,4.3802,0.2
2017-11-30,94.9,343619098.0,87803.1853,141.2202,5.9854,0.2
2017-12-31,101.0,142846320.0,93447.0149,150.2976,6.3701,0.2
2018-01-31,85.0,94176709.0,78643.5274,126.4881,5.361,0.2
2018-02-28,73.0,52871460.0,67540.914,108.631,4.6041,0.2
2018-03-31,62.9,61355246.0,58196.2122,72.8853,3.8104,0.2
2018-04-30,73.35,95589400.0,67864.7403,84.9942,4.4435,0.2
2018-05-31,70.45,51035906.0,65181.6081,81.6338,4.2678,0.2
2018-06-30,62.4,46609600.0,57733.6032,72.3059,3.7801,0.2
2018-07-31,60.1,28397360.0,55605.6018,69.6408,3.6408,0.2
