HDFCAMC IN Equity,price,volume,mc,pe,bm,div
2018-08-31,907.03,89039814.0,384558.2826,52.5507,17.6835,0.0
2018-09-30,663.73,42631410.0,281404.5326,38.4545,12.9401,0.0
2018-10-31,700.25,14371802.0,297390.3209,40.5707,13.6522,0.0
2018-11-30,760.2,8257716.0,322980.3357,44.044,14.821,0.0
2018-12-31,752.48,7648024.0,319712.8723,43.5965,14.6704,0.0
2019-01-31,681.3,3805252.0,289471.9158,39.4728,13.2827,0.0
2019-02-28,685.2,3770278.0,291310.327,39.6987,13.3588,0.0
2019-03-31,766.95,5483320.0,326066.0468,34.9647,10.6186,6.0
2019-04-30,847.53,5320068.0,360322.2196,38.638,11.7341,6.0
2019-05-31,886.15,6456372.0,376777.9447,40.3989,12.2689,6.0
2019-06-30,1030.8,11886000.0,438280.9969,46.9934,14.2716,6.0
2019-07-31,1074.6,24989880.0,456904.1126,48.9902,14.878,12.0
2019-08-31,1276.1,17880512.0,542622.8081,58.1764,17.6678,12.0
2019-09-30,1400.85,17665546.0,595668.9607,63.8637,19.395,12.0
2019-10-31,1497.15,18735234.0,636617.614,68.2539,20.7283,12.0
2019-11-30,1768.48,53682716.0,752057.947,80.6234,24.4848,12.0
2019-12-31,1599.85,47743332.0,680348.8353,72.9359,22.1502,12.0
2020-01-31,1587.1,16750586.0,674926.7972,72.3547,21.9737,12.0
2020-02-29,1570.7,16228688.0,668357.3058,71.607,21.7466,12.0
2020-03-31,1056.4,26129744.0,449610.8651,35.587,11.1586,6.0
2020-04-30,1265.38,19002260.0,538552.0147,42.6267,13.366,6.0
2020-05-31,1262.2,10154648.0,537224.9984,42.5198,13.3325,6.0
2020-06-30,1241.68,28773568.0,528565.6408,41.8284,13.1157,6.0
2020-07-31,1209.83,20807346.0,515007.491,40.7554,12.7793,14.0
2020-08-31,1205.45,17282608.0,513190.3604,40.6081,12.733,14.0
2020-09-30,1134.93,18848772.0,483166.0954,38.2323,11.9881,14.0
2020-10-31,1125.1,9371100.0,479126.3057,37.9013,11.8843,14.0
2020-11-30,1269.4,14775390.0,540590.972,42.7623,13.4085,14.0
2020-12-31,1459.0,21025580.0,621366.0166,49.1494,15.4113,14.0
2021-01-31,1438.28,16843266.0,612539.5528,48.4512,15.1924,14.0
2021-02-28,1468.5,10188678.0,625427.4771,49.4694,15.5116,14.0
2021-03-31,1459.5,13403660.0,621613.304,46.869,13.0149,14.0
2021-04-30,1388.18,10910716.0,591235.3876,44.5785,12.3788,14.0
2021-05-31,1491.08,11382966.0,635320.2659,47.8829,13.2964,14.0
2021-06-30,1458.73,10260146.0,621616.4269,46.8441,13.008,31.0
2021-07-31,1427.08,19522000.0,608129.2138,45.8277,12.7257,17.0
2021-08-31,1537.15,12165214.0,655311.0676,49.3626,13.7073,17.0
2021-09-30,1454.3,58592754.0,620013.7986,46.702,12.9685,17.0
2021-10-31,1323.6,19169918.0,564292.2807,42.5048,11.803,17.0
2021-11-30,1255.65,12179830.0,535389.9109,40.3227,11.1971,17.0
2021-12-31,1223.05,13612566.0,521500.2889,39.2759,10.9064,17.0
2022-01-31,1102.6,14345942.0,470141.2195,35.4078,9.8323,17.0
2022-02-28,1043.1,12169620.0,444903.6003,33.4971,9.3017,17.0
2022-03-31,1073.03,15371488.0,457706.4365,32.8343,8.2767,17.0
2022-04-30,1020.88,17442786.0,435461.4835,31.2385,7.8745,17.0
2022-05-31,948.4,33821024.0,404573.4075,29.0208,7.3154,17.0
2022-06-30,896.18,25489404.0,382308.6171,27.4227,6.9126,21.0
2022-07-31,973.65,14665152.0,415359.4834,29.7935,7.5102,21.0
2022-08-31,1037.45,52732156.0,442591.0616,31.7457,8.0023,21.0
2022-09-30,944.8,11848356.0,403077.5241,28.9106,7.2877,21.0
2022-10-31,1037.3,9976800.0,442540.5543,31.7411,8.0012,21.0
2022-11-30,1093.55,9104988.0,466549.9346,33.4624,8.435,21.0
2022-12-31,1090.75,15111924.0,465355.3483,33.3767,8.4135,21.0
2023-01-31,945.18,12778612.0,403373.2364,28.9221,7.2906,21.0
2023-02-28,904.88,13411748.0,386174.367,27.689,6.9797,21.0
2023-03-31,853.93,37952222.0,364497.4012,25.5973,5.9677,21.0
2023-04-30,882.15,11866636.0,376545.2264,26.4433,6.165,21.0
2023-05-31,981.53,22222420.0,418994.1085,29.4222,6.8595,21.0
2023-06-30,1147.83,98471848.0,490051.2118,34.4072,8.0217,24.0
2023-07-31,1267.0,31124420.0,540931.6623,37.9796,8.8545,24.0
2023-08-31,1262.1,50109914.0,538876.3128,37.8327,8.8203,24.0
2023-09-30,1323.73,28556132.0,565188.2158,39.68,9.2509,24.0
2023-10-31,1367.0,27472986.0,583665.256,40.9772,9.5534,24.0
2023-11-30,1484.78,17961532.0,633951.4122,44.5076,10.3765,24.0
2023-12-31,1602.5,20706894.0,684216.22,48.0366,11.1992,24.0
2024-01-31,1790.75,24284536.0,764592.946,53.6796,12.5148,24.0
2024-02-29,1876.5,23227822.0,801205.452,56.25,13.1141,24.0
2024-03-31,1877.05,13927926.0,801440.2844,41.2538,11.3278,24.0
2024-04-30,1947.33,23963018.0,831445.4606,42.7984,11.7519,24.0
2024-05-31,1942.15,15507376.0,829235.9012,42.6846,11.7206,24.0
2024-06-30,1996.65,24502030.0,852883.8227,43.8824,12.0495,35.0
2024-07-31,2057.13,27873360.0,878716.1665,45.2115,12.4145,35.0
2024-08-31,2210.25,26566166.0,944266.1568,48.5769,13.3386,35.0
2024-09-30,2149.65,16075204.0,918400.6016,47.2451,12.9729,35.0
2024-10-31,2149.73,30015638.0,918432.644,47.2467,12.9733,35.0
2024-11-30,2102.13,17203318.0,898384.7955,46.2005,12.6861,35.0
2024-12-31,2099.53,14005856.0,897575.2685,46.1434,12.6704,35.0
2025-01-31,1934.95,21787320.0,827253.0279,42.5264,11.6772,35.0
2025-02-28,1814.15,17977006.0,775607.1633,39.8714,10.9482,35.0
2025-03-31,2006.95,17415618.0,858144.0679,34.855,10.54,35.0
2025-04-30,2187.2,21714176.0,935216.4754,37.9854,11.4867,35.0
2025-05-31,2391.5,21959108.0,1022907.59,41.5335,12.5596,35.0
2025-06-30,2595.9,22270340.0,1110575.612,45.0834,13.6331,45.0
2025-07-31,2825.0,26151092.0,1208753.412,49.0622,14.8362,45.0
2025-08-31,2731.5,17702640.0,1168746.883,47.4383,14.3452,45.0
2025-09-30,2766.25,12677632.0,1183975.752,48.0419,14.5277,45.0
2025-10-31,2689.5,24494506.0,1151126.177,46.7089,14.1246,45.0
2025-11-30,2673.0,14189102.0,1144868.599,46.4224,14.038,45.0
2025-12-31,2672.2,20007075.0,1144525.952,46.4085,14.0338,45.0
2026-01-31,2515.7,22499342.0,1077495.673,43.6905,13.2119,45.0
2026-02-28,2698.6,22576935.0,1155833.297,46.867,14.1724,45.0
2026-03-31,2559.55,2594492.0,1096408.654,44.4521,13.4422,45.0
