HEXT IN Equity,price,volume,mc,pe,bm,div
2025-02-28,808.45,37183738.0,491290.7543,41.7372,9.1689,0.0
2025-03-31,700.75,25429100.0,425842.0386,36.1771,7.9474,0.0
2025-04-30,699.5,33344264.0,425082.4203,36.1125,7.9333,5.75
2025-05-31,857.5,29123585.0,521098.1778,44.2695,9.7252,5.75
2025-06-30,850.55,11802325.0,517797.5466,43.9107,9.6464,5.75
2025-07-31,704.0,21684166.0,428618.2996,36.3449,7.9843,5.75
2025-08-31,757.75,13087366.0,461343.0633,39.1198,8.5939,5.75
2025-09-30,670.5,33063389.0,408222.4004,34.6154,7.6044,5.75
2025-10-31,687.4,8703068.0,418631.4063,35.4879,7.796,11.5
2025-11-30,756.75,10299204.0,460872.8519,39.0681,8.5826,11.5
2025-12-31,765.55,16872043.0,467763.2927,34.0093,7.4062,11.5
2026-01-31,697.55,10223296.0,426214.2052,30.9884,6.7484,11.5
2026-02-28,473.5,49897009.0,289316.0722,21.0351,4.5808,11.5
2026-03-31,462.95,3002028.0,282869.861,20.5664,4.4788,11.5
