HMCL IN Equity,price,volume,mc,pe,bm,div
2013-03-31,1542.0,5759712.0,307918.125,14.5376,6.1507,45.0
2013-04-30,1644.45,9620051.0,328376.0969,15.5034,6.5593,45.0
2013-05-31,1736.35,7246769.0,346727.3906,16.3699,6.9259,45.0
2013-06-30,1663.05,5442440.0,332090.3094,15.6788,6.6335,45.0
2013-07-31,1819.4,9720630.0,363311.4375,17.1528,7.2572,45.0
2013-08-31,2046.5,13019416.0,408660.4688,19.2939,8.163,45.0
2013-09-30,2009.25,8076249.0,401222.1094,18.9427,8.0144,60.0
2013-10-31,2078.4,6894859.0,415030.475,19.5946,8.2903,60.0
2013-11-30,2052.95,6672598.0,409948.4406,19.3547,8.1887,60.0
2013-12-31,2075.3,7015875.0,414411.4812,19.5654,8.2779,60.0
2014-01-31,1969.2,6940840.0,393224.6125,18.5651,7.8547,60.0
2014-02-28,1967.15,4886956.0,392815.2656,18.5458,7.8465,60.0
2014-03-31,2274.8,7966331.0,454249.1375,21.6051,8.0789,60.0
2014-04-30,2200.35,4712606.0,439382.4156,20.898,7.8145,60.0
2014-05-31,2345.85,7456106.0,468436.9468,22.2799,8.3313,60.0
2014-06-30,2634.65,16631855.0,526106.6469,25.0228,9.3569,60.0
2014-07-31,2597.15,6579183.0,518618.3657,24.6666,9.2238,65.0
2014-08-31,2604.8,12038481.0,520146.0125,24.7393,9.2509,155.0
2014-09-30,2839.55,9405967.0,567022.6531,26.9688,10.0846,95.0
2014-10-31,3064.25,11129120.0,611892.4219,29.103,10.8827,95.0
2014-11-30,3147.4,22068805.0,628496.4125,29.8927,11.178,95.0
2014-12-31,3106.65,8469855.0,620359.1469,29.5056,11.0332,95.0
2015-01-31,2865.5,9794405.0,572204.5313,27.2153,10.1768,95.0
2015-02-28,2684.65,27427930.0,536092.3737,25.4977,9.5345,95.0
2015-03-31,2639.8,11015604.0,527135.075,22.2937,8.0602,95.0
2015-04-30,2328.9,20270230.0,465052.1938,19.6681,7.1109,95.0
2015-05-31,2696.85,18021478.0,538527.2593,22.7755,8.2344,95.0
2015-06-30,2523.5,9421019.0,503911.4063,21.3115,7.7051,125.0
2015-07-31,2682.7,8853186.0,535701.6438,22.656,8.1912,60.0
2015-08-31,2397.2,11866844.0,478690.8625,20.2449,7.3194,30.0
2015-09-30,2394.5,7302640.0,478151.7188,20.2221,7.3112,30.0
2015-10-31,2581.4,5646691.0,515473.2875,21.8005,7.8819,30.0
2015-11-30,2699.15,8446306.0,538986.4907,22.7949,8.2414,30.0
2015-12-31,2694.1,7938128.0,537978.1187,22.7523,8.226,30.0
2016-01-31,2565.65,5948615.0,512328.2094,21.6675,7.8338,30.0
2016-02-29,2499.9,7091469.0,499198.7563,21.1122,7.633,30.0
2016-03-31,2945.7,11594659.0,588219.4563,18.7219,6.6586,70.0
2016-04-30,2897.4,9269450.0,578574.5375,18.4149,6.5494,70.0
2016-05-31,3098.9,10066180.0,618811.5688,19.6956,7.0049,70.0
2016-06-30,3178.25,8459895.0,634656.7969,20.1999,7.1843,40.0
2016-07-31,3203.15,6006829.0,639628.9907,20.3581,7.2405,40.0
2016-08-31,3541.35,11432654.0,707163.3531,22.5076,8.005,40.0
2016-09-30,3413.7,7958547.0,681673.2063,21.6963,7.7165,72.0
2016-10-31,3352.1,8002727.0,669372.4937,21.3048,7.5772,72.0
2016-11-30,3166.05,11616872.0,632220.6219,20.1223,7.1567,72.0
2016-12-31,3043.65,6436009.0,607790.9094,19.3444,6.88,72.0
2017-01-31,3172.35,8694987.0,633491.2512,20.1624,7.1709,72.0
2017-02-28,3138.1,8357001.0,626668.6735,19.9447,7.0935,72.0
2017-03-31,3221.95,11652504.0,643413.2159,17.9506,6.2373,87.0
2017-04-30,3318.6,6068208.0,662713.9528,18.4891,6.4244,87.0
