HNAL IN Equity,price,volume,mc,pe,bm,div
2019-03-31,353.23,1766960.0,236228.0494,10.4311,2.1761,9.9
2019-04-30,333.93,590960.0,223320.6919,9.8611,2.0572,9.9
2019-05-31,355.15,1090336.0,237515.4412,10.4879,2.1879,9.9
2019-06-30,357.25,2213464.0,238919.8688,9.6248,2.2043,9.9
2019-07-31,330.63,390576.0,221113.7344,8.9075,2.2043,9.9
2019-08-31,325.02,363016.0,217368.5944,8.7566,2.2043,9.9
2019-09-30,353.15,1225998.0,236177.8913,8.3848,1.9717,9.9
2019-10-31,381.43,775898.0,255087.5044,9.0562,2.1296,9.9
2019-11-30,387.48,1177528.0,259133.5931,9.1998,2.1634,9.9
2019-12-31,365.2,446896.0,244236.63,8.6535,2.0394,9.9
2020-01-31,402.05,2714440.0,268880.9888,9.5266,2.0394,9.9
2020-02-29,343.03,2763554.0,229406.5444,8.128,2.0394,9.9
2020-03-31,260.15,1860444.0,173981.8162,6.0039,1.3142,16.625
2020-04-30,263.58,1807314.0,176272.3706,6.083,1.3315,16.625
2020-05-31,278.08,5117162.0,185969.6081,6.4176,1.4047,16.625
2020-06-30,386.08,8129338.0,258197.3081,10.4035,1.9234,16.625
2020-07-31,436.23,42198532.0,291736.3744,11.7549,1.9234,16.625
2020-08-31,463.08,95272634.0,309692.9831,12.4784,1.9234,16.625
2020-09-30,403.05,48434868.0,269549.7638,10.8888,1.9272,16.625
2020-10-31,343.55,19391480.0,229757.6513,9.2814,1.6427,16.625
2020-11-30,409.25,22212908.0,273696.1688,11.0563,1.9569,16.625
2020-12-31,423.13,19275484.0,282975.4219,9.8665,1.9869,24.125
2021-01-31,462.65,41379332.0,309408.7537,10.7882,1.9869,24.125
2021-02-28,543.53,33852030.0,363495.9319,12.674,1.9869,24.125
2021-03-31,497.48,18543070.0,332698.8431,10.271,2.157,15.0
2021-04-30,478.63,8202616.0,320092.4344,9.8818,2.0753,15.0
2021-05-31,510.28,8667802.0,341259.1631,10.5353,2.2125,15.0
2021-06-30,510.9,10692950.0,341677.1475,10.4011,2.2467,15.0
2021-07-31,558.17,26398768.0,373293.4856,11.3635,2.2467,15.0
2021-08-31,687.9,47257198.0,460050.3225,14.0045,2.2467,15.0
2021-09-30,677.23,54575280.0,452911.1494,12.8799,2.748,15.0
2021-10-31,653.3,43647688.0,436910.7075,12.4249,2.6509,15.0
2021-11-30,638.45,33756572.0,426979.3988,12.1424,2.5907,14.0
2021-12-31,605.33,21334580.0,404826.2269,11.2566,2.4574,14.0
2022-01-31,721.85,39242318.0,482755.2338,13.4235,2.4574,14.0
2022-02-28,693.88,24460658.0,464046.2531,12.9033,2.4574,20.0
2022-03-31,742.45,34329530.0,496531.9988,9.7749,2.571,20.0
2022-04-30,797.55,49568072.0,533381.5013,10.5003,2.7618,20.0
