HPCL IN Equity,price,volume,mc,pe,bm,div
2001-03-31,23.79,58703758.0,54496.3958,5.0089,0.8402,1.6296
2001-04-30,24.76,19928477.0,56702.0408,5.2116,0.8742,1.6296
2001-05-31,24.14,33195103.0,55293.8213,5.0822,0.8525,1.6296
2001-06-30,23.42,20891567.0,53648.0709,4.9309,0.8271,0.4444
2001-07-31,21.16,6852398.0,48456.3221,4.4537,0.7471,0.4444
2001-08-31,19.06,9028854.0,43654.8028,4.0124,0.673,1.4815
2001-09-30,18.42,19995356.0,42195.6838,3.8783,0.6505,1.4815
2001-10-31,18.61,20541188.0,42636.8128,3.9188,0.6573,1.4815
2001-11-30,20.14,16698272.0,46131.9117,4.2401,0.7112,1.4815
2001-12-31,20.68,22991938.0,47370.4661,4.3539,0.7303,1.4815
2002-01-31,25.8,24255470.0,59094.3172,5.4315,0.9111,1.4815
2002-02-28,42.4,216765342.0,97116.2422,8.9262,1.4973,1.4815
2002-03-31,43.05,174119396.0,98609.2941,12.4936,1.672,1.4815
2002-04-30,42.35,105067010.0,96997.4767,12.2893,1.6447,1.4815
2002-05-31,38.38,140811662.0,87903.433,11.1371,1.4905,1.4815
2002-06-30,39.28,80830049.0,89973.3459,11.3994,1.5256,1.4815
2002-07-31,40.67,97922574.0,93146.0813,11.8014,1.5794,1.4815
2002-08-31,40.56,69272287.0,92891.5838,11.7691,1.5751,1.4815
2002-09-30,24.92,249429611.0,57075.3037,7.2313,0.9678,1.4815
2002-10-31,31.5,261196151.0,72141.5551,9.1402,1.2232,1.4815
2002-11-30,32.59,150635518.0,74652.597,9.4583,1.2658,1.4815
2002-12-31,42.66,316340762.0,97710.0696,12.3796,1.6568,1.4815
2003-01-31,43.15,262988897.0,98829.8586,12.5215,1.6757,1.4815
2003-02-28,46.46,125817334.0,106413.8838,13.4824,1.8043,0.5926
2003-03-31,43.61,96056307.0,99881.7815,6.7939,1.5581,0.5926
2003-04-30,41.3,83306894.0,94588.2338,6.4338,1.4756,0.5926
2003-05-31,45.03,99165411.0,103139.3494,7.0155,1.609,0.5926
2003-06-30,51.78,159404963.0,118595.8303,8.0668,1.8501,0.5926
2003-07-31,47.93,111068786.0,109773.2507,7.4667,1.7124,0.5926
2003-08-31,63.68,180715955.0,145860.9947,9.9214,2.2754,0.5926
2003-09-30,53.64,320744711.0,122854.4216,8.3565,1.9165,2.963
2003-10-31,48.77,164046384.0,111707.4316,7.5983,1.7426,2.963
2003-11-30,54.36,110057258.0,124517.1386,8.4696,1.9425,2.963
2003-12-31,64.81,117275459.0,148456.8691,10.0979,2.3159,3.5556
2004-01-31,66.07,113915673.0,151341.174,10.2941,2.3609,3.5556
2004-02-29,67.39,82521524.0,154361.2109,10.4996,2.408,3.5556
2004-03-31,75.2,121985156.0,172243.9012,8.7056,2.2806,3.5556
2004-04-30,68.21,84257989.0,156244.4923,7.8969,2.0688,3.5556
2004-05-31,44.54,161794814.0,102019.5605,5.1563,1.3508,3.5556
2004-06-30,49.83,109668965.0,114133.641,5.7685,1.5112,3.5556
2004-07-31,47.03,110231921.0,107720.3042,5.4444,1.4263,3.5556
2004-08-31,46.67,63722329.0,106888.9458,5.4024,1.4153,3.2593
2004-09-30,46.85,51955324.0,107313.1083,5.4238,1.4209,3.2593
2004-10-31,45.6,51667997.0,104445.7699,5.2789,1.3829,3.2593
2004-11-30,50.18,59796326.0,114931.0665,5.8088,1.5218,3.2593
2004-12-31,59.33,53503119.0,135901.6596,6.8687,1.7994,3.1111
2005-01-31,53.63,187453616.0,122837.4551,6.2085,1.6264,3.1111
2005-02-28,52.05,171457108.0,119223.5908,6.0258,1.5786,3.1111
2005-03-31,45.09,239439125.0,103275.0814,7.2867,1.2335,3.1111
2005-04-30,44.9,114068473.0,102850.9189,7.2568,1.2284,3.1111
2005-05-31,49.64,111127532.0,113692.512,8.0217,1.3579,3.1111
2005-06-30,45.47,110561409.0,104140.3729,7.3477,1.2438,3.1111
2005-07-31,43.03,73618146.0,98558.3946,6.9539,1.1771,3.1111
2005-08-31,43.31,89139447.0,99203.1216,6.9994,1.1848,3.1111
2005-09-30,46.58,119453393.0,106685.3478,7.5273,1.2742,2.2222
