ICICIGI IN Equity,price,volume,mc,pe,bm,div
2018-06-30,696.75,4241107.0,316294.5007,33.7246,6.5479,0.75
2018-07-31,777.7,6082426.0,353042.3153,37.6428,7.3086,3.25
2018-08-31,795.85,3758410.0,361362.4127,38.5213,7.4792,3.25
2018-09-30,808.35,20122529.0,367042.9933,35.7519,7.3588,3.25
2018-10-31,805.45,9639630.0,365726.2064,35.6236,7.3324,5.0
2018-11-30,833.8,17637089.0,378598.9334,36.8775,7.5905,5.0
2018-12-31,864.45,8244947.0,392516.0086,37.9644,7.7114,5.0
2019-01-31,880.25,5241664.0,399690.2268,38.6583,7.8523,5.0
2019-02-28,931.15,5856893.0,422977.6288,40.8937,8.3064,5.0
2019-03-31,1033.3,7713756.0,469379.567,44.7122,8.8233,5.0
2019-04-30,1093.35,9941555.0,496719.7773,47.3107,9.336,5.0
2019-05-31,1176.5,33241367.0,534613.8874,50.9087,10.046,5.0
2019-06-30,1112.55,29751698.0,505554.3395,47.222,9.2938,7.0
2019-07-31,1207.35,9876382.0,548639.6937,51.2458,10.0858,7.0
2019-08-31,1257.8,8414674.0,571565.0033,53.3871,10.5072,7.0
2019-09-30,1209.85,58599865.0,549775.7348,50.6637,9.564,7.0
2019-10-31,1342.8,43061205.0,610208.5691,56.2312,10.615,7.0
2019-11-30,1362.9,14938991.0,619343.4293,57.0729,10.7739,7.0
2019-12-31,1386.8,10302235.0,630211.781,55.2951,10.7701,7.0
2020-01-31,1318.4,8603563.0,599128.3618,52.5678,10.2389,7.0
2020-02-29,1236.65,8329240.0,561978.2225,49.3082,9.604,7.0
2020-03-31,1081.65,19766652.0,491573.4345,41.1743,8.0136,7.0
2020-04-30,1290.6,13872318.0,586534.1603,49.1283,9.5616,7.0
2020-05-31,1300.7,13000900.0,591133.8948,49.5128,9.6365,7.0
2020-06-30,1266.6,44539743.0,575637.9767,44.899,8.812,3.5
2020-07-31,1303.6,9937342.0,592453.55,46.2106,9.0694,3.5
2020-08-31,1256.7,10803476.0,571148.6278,44.548,8.7431,3.5
2020-09-30,1299.5,10583705.0,590612.2942,42.4951,8.4355,3.5
2020-10-31,1236.0,8577307.0,561757.653,40.4186,8.0233,3.5
2020-11-30,1451.4,19487135.0,659660.8036,47.4624,9.4215,0.0
2020-12-31,1520.85,17417848.0,691257.8857,49.0439,9.5132,0.0
2021-01-31,1315.5,15714347.0,597941.4476,42.4218,8.2287,0.0
2021-02-28,1426.0,20029373.0,648208.562,45.9852,8.9199,0.0
2021-03-31,1433.2,10626244.0,651514.1758,44.2073,8.7624,4.0
2021-04-30,1414.0,13073426.0,642800.8777,43.6151,8.645,4.0
2021-05-31,1471.9,12129805.0,669128.7589,45.401,8.999,4.0
2021-06-30,1567.0,15541544.0,712439.0744,58.037,9.3839,4.0
2021-07-31,1475.75,12845874.0,670952.1046,54.6574,8.8374,4.0
2021-08-31,1594.6,18456941.0,724987.4477,59.0593,9.5492,8.0
2021-09-30,1589.5,18060688.0,722668.7246,57.4449,8.3557,8.0
2021-10-31,1481.55,35592458.0,726751.667,53.5435,7.7882,8.0
2021-11-30,1437.35,13487718.0,705310.8905,51.9462,7.5559,8.0
2021-12-31,1401.25,14448007.0,687750.9848,51.4409,7.2453,8.0
2022-01-31,1369.1,14191619.0,672006.4126,50.2606,7.0791,8.0
2022-02-28,1263.8,14246029.0,620386.5646,46.395,6.5346,8.0
2022-03-31,1328.3,18329242.0,652051.0838,51.0885,7.1578,8.0
2022-04-30,1280.2,10090707.0,628439.2061,49.2385,6.8986,8.0
2022-05-31,1265.85,11802478.0,621483.7895,48.6865,6.8213,8.0
2022-06-30,1120.95,24286870.0,550416.691,37.6537,5.8113,8.0
2022-07-31,1219.9,14838518.0,599006.2503,40.9775,6.3242,9.0
2022-08-31,1288.3,16625072.0,632655.1149,43.2751,6.6788,9.0
2022-09-30,1151.15,17833167.0,565324.1854,35.9959,5.756,9.0
2022-10-31,1169.95,18911311.0,574556.7743,36.5838,5.85,9.5
2022-11-30,1211.15,15296203.0,594792.6802,37.8721,6.056,9.5
2022-12-31,1236.8,12961822.0,607389.3299,37.8342,6.1024,9.5
2023-01-31,1129.75,19579762.0,554817.3475,34.5595,5.5742,9.5
2023-02-28,1101.85,7026098.0,541115.7286,33.706,5.4366,9.5
2023-03-31,1069.5,10794258.0,525255.0892,30.3663,5.0541,9.5
