IDFCFB IN Equity,price,volume,mc,pe,bm,div
2016-03-31,48.2,93926672.0,163524.4544,20.5983,1.1995,0.0
2016-04-30,47.85,78175306.0,162443.4253,20.4487,1.1908,0.0
2016-05-31,48.15,151927270.0,163461.8794,20.5769,1.1983,0.0
2016-06-30,45.2,48249662.0,153447.081,19.3162,1.1249,0.0
2016-07-31,51.6,171500553.0,175174.1013,22.0513,1.2841,0.25
2016-08-31,56.05,130480428.0,190281.1701,23.953,1.3949,0.25
2016-09-30,79.85,310774628.0,271078.5269,34.1239,1.9872,0.25
2016-10-31,79.55,236410823.0,270060.0728,33.9957,1.9797,0.25
2016-11-30,68.45,505697433.0,232377.2719,29.2521,1.7035,0.25
2016-12-31,60.05,195180674.0,203922.7629,25.6624,1.4944,0.25
2017-01-31,59.95,156766980.0,203583.1746,25.6197,1.4919,0.25
2017-02-28,62.5,176293769.0,212321.1975,26.7094,1.5554,0.25
2017-03-31,59.3,172501605.0,201561.0764,19.7667,1.3733,0.25
2017-04-30,65.75,302983736.0,223507.7986,21.9167,1.5227,0.25
2017-05-31,57.55,266083724.0,195697.5807,19.1833,1.3328,0.25
2017-06-30,54.7,150266018.0,186034.6332,18.2333,1.2668,0.25
2017-07-31,59.45,391636937.0,202218.9863,19.8167,1.3768,0.75
2017-08-31,54.85,132391764.0,186572.1009,18.2833,1.2702,0.75
2017-09-30,56.4,159832177.0,191860.5451,18.8,1.3061,0.75
2017-10-31,56.65,176431845.0,192710.9908,18.8833,1.3119,0.75
2017-11-30,54.9,213689261.0,186787.3637,18.3,1.2714,0.75
2017-12-31,54.25,110367509.0,184595.1823,18.0833,1.2563,0.75
2018-01-31,56.8,558354288.0,193280.7263,18.9333,1.3154,0.75
2018-02-28,51.5,160745043.0,175291.2893,17.1667,1.1926,0.75
2018-03-31,47.35,179162948.0,161182.9468,18.2819,1.0553,0.75
2018-04-30,48.35,132047306.0,164588.5769,18.668,1.0776,0.75
2018-05-31,40.7,382318252.0,138547.1578,15.7143,0.9071,0.75
2018-06-30,38.85,407299745.0,132249.5597,15.0,0.8658,0.75
2018-07-31,40.05,232818813.0,136334.6625,15.4633,0.8926,0.75
2018-08-31,47.6,267927727.0,162035.7037,18.3784,1.0608,0.75
2018-09-30,36.3,215715975.0,123569.2446,14.0154,0.809,0.75
2018-10-31,34.6,247122873.0,117792.6741,13.3591,0.7711,0.75
2018-11-30,38.45,238105942.0,130899.6624,14.8456,0.8569,0.75
2018-12-31,43.35,300829916.0,147581.2839,16.7375,0.9661,0.75
2019-01-31,45.2,389838215.0,216124.7765,17.4517,1.0074,0.75
2019-02-28,44.75,297829159.0,213973.0918,17.278,0.9973,0.75
2019-03-31,55.5,482960739.0,265383.0409,21.1004,1.4582,0.75
2019-04-30,49.95,249527168.0,238863.3167,21.1004,1.3124,0.75
2019-05-31,45.4,482190986.0,217104.9965,21.1004,1.1928,0.75
2019-06-30,43.25,210759075.0,206823.5925,21.1004,1.1363,0.75
2019-07-31,41.95,365349907.0,200624.9154,21.1004,1.1022,0.75
2019-08-31,43.55,325029306.0,208276.8788,21.1004,1.1442,0.75
