IKS IN Equity,price,volume,mc,pe,bm,div
2025-03-31,1528.95,5481585.0,262326.7815,52.3613,14.6576,0.0
2025-04-30,1476.2,3701924.0,253276.2973,50.5548,14.1519,0.0
2025-05-31,1505.6,4179378.0,258320.5482,51.5616,14.4338,0.0
2025-06-30,1610.1,18699402.0,276249.9433,55.1404,15.4356,0.0
2025-07-31,1587.0,5280696.0,272286.6033,54.3493,15.2142,0.0
2025-08-31,1514.2,7748970.0,259796.0774,51.8562,14.5162,0.0
2025-09-30,1453.5,5779346.0,249381.5866,49.7774,13.9343,0.0
2025-10-31,1645.9,6448405.0,282392.2624,56.3664,15.7788,0.0
2025-11-30,1680.6,7544771.0,288345.851,57.5548,16.1115,0.0
2025-12-31,1657.8,3623912.0,284433.983,56.774,15.8929,0.0
2026-01-31,1551.9,3362680.0,266264.3855,53.1473,14.8777,0.0
2026-02-28,1375.8,5177163.0,236050.3522,47.1164,13.1894,0.0
2026-03-31,1301.2,1082578.0,223250.9861,44.5616,12.4743,0.0
