INFO IN Equity,price,volume,mc,pe,bm,div
2002-03-31,58.37,448857856.0,247156.0485,31.1523,11.4488,0.2344
2002-04-30,57.65,336358976.0,244137.8957,30.7691,11.308,0.2344
2002-05-31,52.84,238490432.0,223793.6266,28.2051,10.3657,0.3125
2002-06-30,51.33,324213696.0,217365.1018,26.5736,9.4746,0.3125
2002-07-31,47.54,377145984.0,201315.3429,24.6114,8.7751,0.3125
2002-08-31,56.55,374987136.0,239476.1531,29.2767,10.4384,0.3125
2002-09-30,53.13,339185088.0,225001.2473,26.4942,8.8806,0.3125
2002-10-31,59.18,486210432.0,250642.5089,29.5135,9.8927,0.3906
2002-11-30,71.21,540124352.0,301567.6963,35.51,11.9027,0.3906
2002-12-31,74.55,525727808.0,315931.245,35.0049,11.655,0.3906
2003-01-31,67.2,569092032.0,284802.6278,31.5559,10.5066,0.3906
2003-02-28,66.94,377568128.0,283726.3825,31.4319,10.4654,0.3906
2003-03-31,63.13,377461440.0,267576.9416,32.6114,9.0065,0.3906
2003-04-30,43.6,671863168.0,184816.3619,22.5248,6.2208,0.3906
2003-05-31,41.76,455205760.0,177028.0602,21.5703,5.9572,0.4219
2003-06-30,51.01,343844608.0,216273.8032,24.3301,6.7585,0.4219
2003-07-31,56.15,483587328.0,237988.9357,26.7778,7.4384,0.4219
2003-08-31,61.1,340279808.0,258997.9094,29.1409,8.0948,0.4219
2003-09-30,70.69,523076800.0,299651.8075,31.0779,8.685,0.4219
2003-10-31,74.09,359151744.0,314040.9486,32.5702,9.102,0.4531
2003-11-30,76.95,246962176.0,326164.9053,33.8276,9.4534,0.4531
2003-12-31,86.93,221910464.0,368986.802,35.6658,9.8705,0.4531
2004-01-31,81.17,248437248.0,345164.1849,33.3032,9.2167,0.4531
2004-02-29,79.25,282760320.0,336975.4923,32.5131,8.998,0.4531
2004-03-31,77.16,360052736.0,328089.1827,26.1572,7.9152,0.4531
2004-04-30,80.42,291305280.0,341961.8123,27.2632,8.2499,0.4531
2004-05-31,81.39,221480448.0,347041.9209,27.5914,8.3492,2.0234
2004-06-30,86.3,205512384.0,369215.7924,34.4683,39.4486,2.0234
2004-07-31,97.11,177134208.0,415559.6079,38.7876,44.392,2.0234
2004-08-31,98.43,140687168.0,421216.3002,39.3156,44.9963,2.0234
2004-09-30,105.95,156740352.0,453391.2285,37.4992,10.7296,2.0234
2004-10-31,119.15,174192096.0,510618.5468,42.1712,12.0664,2.1094
2004-11-30,134.27,119415792.0,575423.5306,47.5233,13.5978,2.1094
2004-12-31,130.56,93005984.0,559526.9325,40.194,11.68,2.1094
2005-01-31,129.29,578801184.0,557377.2504,39.8025,11.5662,2.1094
2005-02-28,140.01,385591248.0,603904.996,43.1013,12.5249,2.1094
2005-03-31,141.07,332467984.0,610695.1451,37.7702,11.1422,2.1094
