IOB IN Equity,price,volume,mc,pe,bm,div
2010-03-31,91.95,15954494.0,50094.3589,7.084,0.6657,4.5
2010-04-30,96.0,47746660.0,52300.7988,7.396,0.6951,4.5
2010-05-31,91.05,27020258.0,49604.0389,7.0146,0.6592,3.5
2010-06-30,104.1,45044773.0,56713.6787,9.3615,0.7519,3.5
2010-07-31,114.55,35262773.0,62406.8386,10.3013,0.7519,3.5
2010-08-31,124.7,50514753.0,67936.5585,11.214,0.7519,3.5
2010-09-30,131.95,29179163.0,71886.3584,11.3068,0.907,3.5
2010-10-31,159.8,42180412.0,87059.038,13.6932,1.0984,3.5
2010-11-30,147.2,27890697.0,80194.5582,12.6135,1.0118,3.5
2010-12-31,146.6,24670057.0,79867.6782,10.4342,1.0029,3.5
2011-01-31,130.1,21088889.0,70878.4784,9.2598,1.0029,3.5
2011-02-28,133.25,23756438.0,72594.5984,9.484,1.0029,3.5
2011-03-31,143.8,19198664.0,78342.2382,7.678,0.9542,3.5
2011-04-30,152.55,18335145.0,83109.2381,8.1452,1.0122,3.5
2011-05-31,142.1,23673394.0,77416.0783,7.5872,0.9429,3.5
2011-06-30,146.8,9802505.0,90832.4014,7.9918,0.9724,3.5
2011-07-31,138.55,12127867.0,85727.7195,7.5426,0.9724,5.0
2011-08-31,110.0,12926641.0,68062.4261,5.9884,0.9724,5.0
2011-09-30,92.6,18573644.0,57296.1878,5.162,0.5889,5.0
2011-10-31,102.4,12302636.0,63359.9313,5.7083,0.6513,5.0
2011-11-30,92.75,8989011.0,57389.0002,5.1703,0.5899,5.0
2011-12-31,73.35,9041156.0,45385.2633,4.751,0.4706,5.0
2012-01-31,87.55,23212322.0,54171.5037,5.6707,0.4706,5.0
2012-02-29,102.0,29325284.0,63112.4315,6.6067,0.4706,5.0
2012-03-31,94.3,13930867.0,58348.0674,5.5832,0.6301,5.0
2012-04-30,87.3,11188868.0,69577.9455,5.1687,0.5833,5.0
2012-05-31,81.2,28814062.0,64716.2563,4.8076,0.5426,5.0
2012-06-30,83.3,26253460.0,66389.9526,5.0485,0.5509,4.5
2012-07-31,72.5,32942256.0,57782.3717,4.3939,0.5509,4.5
2012-08-31,68.25,14843910.0,54395.1292,4.1364,0.5509,4.5
2012-09-30,78.3,29905002.0,62404.9614,5.1717,0.5059,4.5
