IRFC IN Equity,price,volume,mc,pe,bm,div
2021-12-31,22.85,161037900.0,298615.3621,4.8105,0.7559,1.82
2022-01-31,23.35,203012006.0,305149.6151,4.9158,0.7724,1.82
2022-02-28,21.6,173518016.0,282279.7296,4.5474,0.7145,0.77
2022-03-31,21.45,174845746.0,280319.4537,4.601,0.6838,0.77
2022-04-30,22.3,166441786.0,291427.6838,4.7833,0.7109,0.77
2022-05-31,21.2,122727996.0,277052.3272,4.5474,0.6758,0.77
2022-06-30,19.65,95729854.0,256796.1429,4.1091,0.602,0.77
2022-07-31,20.6,60245986.0,269211.2236,4.3078,0.6311,0.77
2022-08-31,21.4,84271665.0,279666.0284,4.4751,0.6556,0.77
2022-09-30,21.25,159640887.0,277705.7525,4.2998,0.6377,1.4
2022-10-31,22.65,82748015.0,296001.6609,4.5831,0.6797,1.4
2022-11-30,32.8,2780097642.0,428646.9968,6.6369,0.9843,1.43
2022-12-31,32.55,2383037503.0,425379.8703,6.5466,0.9637,1.43
2023-01-31,33.05,955566694.0,431914.1233,6.6472,0.9785,1.43
2023-02-28,26.95,606405299.0,352196.2367,5.4203,0.7979,1.43
2023-03-31,26.6,474861270.0,347622.2596,5.4845,0.7645,1.43
2023-04-30,31.75,1030506051.0,414925.0655,6.5464,0.9125,1.43
2023-05-31,32.2,2472360404.0,420805.8932,6.6392,0.9255,1.43
2023-06-30,32.7,614998443.0,427340.1462,6.8553,0.9242,1.43
2023-07-31,38.2,1074952251.0,499216.9292,8.0084,1.0797,1.43
2023-08-31,50.2,3818675269.0,656039.0012,10.5241,1.4188,1.43
2023-09-30,76.55,3799918679.0,1000394.134,16.427,2.098,1.4
2023-10-31,72.6,1234076041.0,948773.5356,15.5794,1.9897,1.4
2023-11-30,74.65,757759864.0,975563.9729,16.0193,2.0459,1.5
2023-12-31,99.35,3364103947.0,1298356.071,21.4116,2.6909,1.5
2024-01-31,175.15,4109853787.0,2288948.826,37.7478,4.744,1.5
2024-02-29,146.75,1780974283.0,1917803.256,31.6272,3.9748,1.5
2024-03-31,142.35,1286214082.0,1860301.829,28.8158,3.7827,1.5
2024-04-30,157.25,1054295322.0,2055022.569,31.832,4.1787,1.5
2024-05-31,177.8,1637895059.0,2323580.367,35.9919,4.7248,1.5
2024-06-30,173.81,1229508038.0,2271437.028,35.0423,4.4738,1.5
2024-07-31,193.65,2674254361.0,2530716.187,39.0423,4.9845,1.5
2024-08-31,178.62,713838824.0,2334296.542,36.0121,4.5976,1.5
2024-09-30,158.72,442645600.0,2074233.272,31.8076,4.0304,1.5
2024-10-31,155.96,606477574.0,2038164.196,31.2545,3.9604,1.5
2024-11-30,149.34,413059792.0,1951650.686,29.9279,3.7923,1.5
2024-12-31,149.04,575576579.0,1947730.134,29.7485,3.7423,1.5
2025-01-31,150.94,607254489.0,1972560.296,30.1277,3.79,1.5
2025-02-28,112.42,510196562.0,1469161.445,22.4391,2.8228,1.5
2025-03-31,124.42,491474030.0,1625983.517,24.9839,3.0872,1.6
2025-04-30,124.47,360824433.0,1626636.942,24.994,3.0885,1.6
2025-05-31,138.95,514455183.0,1815868.909,27.9016,3.4478,1.6
2025-06-30,141.72,430294633.0,1852068.67,27.7339,3.403,1.6
2025-07-31,128.34,271661582.0,1677212.06,25.1155,3.0818,1.6
2025-08-31,118.11,168253976.0,1543521.244,23.1135,2.8361,1.6
2025-09-30,123.51,209219139.0,1614091.176,23.5706,2.8724,1.6
2025-10-31,123.31,169748046.0,1611477.475,23.5324,2.8677,1.85
2025-11-30,117.57,117635829.0,1536464.25,22.437,2.7342,1.85
2025-12-31,124.62,527960155.0,1628597.218,23.2067,2.8761,1.85
2026-01-31,120.1,386535237.0,1569527.571,22.365,2.7718,1.85
2026-02-28,103.55,409773962.0,1353243.796,19.2831,2.3898,1.85
2026-03-31,98.9,84837372.0,1292475.263,18.4171,2.2825,1.05
