JINDALST IN Equity,price,volume,mc,pe,bm,div
2006-03-31,63.19,58645710.0,58376.041,10.0142,3.0678,0.5
2006-04-30,63.13,28091910.0,56830.2675,10.0042,3.0647,0.5
2006-05-31,60.24,49850730.0,55644.764,9.5457,2.9243,0.5
2006-06-30,46.72,57226080.0,43153.8678,7.4029,2.2679,0.5
2006-07-31,49.61,19948170.0,45831.2582,7.8622,2.4086,0.5
2006-08-31,49.4,31612710.0,45635.7271,7.8287,2.3983,0.5
2006-09-30,57.07,30364950.0,52716.4164,9.0433,2.7704,0.5
2006-10-31,60.18,26378550.0,55589.3379,9.5362,2.9214,0.5
2006-11-30,71.86,25362360.0,66382.0388,11.3876,3.4886,0.5
2006-12-31,75.8,25591380.0,70018.6093,12.0115,3.6797,0.5
2007-01-31,77.84,12695130.0,71906.1773,12.3353,3.7789,0.3333
2007-02-28,77.68,25193550.0,71761.4535,12.3105,3.7713,0.5333
2007-03-31,79.25,17728470.0,73207.1519,10.37,2.8618,0.5333
2007-04-30,96.56,18307080.0,89194.5137,12.6347,3.4868,0.5333
2007-05-31,106.87,21199950.0,98718.5718,13.9838,3.8591,0.5333
2007-06-30,115.39,25188120.0,106592.1628,15.0991,4.1669,0.5333
2007-07-31,139.95,18417150.0,129279.9289,18.3129,5.0538,0.5333
2007-08-31,131.1,20582040.0,121101.4942,17.1544,4.7341,0.5333
2007-09-30,172.86,38682690.0,159681.1527,22.6195,6.2424,0.6
2007-10-31,395.88,175000260.0,365699.6462,51.8029,14.2962,0.6
2007-11-30,450.86,212115000.0,416483.3519,58.9967,16.2814,0.6
2007-12-31,513.18,153846960.0,474055.154,67.152,18.5321,0.6
2008-01-31,384.18,151850088.0,354885.5135,50.2711,13.8734,0.6
2008-02-29,384.15,133853982.0,354862.4195,50.2678,13.8725,0.65
2008-03-31,345.0,94878744.0,318697.2139,25.0153,8.2677,0.65
2008-04-30,399.94,107940702.0,369450.1109,28.999,9.5843,0.65
2008-05-31,389.9,77590290.0,360174.0205,28.2709,9.3436,0.65
2008-06-30,291.92,72090732.0,270874.0344,21.1663,6.9956,0.65
2008-07-31,346.01,88090050.0,321066.5464,25.0884,8.2918,0.65
2008-08-31,317.77,53525982.0,294860.6532,23.0407,7.615,0.65
2008-09-30,211.74,92152626.0,196478.39,15.353,5.0742,0.6667
2008-10-31,132.09,158029104.0,122570.2351,9.5777,3.1655,0.6667
2008-11-30,119.8,92548740.0,111164.5763,8.6865,2.8709,0.6667
2008-12-31,151.88,114784968.0,140927.5461,11.0122,3.6396,0.6667
2009-01-31,172.13,120526608.0,159717.8856,12.4805,4.1248,0.6667
2009-02-28,173.82,128638032.0,161295.3366,12.6037,4.1656,0.4167
2009-03-31,200.93,115880214.0,186441.9337,6.1157,2.6444,0.4167
2009-04-30,271.65,106746954.0,252161.3425,8.2684,3.5752,0.4167
2009-05-31,348.4,102475890.0,323405.1408,10.6046,4.5853,0.4167
2009-06-30,415.13,124450926.0,385350.9343,12.6358,5.4636,0.4167
2009-07-31,489.77,155782770.0,454637.6451,14.9077,6.4459,0.4167
2009-08-31,522.04,133902366.0,485906.5791,15.8898,6.8706,0.4167
2009-09-30,587.0,128444365.0,546368.5579,17.867,7.7255,0.9167
2009-10-31,641.5,113994339.0,597096.1327,19.5259,8.4428,0.9167
2009-11-30,688.25,102436342.0,640610.1533,20.9489,9.0581,0.9167
2009-12-31,703.3,70353819.0,654618.4102,21.407,9.2561,0.9167
2010-01-31,627.95,72930115.0,584484.0476,19.1135,8.2645,0.9167
2010-02-28,632.4,49690617.0,588912.4258,19.2489,8.323,0.9167
2010-03-31,703.1,48647072.0,654750.6745,18.3151,6.2855,0.9167
2010-04-30,743.45,36910887.0,692513.3291,19.3662,6.6463,0.9167
2010-05-31,654.1,62465909.0,609285.0475,17.0387,5.8475,0.9167
2010-06-30,624.5,40846089.0,583247.3992,16.2677,5.5829,0.9167
2010-07-31,622.45,31843478.0,581332.8161,16.2143,5.5645,0.9167
2010-08-31,684.25,36505304.0,639050.4931,17.8241,6.117,0.9167
2010-09-30,707.25,28438881.0,660531.1819,18.4232,6.3226,1.25
2010-10-31,697.55,28502994.0,651471.9349,18.1706,6.2359,1.25
2010-11-30,636.7,33690529.0,594641.5037,16.5855,5.6919,1.25
2010-12-31,712.05,33332456.0,665014.1083,18.5483,6.3655,1.25
2011-01-31,663.25,28601647.0,619437.6902,17.2771,5.9293,1.25
2011-02-28,657.75,30696529.0,614515.4229,17.1338,5.8801,1.25
2011-03-31,697.3,27228974.0,651465.7611,17.3371,4.617,1.25
2011-04-30,654.75,25549669.0,611870.1492,16.2792,4.3352,1.25
2011-05-31,649.2,22295065.0,606683.621,16.1412,4.2985,1.25
2011-06-30,652.25,18550026.0,609533.8752,16.2171,4.3187,1.25
2011-07-31,587.85,25497458.0,549351.4581,14.6159,3.8923,1.25
2011-08-31,520.9,46678555.0,486786.0415,12.9513,3.449,1.25
2011-09-30,506.0,49314890.0,472861.8488,12.5808,3.3503,1.5
2011-10-31,562.55,56372721.0,525708.3656,13.9868,3.7247,1.5
2011-11-30,503.35,29688298.0,470385.3984,12.5149,3.3328,1.5
2011-12-31,453.15,48582670.0,423619.937,11.2668,3.0004,1.5
2012-01-31,541.75,43188227.0,506446.2118,13.4697,3.587,1.5
2012-02-29,582.75,48442219.0,544774.3977,14.4891,3.8585,1.5
2012-03-31,545.15,53024228.0,509624.6468,12.8512,2.8139,1.5
2012-04-30,504.0,35121982.0,471156.2358,11.8812,2.6015,1.5
2012-05-31,440.35,32523309.0,411654.0644,10.3807,2.2729,1.5
2012-06-30,470.35,53595024.0,439699.0784,11.0879,2.4278,1.5
2012-07-31,398.65,52428684.0,372671.4949,9.3977,2.0577,1.5
2012-08-31,352.15,50701174.0,329201.7231,8.3015,1.8177,1.5
2012-09-30,427.15,106975311.0,399314.2582,10.0695,2.2048,1.6
2012-10-31,388.35,48960438.0,363042.7067,9.1549,2.0045,1.6
2012-11-30,403.05,37334240.0,376784.7636,9.5014,2.0804,1.6
2012-12-31,447.85,59471250.0,418665.3179,10.5575,2.3117,1.6
2013-01-31,420.2,39943697.0,392817.1633,9.9057,2.1689,1.6
2013-02-28,348.9,46249044.0,326163.5133,8.2249,1.8009,1.6
2013-03-31,347.75,47796996.0,325088.4544,11.1709,1.5297,1.6
2013-04-30,304.55,59802709.0,284703.6342,9.7832,1.3396,1.6
2013-05-31,284.45,52401172.0,265913.4748,9.1375,1.2512,1.6
2013-06-30,217.45,151158178.0,203279.6101,6.9852,0.9565,1.6
2013-07-31,199.8,74963598.0,186779.7935,6.4182,0.8789,1.6
2013-08-31,221.85,91694653.0,207395.4922,7.1266,0.9759,1.6
2013-09-30,235.5,58742808.0,220156.1343,7.565,1.0359,1.6
2013-10-31,239.85,41893275.0,224222.7126,7.7048,1.055,1.6
2013-11-30,258.15,44888579.0,241330.3867,8.2926,1.1355,1.6
2013-12-31,261.0,77282091.0,243994.6967,8.3842,1.1481,1.6
2014-01-31,250.3,50088352.0,233991.8489,8.0405,1.101,1.6
2014-02-28,239.35,26751147.0,218977.9462,7.6887,1.0528,1.6
2014-03-31,292.45,45250676.0,267558.3889,14.245,1.1833,1.6
2014-04-30,255.25,45435217.0,233524.6324,12.433,1.0328,1.6
2014-05-31,297.75,86975327.0,272407.2843,14.5032,1.2048,1.6
