JKCE IN Equity,price,volume,mc,pe,bm,div
2007-03-31,144.95,3926739.0,10133.2947,5.6747,1.2359,1.5
2007-04-30,152.75,1107814.0,10678.5841,5.9801,1.3024,1.5
2007-05-31,152.05,804941.0,10629.7244,5.9527,1.2965,1.5
2007-06-30,156.8,969749.0,10961.7941,6.1386,1.337,1.5
2007-07-31,172.95,3750519.0,12090.8309,6.7709,1.4747,1.5
2007-08-31,165.1,3438211.0,11542.0421,6.4636,1.4077,3.5
2007-09-30,179.45,2145651.0,12545.1694,7.0253,1.5301,3.5
2007-10-31,190.0,4046332.0,13282.7094,7.4384,1.6201,3.5
2007-11-30,235.35,10098387.0,16453.0823,9.2138,2.0067,3.5
2007-12-31,217.1,5566959.0,15177.2432,8.4993,1.8511,3.5
2008-01-31,170.8,3347279.0,11940.4566,6.6867,1.4563,3.5
2008-02-29,166.85,1562933.0,11664.3161,6.5321,1.4227,3.5
2008-03-31,164.65,1600983.0,11510.6319,4.342,1.093,3.5
2008-04-30,152.0,552704.0,10626.3206,4.0084,1.0091,3.5
2008-05-31,141.7,1323979.0,9906.2475,3.7368,0.9407,3.5
2008-06-30,131.25,419209.0,9175.6479,3.4612,0.8713,3.5
2008-07-31,123.25,712177.0,8616.3703,3.2502,0.8182,5.0
2008-08-31,129.55,430668.0,9056.8014,3.4164,0.86,5.0
2008-09-30,104.5,204011.0,7305.5635,2.7558,0.6937,5.0
2008-10-31,54.9,449849.0,3838.0592,1.4478,0.3645,5.0
2008-11-30,44.0,719316.0,3076.0402,1.1603,0.2921,5.0
2008-12-31,43.2,1911725.0,3020.1122,1.1392,0.2868,5.0
2009-01-31,39.75,1752875.0,2778.9226,1.0483,0.2639,5.0
2009-02-28,35.75,1244981.0,2499.2717,0.9428,0.2373,5.0
2009-03-31,39.7,3193697.0,2775.415,1.9624,0.2342,5.0
2009-04-30,59.15,5221948.0,4135.1587,2.9239,0.349,5.0
2009-05-31,89.8,5479672.0,6277.8909,4.439,0.5298,5.0
2009-06-30,98.55,6927192.0,6889.6008,4.8715,0.5814,5.0
2009-07-31,120.25,4171047.0,8406.6412,5.9441,0.7094,3.5
2009-08-31,119.75,3073984.0,8371.6864,5.9194,0.7065,3.5
2009-09-30,136.6,3311736.0,9549.6648,6.7523,0.8059,3.5
2009-10-31,117.55,1198859.0,8217.8851,5.8107,0.6935,3.5
2009-11-30,135.1,1864487.0,9444.8003,6.6782,0.7971,5.0
2009-12-31,147.9,1638301.0,10339.6444,7.3109,0.8726,5.0
2010-01-31,140.1,2598525.0,9794.3488,6.9254,0.8266,5.0
2010-02-28,173.85,8514727.0,12153.8011,8.5937,1.0257,5.0
2010-03-31,179.7,1905515.0,12562.7728,5.5964,0.9299,5.0
2010-04-30,186.55,1508172.0,13041.6543,5.8097,0.9654,5.0
2010-05-31,182.75,984342.0,12775.9974,5.6914,0.9457,5.0
2010-06-30,187.3,411478.0,13094.0865,5.8331,0.9693,5.0
2010-07-31,168.5,422524.0,11779.7842,5.2476,0.872,6.0
2010-08-31,163.5,2397016.0,11430.2357,5.0919,0.8461,6.0
2010-09-30,170.75,2802179.0,11937.098,5.3177,0.8836,6.0
2010-10-31,173.7,4320380.0,12143.3319,5.4095,0.8989,6.0
2010-11-30,160.7,924350.0,11234.5045,5.0047,0.8316,6.0
2010-12-31,145.7,391543.0,10185.8575,4.5375,0.754,6.0
2011-01-31,125.1,451849.0,8745.7157,3.896,0.6474,3.5
2011-02-28,134.25,373978.0,9385.3903,4.1809,0.6947,3.5
2011-03-31,141.0,1056703.0,9857.2815,15.7366,0.7068,3.5
2011-04-30,126.9,901068.0,8871.5533,14.1629,0.6362,3.5
2011-05-31,114.4,1255487.0,7997.6809,12.7679,0.5735,3.5
2011-06-30,108.35,953138.0,7574.7266,12.0926,0.5432,3.5
