JUBI IN Equity,price,volume,mc,pe,bm,div
2020-03-31,294.29,203157910.0,194185.8439,69.3753,17.3067,1.2
2020-04-30,321.7,130062705.0,212272.2008,75.8369,18.9187,1.2
2020-05-31,331.32,199684545.0,218619.9117,78.1047,19.4844,1.2
2020-06-30,345.45,110387945.0,227943.5243,169.6615,20.5723,1.2
2020-07-31,344.09,97897280.0,227046.1349,168.9936,20.5723,1.2
2020-08-31,419.4,138252265.0,276739.0769,205.9807,20.5723,1.2
2020-09-30,468.87,128674895.0,309381.6189,225.8403,27.5276,1.2
2020-10-31,434.95,59849880.0,286999.6763,209.5021,25.5362,1.2
2020-11-30,500.16,114200755.0,330028.1827,240.9118,29.3647,1.2
2020-12-31,558.23,143930790.0,368345.3944,231.0447,31.4941,1.2
2021-01-31,518.03,101579910.0,341819.6167,214.4064,31.4941,1.2
2021-02-28,598.98,124287240.0,395234.0869,247.9106,31.4941,1.2
2021-03-31,582.19,65434400.0,384155.2857,165.7663,26.9237,1.2
2021-04-30,578.34,53446850.0,381614.8816,164.6701,26.7457,1.2
2021-05-31,622.24,59767480.0,410582.0866,177.1697,28.7759,0.0
2021-06-30,616.04,77767750.0,406491.0462,108.3433,28.7528,0.0
2021-07-31,755.03,89425870.0,498202.9214,132.7875,28.7528,0.0
2021-08-31,799.0,74830775.0,527216.3148,140.5206,28.7528,1.2
2021-09-30,808.18,55812715.0,533273.6937,127.1463,31.1551,1.2
2021-10-31,737.86,97788100.0,486873.3793,116.0833,28.4443,1.2
2021-11-30,730.2,44255285.0,481818.965,114.8782,28.149,1.2
2021-12-31,718.22,53739040.0,473914.0195,110.4563,27.1494,1.2
2022-01-31,676.85,73852100.0,446616.2236,104.0939,27.1494,1.2
2022-02-28,582.1,107359215.0,384095.8909,89.5222,27.1494,1.2
2022-03-31,527.3,177915950.0,347936.374,82.7228,17.889,1.2
2022-04-30,546.0,106196838.0,360275.4792,85.6565,18.5235,1.2
2022-05-31,550.95,83260103.0,363541.7129,86.433,18.6914,1.2
2022-06-30,512.25,72978076.0,338005.7037,72.8632,17.4175,1.2
2022-07-31,550.25,76898603.0,363079.8213,78.2684,17.4175,1.2
2022-08-31,616.3,95544337.0,406662.5968,87.6634,17.4175,1.2
2022-09-30,622.7,80629926.0,410885.606,86.5101,19.8657,1.2
2022-10-31,609.95,50309198.0,402472.5797,84.7388,19.4589,1.2
2022-11-30,546.85,63248977.0,360836.3476,75.9725,17.4459,1.2
2022-12-31,511.05,51220493.0,337213.8895,79.9765,16.2735,1.2
2023-01-31,486.85,34182107.0,321245.6356,76.1894,16.2735,1.2
2023-02-28,440.85,52266830.0,290892.7564,68.9906,16.2735,1.2
2023-03-31,440.1,49584687.0,290397.8725,82.2617,14.2506,1.2
2023-04-30,446.45,37513539.0,294587.8895,83.4486,14.4562,1.2
2023-05-31,483.3,69052987.0,318903.1852,90.3364,15.6495,1.2
2023-06-30,501.25,36612594.0,330747.4065,122.8554,16.0283,1.2
2023-07-31,478.5,47475489.0,315735.9282,117.2794,16.0283,1.2
2023-08-31,512.05,60458870.0,337873.7347,125.5025,16.0283,1.2
2023-09-30,533.1,68749640.0,351763.4761,149.7472,16.8527,1.2
2023-10-31,500.95,55124141.0,330549.4529,140.7163,15.8364,1.2
2023-11-30,560.85,43532549.0,370074.1804,157.5421,17.73,1.2
2023-12-31,565.05,42510889.0,372845.5303,169.1766,18.024,1.2
2024-01-31,519.55,58729287.0,342822.5737,155.5539,18.024,1.2
2024-02-29,463.9,79793463.0,306102.1883,138.8922,18.024,1.2
2024-03-31,448.85,50051441.0,296171.518,74.0677,13.6444,1.2
2024-04-30,463.2,64702473.0,305640.2966,76.4356,14.0806,1.2
2024-05-31,494.0,105375012.0,325963.5288,81.5182,15.0169,1.2
2024-06-30,563.25,75362269.0,371657.8089,86.5496,16.7907,1.2
2024-07-31,598.8,46850121.0,395115.3058,92.0123,16.7907,1.2
2024-08-31,650.3,70291131.0,429097.3336,99.9258,16.7907,1.2
2024-09-30,681.9,39989821.0,449948.4419,112.0104,20.5949,1.2
2024-10-31,576.0,41596384.0,380070.8352,94.615,17.3965,1.2
2024-11-30,644.55,49580502.0,425303.2237,105.8752,19.4668,1.2
2024-12-31,718.1,40803019.0,473834.8381,123.2191,21.7078,1.2
2025-01-31,703.9,49922832.0,464465.0363,120.7825,21.7078,1.2
2025-02-28,626.1,51473273.0,413129.0797,107.4328,21.7078,1.2
2025-03-31,664.35,43103836.0,438368.1586,194.4084,20.8474,1.2
2025-04-30,715.4,30761754.0,472053.2561,209.3471,22.4493,1.2
2025-05-31,655.55,41401876.0,432561.5209,191.8332,20.5712,1.2
2025-06-30,701.8,34367600.0,463079.3614,177.0734,22.2783,1.2
2025-07-31,655.5,20165428.0,432528.5286,165.3913,22.2783,1.2
2025-08-31,627.75,35637070.0,414217.8243,158.3896,22.2783,1.2
2025-09-30,617.4,33789351.0,407388.4265,138.7701,18.7943,1.2
2025-10-31,597.85,29146407.0,394488.4528,134.376,18.1992,1.2
2025-11-30,601.5,48365815.0,396896.8878,135.1964,18.3103,1.2
2025-12-31,558.6,40930363.0,368589.5287,116.8843,16.9953,1.2
2026-01-31,497.05,44889064.0,327976.0567,104.0053,16.9953,1.2
2026-02-28,519.9,51278854.0,343053.5195,108.7865,16.9953,1.2
2026-03-31,501.5,7143117.0,330912.3678,104.9364,16.9953,1.2
