KALYANKJ IN Equity,price,volume,mc,pe,bm,div
2022-03-31,58.75,24395308.0,60515.6171,26.9495,1.9291,0.0
2022-04-30,60.9,18326812.0,62730.2312,27.9358,1.9997,0.0
2022-05-31,60.15,25815405.0,61957.6914,27.5917,1.975,0.0
2022-06-30,59.9,7359871.0,61700.1781,27.4771,1.9668,0.0
2022-07-31,65.05,20589452.0,67004.9514,29.8394,2.1359,0.0
2022-08-31,81.65,90391152.0,84103.8321,37.4541,2.681,0.0
2022-09-30,96.3,144845190.0,99194.1094,44.1743,3.162,0.0
2022-10-31,102.5,164464548.0,105580.4383,47.0183,3.3656,0.0
2022-11-30,105.9,91399219.0,109082.6187,48.578,3.4773,0.0
2022-12-31,126.55,177328576.0,130353.2144,58.0505,4.1553,0.0
2023-01-31,117.95,76287895.0,121494.7581,54.1055,3.8729,0.0
2023-02-28,113.65,67061316.0,117065.5299,52.133,3.7317,0.0
2023-03-31,105.35,150075118.0,108516.0896,25.0833,2.9855,0.0
2023-04-30,102.7,43148015.0,105786.449,24.4524,2.9105,0.0
2023-05-31,105.65,57950442.0,108825.1055,25.1548,2.9941,0.0
2023-06-30,147.05,207952295.0,151469.302,35.0119,4.1673,0.0
2023-07-31,174.7,223060911.0,179950.2691,41.5952,4.9509,0.0
2023-08-31,251.8,138505500.0,259367.3598,59.9524,7.1358,0.5
2023-09-30,227.55,75317958.0,234388.5731,54.1786,6.4486,0.5
2023-10-31,288.7,102222034.0,297376.3176,68.7381,8.1816,0.5
2023-11-30,325.1,79972392.0,334870.2488,77.4048,9.2131,0.5
2023-12-31,354.1,49827224.0,364741.7875,84.3095,10.035,0.5
2024-01-31,350.2,62194661.0,360724.5806,83.381,9.9244,0.5
2024-02-29,396.85,111831472.0,408776.5557,94.4881,11.2465,0.5
2024-03-31,427.8,46168785.0,440656.6978,73.7586,10.5192,0.5
2024-04-30,414.1,39934318.0,426544.9709,71.3966,10.1824,0.5
2024-05-31,388.45,28690972.0,400124.11,66.9741,9.5517,0.5
2024-06-30,501.15,71566660.0,516491.9044,86.4052,12.3228,0.5
2024-07-31,579.4,63848275.0,597137.4028,99.8966,14.2469,0.5
2024-08-31,615.2,140169948.0,634033.3624,106.069,15.1272,1.2
2024-09-30,730.25,224849527.0,753057.379,125.9052,17.9562,1.2
2024-10-31,657.15,152679286.0,677674.2987,113.3017,16.1588,1.2
2024-11-30,724.45,164583227.0,747076.2318,124.9052,17.8136,1.2
2024-12-31,766.25,98513640.0,790337.3561,132.1121,18.8414,1.2
2025-01-31,503.1,596650962.0,518915.1372,86.7414,12.3708,1.2
2025-02-28,462.25,389807514.0,476781.0021,79.6983,11.3663,1.2
2025-03-31,467.25,210768004.0,481938.179,67.4242,10.0329,1.2
2025-04-30,516.55,172097037.0,532787.943,74.5382,11.0915,1.2
2025-05-31,560.4,88347017.0,578016.3841,80.8658,12.033,1.2
2025-06-30,555.85,75975347.0,573578.9163,80.2092,11.9353,1.2
2025-07-31,594.7,97977913.0,613668.0427,85.8153,12.7695,1.2
2025-08-31,504.15,150728075.0,520229.9374,72.7489,10.8252,1.2
2025-09-30,454.3,109532506.0,469088.6421,65.5556,9.7548,1.5
2025-10-31,509.7,70176338.0,526292.0556,73.5498,10.9444,1.5
2025-11-30,505.35,50462940.0,521800.4519,72.9221,10.851,1.5
2025-12-31,485.35,42377059.0,501202.823,70.0361,10.4215,1.5
2026-01-31,361.65,170300413.0,373462.4517,52.1861,7.7654,1.5
2026-02-28,410.1,209950627.0,423494.9577,59.1775,8.8058,1.5
2026-03-31,399.3,11342578.0,412342.1883,57.619,8.5739,1.5
