KPIL IN Equity,price,volume,mc,pe,bm,div
2007-03-31,217.73,5837280.0,28849.225,16.5502,4.4779,1.0
2007-04-30,230.38,8130540.0,30525.35,17.5118,4.7381,1.0
2007-05-31,274.28,3541815.0,36342.1,20.8487,5.6409,1.0
2007-06-30,296.72,3288565.0,39315.4,22.5545,6.1024,1.0
2007-07-31,295.97,3569995.0,39216.025,22.4975,6.087,1.5
2007-08-31,298.27,2432235.0,39520.775,22.6723,6.1343,1.5
2007-09-30,321.66,3582280.0,42619.95,24.4502,6.6154,1.5
2007-10-31,354.45,3741810.0,46964.625,26.9427,7.2897,1.5
2007-11-30,383.73,2117185.0,50844.225,29.1683,7.8919,1.5
2007-12-31,366.69,1775665.0,48586.425,27.8731,7.5415,1.5
2008-01-31,270.93,5055430.0,35898.225,20.5941,5.572,1.5
2008-02-29,249.11,1541030.0,33007.075,18.9355,5.1233,1.5
2008-03-31,215.53,2848190.0,28557.725,17.32,3.6466,1.5
2008-04-30,217.44,2766030.0,28810.7983,17.4735,3.6789,1.5
2008-05-31,196.39,6372700.0,26021.675,15.7819,3.3227,1.5
2008-06-30,156.68,8664510.0,20760.1,12.5908,2.6509,1.5
2008-07-31,150.86,6726080.0,19988.95,12.1231,2.5524,1.5
2008-08-31,163.82,3168960.0,21706.15,13.1646,2.7717,1.5
2008-09-30,146.09,4150550.0,19356.925,11.7398,2.4717,1.5
2008-10-31,91.18,4048795.0,12081.35,7.3272,1.5427,1.5
2008-11-30,61.08,6125045.0,8093.1,4.9084,1.0334,1.5
2008-12-31,55.59,16092710.0,7365.675,4.4672,0.9405,1.5
2009-01-31,55.98,7512930.0,7417.35,4.4986,0.9471,1.5
2009-02-28,46.27,3743220.0,6130.775,3.7183,0.7828,1.5
2009-03-31,65.21,7158250.0,8640.325,7.7872,0.9934,1.5
2009-04-30,78.31,9197525.0,10376.075,9.3516,1.1929,1.5
2009-05-31,144.51,12943980.0,19147.575,17.257,2.2014,1.5
2009-06-30,156.16,6439045.0,20691.2,18.6482,2.3788,1.5
2009-07-31,135.66,6237480.0,17974.95,16.2001,2.0666,1.5
2009-08-31,166.91,4449995.0,22115.575,19.9319,2.5426,1.5
2009-09-30,170.08,7324700.0,22535.6,20.3105,2.5909,1.5
2009-10-31,187.95,6197375.0,24903.375,22.4445,2.8631,1.5
2009-11-30,179.98,2196775.0,23847.35,21.4927,2.7417,1.5
2009-12-31,218.36,8893520.0,28932.7017,26.076,3.3264,1.5
2010-01-31,208.53,4004495.0,27630.225,24.9021,3.1766,1.5
2010-02-28,199.4,2474045.0,26420.5,23.8118,3.0375,1.5
2010-03-31,207.04,2799100.0,27432.7983,77.1961,2.671,1.5
2010-04-30,219.03,4332245.0,29021.475,81.6667,2.8256,1.5
2010-05-31,204.07,2195915.0,31316.6848,76.0887,2.6327,1.5
2010-06-30,211.81,2062700.0,32504.471,78.9747,2.7325,1.5
2010-07-31,200.62,1287525.0,30787.246,74.8024,2.5881,1.5
2010-08-31,196.89,2633230.0,30214.8384,73.4116,2.54,1.5
2010-09-30,179.35,3337798.0,27523.1589,66.8717,2.3137,1.5
2010-10-31,174.45,11101243.0,26771.202,65.0447,2.2505,1.5
2010-11-30,153.95,2013542.0,23625.2596,57.4012,1.9861,1.5
2010-12-31,169.35,2187977.0,25988.5529,63.1432,2.1847,1.5
2011-01-31,140.2,1749944.0,21515.1764,52.2744,1.8087,1.5
2011-02-28,121.15,1534139.0,18591.7519,45.1715,1.5629,1.5
2011-03-31,134.85,3628776.0,20694.1622,10.2704,1.258,1.5
2011-04-30,127.65,3403083.0,19589.2458,9.722,1.1908,1.5
2011-05-31,120.5,1822582.0,18492.0025,9.1775,1.1241,1.5
2011-06-30,125.0,1095636.0,19182.5752,9.5202,1.1661,1.5
2011-07-31,129.15,1808604.0,19819.4367,9.8363,1.2048,1.5
2011-08-31,115.85,1599833.0,17778.4107,8.8233,1.0807,1.5
2011-09-30,109.85,900204.0,16857.6471,8.3663,1.0248,1.5
2011-10-31,109.7,1332277.0,16834.628,8.3549,1.0234,1.5
2011-11-30,102.0,1061979.0,15652.9814,7.7685,0.9515,1.5
2011-12-31,93.6,900644.0,14363.9123,7.1287,0.8732,1.5
2012-01-31,103.35,1162108.0,15860.1532,7.8713,0.9641,1.5
2012-02-29,110.05,5613422.0,16888.3392,8.3816,1.0266,1.5
2012-03-31,108.4,3097422.0,16635.1292,8.8202,0.8985,1.5
2012-04-30,100.05,1315161.0,15353.7332,8.1408,0.8293,1.5
2012-05-31,82.35,1077554.0,12637.4806,6.7006,0.6826,1.5
2012-06-30,83.0,7104884.0,12737.2299,6.7535,0.688,1.5
2012-07-31,69.35,5000773.0,10642.4927,5.6428,0.5748,1.5
2012-08-31,64.6,3260399.0,9913.5549,5.2563,0.5355,1.5
2012-09-30,87.7,5936644.0,13458.4948,7.1359,0.7269,1.5
2012-10-31,88.0,9364432.0,13504.533,7.1603,0.7294,1.5
2012-11-30,83.15,3894755.0,12760.249,6.7657,0.6892,1.5
2012-12-31,94.2,4723664.0,14455.9887,7.6648,0.7808,1.5
2013-01-31,95.55,7451181.0,14663.1605,7.7746,0.792,1.5
2013-02-28,73.7,1877336.0,11310.0464,5.9967,0.6109,1.5
2013-03-31,82.0,2080148.0,12583.7693,9.7156,0.6462,1.5
2013-04-30,80.1,1896344.0,12292.1942,9.4905,0.6313,1.5
2013-05-31,71.8,2349227.0,11018.4712,8.5071,0.5658,1.5
2013-06-30,68.75,2090948.0,10550.4143,8.1457,0.5418,1.5
2013-07-31,61.45,3383359.0,9430.1521,7.2808,0.4843,1.5
2013-08-31,57.8,2819658.0,8870.021,6.8483,0.4555,1.5
2013-09-30,57.95,1086679.0,8893.0401,6.8661,0.4567,1.5
2013-10-31,77.4,2928097.0,11877.8482,9.1706,0.61,1.5
2013-11-30,78.7,3511537.0,12077.347,9.3246,0.6202,1.5
2013-12-31,89.7,9425377.0,13765.4132,10.628,0.7069,1.5
2014-01-31,76.9,2385274.0,11801.1179,9.1114,0.606,1.5
2014-02-28,82.05,6854133.0,12591.4399,9.7216,0.6466,1.5
2014-03-31,95.4,4955664.0,14640.1385,12.0,0.6974,1.5
2014-04-30,115.5,9007241.0,17724.696,14.5283,0.8444,1.5
2014-05-31,174.35,12660325.0,26755.8506,21.9308,1.2746,1.5
2014-06-30,186.4,6650476.0,28605.0505,23.4465,1.3627,1.5
2014-07-31,160.9,4919087.0,24691.8059,20.239,1.1763,1.5
2014-08-31,165.55,4192987.0,25405.3976,20.8239,1.2103,1.5
2014-09-30,154.3,6882081.0,23678.9661,19.4088,1.128,1.5
2014-10-31,170.25,4044626.0,26126.6623,21.4151,1.2446,1.5
2014-11-30,183.65,6547111.0,28183.0339,23.1006,1.3426,1.5
2014-12-31,215.7,17857885.0,33101.4452,27.1321,1.5769,1.5
2015-01-31,233.55,13384010.0,35840.7164,29.3774,1.7074,1.5
2015-02-28,236.0,4873444.0,36216.7957,29.6855,1.7253,1.5
2015-03-31,219.45,4827815.0,33676.9224,28.0268,1.5193,1.5
2015-04-30,230.6,8504913.0,35388.0077,29.4508,1.5965,1.5
2015-05-31,227.45,3420467.0,34904.6069,29.0485,1.5747,1.5
2015-06-30,260.75,5078083.0,40014.844,33.3014,1.8053,1.5
2015-07-31,271.3,3991976.0,41633.853,34.6488,1.8783,1.5
2015-08-31,249.0,2183085.0,38211.6823,31.8008,1.7239,1.5
2015-09-30,254.15,1517535.0,39002.0042,32.4585,1.7596,1.5
2015-10-31,260.25,2285236.0,39938.1137,33.2375,1.8018,1.5
2015-11-30,277.8,1820545.0,42631.3467,35.4789,1.9233,1.5
2015-12-31,256.45,1896681.0,39354.9635,32.7522,1.7755,1.5
2016-01-31,197.4,3271832.0,30293.1168,25.2107,1.3667,1.5
2016-02-29,165.5,1681798.0,25397.7245,21.1367,1.1458,1.5
2016-03-31,205.1,3701836.0,31474.7632,26.8455,1.3532,1.5
2016-04-30,209.05,1121193.0,32080.9324,27.3626,1.3793,1.5
2016-05-31,237.8,4501167.0,36492.9239,31.1257,1.569,1.5
2016-06-30,255.7,2468681.0,39239.8681,33.4686,1.6871,1.5
