LEMONTRE IN Equity,price,volume,mc,pe,bm,div
2018-04-30,75.55,194625672.0,59413.4782,419.7222,7.2912,0.0
2018-05-31,72.6,50514644.0,57093.5608,403.3333,7.0065,0.0
2018-06-30,76.85,31924543.0,60435.8147,426.9444,7.4167,0.0
2018-07-31,78.0,19407969.0,61340.1893,433.3333,7.5277,0.0
2018-08-31,78.55,16955452.0,62230.9597,436.3889,7.5808,0.0
2018-09-30,72.6,9207279.0,57517.0933,403.3333,7.0065,0.0
2018-10-31,69.25,10203649.0,54863.0676,384.7222,6.6832,0.0
2018-11-30,68.05,9630819.0,53912.3719,378.0556,6.5674,0.0
2018-12-31,73.6,11714690.0,58309.3398,408.8889,7.103,0.0
2019-01-31,69.9,10144740.0,55378.0278,388.3333,6.746,0.0
2019-02-28,76.05,9303178.0,60250.3436,422.5,7.3395,0.0
2019-03-31,80.65,30578577.0,63894.6773,120.3731,7.302,0.0
2019-04-30,75.0,21941233.0,59418.4848,111.9403,6.7905,0.0
2019-05-31,75.15,14288364.0,59537.3218,112.1642,6.8041,0.0
2019-06-30,66.85,9837124.0,52961.6761,99.7761,6.0526,0.0
2019-07-31,59.8,9578894.0,47376.3385,89.2537,5.4143,0.0
2019-08-31,54.0,77737491.0,42781.3091,80.597,4.8892,0.0
2019-09-30,57.05,81137996.0,45197.6608,85.1493,5.1653,0.0
2019-10-31,61.1,18718484.0,48406.259,91.194,5.532,0.0
2019-11-30,63.05,41736902.0,49951.1396,94.1045,5.7085,0.0
2019-12-31,64.0,12509830.0,50703.7737,95.5224,5.7946,0.0
2020-01-31,55.0,17768817.0,43573.5555,82.0896,4.9797,0.0
2020-02-29,51.6,24733119.0,40879.9175,77.0149,4.6719,0.0
2020-03-31,22.0,23019766.0,17429.4222,32.4627,1.7625,0.0
2020-04-30,17.6,51313676.0,13943.5378,32.4627,1.41,0.0
2020-05-31,18.0,69742759.0,14260.4364,32.4627,1.4421,0.0
2020-06-30,22.8,170062044.0,18063.2194,32.4627,1.8266,0.0
2020-07-31,23.6,52313742.0,18697.0166,32.4627,1.8907,0.0
