LIIL IN Equity,price,volume,mc,pe,bm,div
2013-12-31,329.5,469550.0,28101.1523,36.3286,1.9688,1.5
2014-01-31,282.4,447079.0,24084.2653,31.1356,1.6874,1.5
2014-02-28,287.35,902122.0,24506.4222,31.6814,1.7169,1.5
2014-03-31,312.9,514957.0,26685.4341,34.4983,1.8696,1.5
2014-04-30,317.65,476853.0,27090.5342,35.0221,1.898,1.5
2014-05-31,370.35,591322.0,31585.0129,40.8324,2.2129,1.5
2014-06-30,372.2,675801.0,31742.7887,41.0364,2.2239,1.5
2014-07-31,373.05,352705.0,31815.2803,41.1301,2.229,1.5
2014-08-31,379.8,327357.0,32390.9488,41.8743,2.2693,1.5
2014-09-30,385.45,1031234.0,32872.8047,42.4972,2.3031,1.5
2014-10-31,423.05,327954.0,36079.4916,46.6428,2.5278,1.5
2014-11-30,441.4,513226.0,37644.4571,48.6659,2.6374,1.5
2014-12-31,443.8,435176.0,37849.1393,704.4444,2.7245,1.5
2015-01-31,436.3,508816.0,37209.5076,692.5397,2.6784,1.5
2015-02-28,428.0,591523.0,36501.5505,679.3651,2.6275,1.5
2015-03-31,432.05,426891.0,36847.0496,685.7937,2.6524,1.5
2015-04-30,388.5,562010.0,33132.9216,616.6667,2.385,1.5
2015-05-31,388.75,190458.0,33154.2426,617.0635,2.3865,1.5
2015-06-30,377.15,111448.0,32164.9456,598.6508,2.3153,1.5
2015-07-31,367.45,247735.0,31337.6886,583.254,2.2558,1.5
2015-08-31,323.15,307439.0,27559.5975,512.9365,1.9838,1.5
2015-09-30,299.75,106931.0,25563.9466,475.7937,1.8402,1.5
2015-10-31,323.5,118836.0,27589.4469,513.4921,1.986,1.5
2015-11-30,318.0,54593.0,27120.3837,504.7619,1.9522,1.5
2015-12-31,316.5,97838.0,26992.4574,115.0909,1.9383,1.5
2016-01-31,287.2,71934.0,24493.6296,104.4364,1.7589,1.5
2016-02-29,247.05,53050.0,21069.4679,89.8364,1.513,1.5
2016-03-31,267.05,1334116.0,22775.1524,97.1091,1.6355,1.5
2016-04-30,264.0,862463.0,22515.0355,96.0,1.6168,1.5
2016-05-31,278.95,1435874.0,23790.0347,101.4364,1.7084,0.75
2016-06-30,328.55,1485784.0,28020.1323,119.4727,2.0121,0.75
2016-07-31,334.9,628667.0,28561.6871,121.7818,2.051,0.75
