MAHGL IN Equity,price,volume,mc,pe,bm,div
2016-07-31,508.8,42829657.0,50258.1338,14.7265,2.975,0.0
2016-08-31,652.25,19204224.0,64427.8061,18.8784,3.8137,0.0
2016-09-30,660.15,8859592.0,65208.1506,19.1071,3.8599,17.5
2016-10-31,767.65,9688096.0,75826.7618,22.2185,4.4885,17.5
2016-11-30,769.15,6350420.0,75974.9284,22.2619,4.4973,17.5
2016-12-31,787.85,4063300.0,77822.0729,22.8032,4.6066,17.5
2017-01-31,854.35,3049880.0,84390.7952,24.7279,4.9954,17.5
2017-02-28,873.85,6035894.0,86316.9619,25.2923,5.1095,25.5
2017-03-31,895.4,3140789.0,88445.623,25.9161,5.2355,25.5
2017-04-30,1031.2,3486783.0,101859.6391,29.8466,6.0295,25.5
2017-05-31,966.3,3346938.0,95448.9675,27.9682,5.65,25.5
2017-06-30,988.6,3005307.0,97651.7119,28.6136,5.7804,25.5
2017-07-31,999.3,4363789.0,98708.6342,28.9233,5.843,25.5
2017-08-31,1043.85,6094927.0,103109.1842,30.2127,6.1035,25.5
2017-09-30,1094.8,5321534.0,108141.912,31.6874,6.4014,19.0
2017-10-31,1202.2,4185403.0,118750.6455,34.7959,7.0293,19.0
2017-11-30,1108.55,7826381.0,109500.1047,32.0854,6.4818,19.0
2017-12-31,1094.5,3742920.0,108112.2769,31.6787,6.3996,19.0
2018-01-31,1021.4,4909716.0,100891.6214,29.563,5.9722,19.0
2018-02-28,1043.35,5005278.0,103059.7947,30.1983,6.1005,16.0
2018-03-31,958.05,3443007.0,94634.0502,19.8026,4.5164,16.0
2018-04-30,889.4,27659906.0,87852.9558,18.3836,4.1928,16.0
2018-05-31,818.95,9083144.0,80894.0613,16.9274,3.8607,16.0
2018-06-30,829.55,6042850.0,81941.1057,17.1465,3.9106,16.0
2018-07-31,911.8,8483117.0,90065.578,18.8466,4.2984,16.0
2018-08-31,865.75,48696014.0,85516.8613,17.8948,4.0813,16.0
2018-09-30,817.15,9716078.0,80716.2613,16.8902,3.8522,19.0
2018-10-31,837.25,6981457.0,82701.6946,17.3057,3.9469,19.0
2018-11-30,832.3,6772961.0,82212.7446,17.2034,3.9236,19.0
2018-12-31,904.4,6322684.0,89334.6224,18.6937,4.2635,19.0
2019-01-31,919.95,6064063.0,90870.6169,19.0151,4.3368,19.0
2019-02-28,899.1,8143018.0,88811.1002,18.5841,4.2385,20.5
2019-03-31,1055.05,10896619.0,104215.4947,19.0752,4.3444,20.5
2019-04-30,965.9,5999416.0,95409.4558,17.4634,3.9773,20.5
2019-05-31,892.1,7638286.0,88119.6558,16.1291,3.6734,20.5
2019-06-30,849.75,6548950.0,83936.4169,15.3634,3.499,20.5
2019-07-31,808.2,8550773.0,79832.2002,14.6122,3.3279,20.5
2019-08-31,845.25,26846172.0,83491.9169,15.282,3.4805,20.0
2019-09-30,911.7,9194401.0,90055.7002,16.4835,3.7541,20.0
2019-10-31,1019.75,11593687.0,100728.6391,18.437,4.199,20.0
2019-11-30,1043.65,18358549.0,103089.428,18.8691,4.2974,20.0
2019-12-31,1065.2,10238729.0,105218.0891,19.2587,4.3862,20.0
2020-01-31,1173.55,29012106.0,115920.6614,21.2177,4.8323,20.0
2020-02-29,1005.3,20128884.0,99301.3002,18.1757,4.1395,20.0
2020-03-31,818.45,17810769.0,80844.6724,10.1886,2.738,20.0
2020-04-30,972.75,14363185.0,96086.0835,12.1094,3.2542,20.0
2020-05-31,972.6,13069449.0,96071.2669,12.1076,3.2537,20.0
2020-06-30,1052.1,31065002.0,103924.1002,13.0972,3.5197,20.0
2020-07-31,974.45,22888458.0,96254.0058,12.1306,3.2599,20.0
2020-08-31,952.0,21798509.0,94036.4447,11.8511,3.1848,20.0
2020-09-30,830.05,25505689.0,81990.4946,10.333,2.7768,35.0
2020-10-31,814.9,22738765.0,80494.0097,10.1444,2.7261,35.0
2020-11-30,1063.9,30304436.0,105089.6759,13.2441,3.5591,35.0
