MAXHEALT IN Equity,price,volume,mc,pe,bm,div
2020-08-31,106.4,8537368.0,96242.2606,105.3465,2.2389,0.0
2020-09-30,115.35,104668273.0,104337.8266,114.2079,2.4272,0.0
2020-10-31,106.55,8869302.0,96377.9399,105.495,2.2421,0.0
2020-11-30,127.05,12922278.0,114920.8565,125.7921,2.6734,0.0
2020-12-31,140.15,14748148.0,126770.2325,138.7624,2.9491,0.0
2021-01-31,162.2,12054618.0,146715.1746,160.5941,3.4131,0.0
2021-02-28,181.3,21101424.0,163991.7457,179.505,3.815,0.0
2021-03-31,205.75,27320739.0,198743.1877,203.0693,3.5246,0.0
2021-04-30,226.95,26265076.0,219221.2221,203.0693,3.8878,0.0
2021-05-31,222.4,120830793.0,214826.1722,203.0693,3.8099,0.0
2021-06-30,254.5,47911466.0,245833.0073,203.0693,4.3598,0.0
2021-07-31,296.45,28789873.0,286354.397,203.0693,5.0784,0.0
2021-08-31,385.5,69729705.0,372371.7998,203.0693,6.6039,0.0
2021-09-30,359.55,140803264.0,347305.5269,203.0693,6.1593,0.0
2021-10-31,331.35,25579108.0,320065.8777,203.0693,5.6763,0.0
2021-11-30,380.2,25016327.0,368564.0927,203.0693,6.5131,0.0
2021-12-31,442.9,30902904.0,429430.7573,203.0693,7.5872,0.0
2022-01-31,367.45,30065018.0,356275.3031,203.0693,6.2947,0.0
2022-02-28,374.4,25891222.0,363023.2776,203.0693,6.4137,0.0
2022-03-31,347.65,146562674.0,337086.1176,55.624,5.3655,0.0
2022-04-30,413.85,47493651.0,401283.1931,66.216,6.3872,0.0
2022-05-31,380.35,15817880.0,368800.441,60.856,5.8702,0.0
2022-06-30,366.95,13815608.0,355807.3401,58.712,5.6634,0.0
2022-07-31,369.65,11124543.0,358425.3526,59.144,5.705,0.0
2022-08-31,388.25,331658107.0,376460.5527,62.12,5.9921,0.0
2022-09-30,407.9,59208380.0,395531.3544,65.264,6.2954,0.0
2022-10-31,456.3,51042051.0,442463.7337,73.008,7.0424,0.0
2022-11-30,450.1,65251534.0,436630.7237,72.016,6.9467,0.0
2022-12-31,439.55,33099166.0,426681.5263,70.328,6.7839,0.0
2023-01-31,441.7,29045034.0,428818.0196,70.672,6.817,0.0
2023-02-28,426.1,27419227.0,413683.8333,68.176,6.5763,0.0
2023-03-31,441.1,46843214.0,428246.747,38.761,5.78,0.0
2023-04-30,460.05,61574819.0,446750.478,40.4262,6.0283,0.0
2023-05-31,549.45,212555323.0,533566.0258,48.2821,7.1998,0.0
2023-06-30,599.45,63431563.0,582316.0603,52.6757,7.855,0.0
2023-07-31,594.9,36457864.0,577896.1119,52.2759,7.7953,0.0
2023-08-31,589.55,57238467.0,572706.3183,51.8058,7.7252,0.0
2023-09-30,567.4,37951573.0,551274.6736,49.8594,7.435,1.0
2023-10-31,573.75,34227982.0,557444.2086,50.4174,7.5182,1.0
2023-11-30,635.8,26541912.0,617886.9931,55.8699,8.3313,1.0
2023-12-31,686.25,34254146.0,666915.6165,60.3032,8.9923,1.0
2024-01-31,780.8,61547684.0,758801.7681,68.6116,10.2313,1.0
2024-02-29,793.35,67421901.0,771023.868,69.7144,10.3957,1.0
2024-03-31,819.9,93702388.0,796870.9833,75.2893,9.4774,1.0
2024-04-30,840.3,36623215.0,816697.9964,77.1625,9.7132,1.0
2024-05-31,751.8,44780056.0,730683.7483,69.0358,8.6902,1.0
2024-06-30,940.65,50196475.0,914229.4066,86.3774,10.8731,1.0
2024-07-31,922.25,32978549.0,896346.2183,84.6878,10.6605,1.0
2024-08-31,862.45,24243395.0,838237.5459,79.1965,9.9692,1.5
2024-09-30,985.75,59159753.0,958279.1712,90.5188,11.3945,1.5
2024-10-31,1017.6,43812240.0,989241.5771,93.4435,11.7626,1.5
2024-11-30,979.75,38480029.0,952446.3789,89.9679,11.3251,1.5
2024-12-31,1128.15,46491660.0,1096710.776,103.595,13.0405,1.5
2025-01-31,1061.25,47346451.0,1031675.141,97.4518,12.2672,1.5
2025-02-28,978.1,58712703.0,950852.142,89.8163,11.306,1.5
2025-03-31,1096.95,48961333.0,1066391.225,99.0921,11.3677,1.5
2025-04-30,1098.2,47121603.0,1067606.403,99.2051,11.3807,1.5
2025-05-31,1125.2,45085380.0,1093859.628,101.6441,11.6605,1.5
2025-06-30,1276.0,50768654.0,1240459.372,115.2665,13.2232,1.5
2025-07-31,1246.0,42558682.0,1211294.966,112.5565,12.9123,1.5
2025-08-31,1154.3,41193833.0,1122241.445,104.2728,11.962,1.5
2025-09-30,1114.7,114162640.0,1083751.95,100.6956,11.5517,1.5
2025-10-31,1147.8,61425030.0,1115932.976,103.6856,11.8947,1.5
2025-11-30,1162.8,52085198.0,1130767.784,105.0407,12.0501,1.5
2025-12-31,1045.1,63510434.0,1016641.252,94.4083,10.8304,1.5
2026-01-31,956.8,59058091.0,930967.795,86.4318,9.9153,1.5
2026-02-28,1091.95,65616748.0,1062568.656,98.6405,11.3159,1.5
2026-03-31,1058.5,9893508.0,1030018.702,95.6188,10.9693,1.5
