MGFL IN Equity,price,volume,mc,pe,bm,div
2005-03-31,0.41,3050800.0,49.32,2.7142,0.6835,0.0275
2005-04-30,0.41,2955600.0,48.75,2.6828,0.6756,0.0275
2005-05-31,0.5,6104840.0,60.3,3.3185,0.8357,0.0275
2005-06-30,0.53,4345400.0,63.75,3.5083,0.8835,0.0275
2005-07-31,0.59,2914720.0,71.25,3.9211,0.9874,0.03
2005-08-31,0.78,7281320.0,93.0,5.118,1.2889,0.03
2005-09-30,0.72,15116440.0,85.95,4.73,1.1912,0.03
2005-10-31,0.57,1976880.0,68.1,3.7477,0.9438,0.03
2005-11-30,0.67,1750320.0,80.7,4.4411,1.1184,0.03
2005-12-31,0.59,2072960.0,70.8,3.8963,0.9812,0.03
2006-01-31,0.65,2637640.0,78.0,4.2925,1.081,0.03
2006-02-28,0.59,1848040.0,71.25,3.9211,0.9874,0.03
2006-03-31,0.59,3290400.0,71.25,3.0893,0.8027,0.03
2006-04-30,0.63,1746240.0,75.0,3.2715,0.85,0.03
2006-05-31,0.74,5801080.0,88.65,3.8438,0.9987,0.03
2006-06-30,0.64,2118560.0,76.8,3.33,0.8652,0.03
2006-07-31,0.65,1074040.0,143.0,3.382,0.8787,0.0375
2006-08-31,0.81,4780200.0,177.925,4.208,1.0933,0.0375
2006-09-30,0.72,1380360.0,158.4,3.7462,0.9733,0.0375
2006-10-31,0.73,2069880.0,160.875,3.8048,0.9885,0.0375
2006-11-30,0.82,2242200.0,181.225,4.2861,1.1136,0.0375
2006-12-31,1.1,8784800.0,242.825,5.7429,1.4921,0.0375
2007-01-31,2.0,11922920.0,439.45,10.3932,2.7003,0.0375
2007-02-28,2.6,8755080.0,570.9,13.502,3.5081,0.0375
2007-03-31,2.15,2624660.0,473.0,4.456,1.6554,0.0375
2007-04-30,2.21,630260.0,486.2,4.5803,1.7016,0.0375
2007-05-31,4.52,5030240.0,994.95,9.3731,3.4822,0.0375
2007-06-30,3.99,4833060.0,878.35,8.2746,3.0741,0.0375
2007-07-31,3.99,2246720.0,878.35,8.2746,3.0741,0.0375
2007-08-31,3.62,1163560.0,796.4,7.5026,2.7873,0.0375
2007-09-30,3.49,2794300.0,767.8,7.2332,2.6872,0.09
2007-10-31,4.22,8249120.0,928.95,8.7513,3.2512,0.09
2007-11-30,4.5,6282820.0,990.0,9.3264,3.4648,0.09
2007-12-31,8.25,9485280.0,1815.0,17.0984,6.3522,0.09
2008-01-31,7.98,21300620.0,1756.15,16.544,6.1462,0.09
2008-02-29,8.01,2750600.0,1762.2,16.601,6.1674,0.09
2008-03-31,7.96,5866660.0,1751.75,8.3179,1.8683,0.15
2008-04-30,7.51,1341400.0,1651.65,7.8426,1.7616,0.15
2008-05-31,8.0,2212620.0,1761.1,8.3623,1.8783,0.15
2008-06-30,6.79,1214280.0,1493.8,7.0931,1.5932,0.15
2008-07-31,6.65,1148780.0,1461.9,6.9416,1.5592,0.15
2008-08-31,7.15,922180.0,1573.0,7.4692,1.6777,0.15
2008-09-30,6.81,10070840.0,1944.7121,7.1114,1.5973,0.1
2008-10-31,5.88,3482400.0,1679.0842,6.1399,1.3791,0.1
2008-11-30,6.0,2649840.0,1714.08,6.2678,1.4078,0.1
2008-12-31,6.13,1180660.0,1751.2184,6.4036,1.4383,0.1
2009-01-31,5.7,1951500.0,1627.6618,5.9518,1.3369,0.1
2009-02-28,6.7,5290640.0,1913.3419,6.9965,1.5715,0.1
