MHS IN Equity,price,volume,mc,pe,bm,div
2012-03-31,195.1,980612.0,27522.1333,8.9229,0.9985,3.0
2012-04-30,188.8,353094.0,26633.4124,8.6348,0.9662,3.0
2012-05-31,181.53,352096.0,25607.1514,8.3021,0.929,3.0
2012-06-30,167.43,1019638.0,23618.1095,7.6572,0.8568,3.0
2012-07-31,167.88,1307398.0,23681.5896,7.6778,0.8592,3.0
2012-08-31,164.65,376690.0,23226.6491,7.5303,0.8426,3.0
2012-09-30,170.13,320156.0,23998.9899,7.7807,0.8707,3.0
2012-10-31,165.63,1532510.0,23364.1892,7.5749,0.8476,3.0
2012-11-30,149.23,521190.0,21050.6937,6.8248,0.7637,3.0
2012-12-31,136.18,950382.0,19209.7719,6.228,0.6969,3.0
2013-01-31,119.48,1000912.0,16853.9563,5.4642,0.6114,3.0
2013-02-28,106.73,2603602.0,15055.3545,4.8811,0.5462,3.0
2013-03-31,110.98,1117506.0,15654.8885,10.2707,0.5562,3.0
2013-04-30,108.45,5498596.0,15298.6948,10.037,0.5435,3.0
2013-05-31,114.9,848816.0,16208.5757,10.634,0.5759,3.0
2013-06-30,103.48,1043512.0,14596.8922,9.5766,0.5186,3.0
2013-07-31,98.08,1485190.0,13835.1312,9.0768,0.4915,3.0
2013-08-31,95.03,832118.0,13404.8773,8.7945,0.4763,3.0
2013-09-30,92.0,3142924.0,12978.1501,8.5146,0.4611,3.0
2013-10-31,79.35,969770.0,11193.6544,7.3438,0.3977,3.0
2013-11-30,83.7,1105086.0,11807.2952,7.7464,0.4195,3.0
2013-12-31,82.3,881846.0,11609.8017,7.6168,0.4125,3.0
2014-01-31,83.53,3150164.0,11782.6085,7.7302,0.4186,3.0
2014-02-28,82.75,447840.0,11673.2817,7.6585,0.4147,3.0
2014-03-31,96.58,3793056.0,13188.8859,13.2204,0.4713,3.0
2014-04-30,107.93,6683926.0,14461.8693,14.7741,0.5266,3.0
2014-05-31,150.0,3839084.0,20099.8878,20.5339,0.7319,3.0
2014-06-30,157.05,5457666.0,21044.5826,21.499,0.7663,3.0
2014-07-31,152.48,4103028.0,20431.536,20.8727,0.744,3.0
2014-08-31,178.1,7999204.0,23865.2668,24.3806,0.8691,3.0
2014-09-30,160.55,4470700.0,21513.58,21.9781,0.7834,3.0
2014-10-31,157.1,2573752.0,21051.2825,21.5058,0.7666,3.0
2014-11-30,146.82,5076234.0,19674.4402,20.0992,0.7165,3.0
2014-12-31,120.98,2948256.0,16210.5595,16.5606,0.5903,3.0
2015-01-31,103.25,3871750.0,13835.4228,14.1342,0.5038,3.0
2015-02-28,107.18,3853076.0,14361.45,14.6715,0.523,3.0
2015-03-31,98.58,4261658.0,13208.9763,11.227,0.4502,3.0
2015-04-30,105.63,2257618.0,14153.671,12.0299,0.4824,3.0
2015-05-31,101.03,1739240.0,13537.2745,11.506,0.4614,3.0
2015-06-30,96.85,789086.0,12977.8276,11.0305,0.4423,3.0
2015-07-31,92.9,2156030.0,12448.5305,10.5806,0.4243,3.0
2015-08-31,84.05,5583868.0,11262.6372,9.5727,0.3838,2.5
2015-09-30,72.2,1113644.0,9674.746,8.2231,0.3297,2.5
2015-10-31,76.43,1133682.0,10240.8929,8.7043,0.349,2.5
2015-11-30,74.63,1705722.0,9999.6942,8.4992,0.3408,2.5
2015-12-31,87.6,2143656.0,11738.3345,9.977,0.4001,2.5
2016-01-31,73.7,574982.0,9875.7449,8.3939,0.3366,2.5
2016-02-29,66.22,739504.0,8874.1005,7.5425,0.3024,2.5
2016-03-31,71.88,3336354.0,9631.1963,8.2287,0.4184,2.5
2016-04-30,101.48,5517700.0,13597.5741,8.2287,0.5907,2.5
2016-05-31,117.33,6634658.0,15721.4623,8.2287,0.683,2.5
