MRF IN Equity,price,volume,mc,pe,bm,div
2006-09-30,3873.55,111648.0,16428.1123,20.7166,1.9931,20.0
2006-10-31,4186.3,237754.0,17754.5162,22.3893,2.154,20.0
2006-11-30,4579.9,189872.0,19423.8131,24.4943,2.3565,20.0
2006-12-31,4293.2,101080.0,18207.8898,22.961,2.209,20.0
2007-01-31,4073.55,66754.0,17276.3322,21.7863,2.096,20.0
2007-02-28,3708.85,37955.0,15729.6031,19.8358,1.9083,20.0
2007-03-31,3347.1,74198.0,14195.3853,17.901,1.7222,20.0
2007-04-30,3673.35,69027.0,15579.0441,19.6459,1.8901,20.0
2007-05-31,4141.9,105282.0,17566.2114,22.1518,2.1311,20.0
2007-06-30,4037.2,31954.0,17122.1683,21.5919,2.0773,20.0
2007-07-31,4076.95,71194.0,17290.752,21.8044,2.0977,20.0
2007-08-31,3838.7,34797.0,16280.3099,20.5302,1.9751,20.0
2007-09-30,3759.95,50904.0,15945.9486,9.3594,1.6213,20.0
2007-10-31,8152.7,617045.0,34575.6021,20.2939,3.5155,20.0
2007-11-30,7062.4,713661.0,29951.6396,17.5799,3.0454,20.0
2007-12-31,7196.1,346856.0,30518.6614,17.9127,3.103,20.0
2008-01-31,4875.9,138289.0,20678.6928,12.1372,2.1025,20.0
2008-02-29,4598.75,76733.0,19503.2996,11.4473,1.983,20.0
2008-03-31,3989.05,69903.0,16917.5617,9.9296,1.7201,20.0
2008-04-30,4546.85,71443.0,19283.1922,11.3181,1.9607,20.0
2008-05-31,4067.3,59278.0,17249.4203,10.1244,1.7539,20.0
2008-06-30,3417.3,53613.0,14492.7702,8.5064,1.4736,20.0
2008-07-31,3400.45,54568.0,14421.3088,8.4645,1.4663,20.0
2008-08-31,3559.55,105213.0,15096.0524,8.8605,1.5349,20.0
2008-09-30,3081.4,46649.0,13068.2174,9.1109,1.17,20.0
2008-10-31,2020.2,93538.0,8567.6683,5.9732,0.7671,20.0
2008-11-30,1692.55,67888.0,7178.1051,5.0044,0.6426,20.0
2008-12-31,2003.15,53688.0,8495.3595,5.9228,0.7606,20.0
2009-01-31,1688.0,49495.0,7158.8083,4.991,0.6409,20.0
2009-02-28,1647.4,24450.0,6986.6237,4.8709,0.6255,20.0
2009-03-31,1738.75,54811.0,7374.0391,5.141,0.6602,20.0
2009-04-30,2234.0,113893.0,9474.3944,6.6053,0.8482,20.0
2009-05-31,3161.9,145820.0,13409.6179,9.3489,1.2005,20.0
2009-06-30,3387.9,221517.0,14368.084,10.0171,1.2864,20.0
2009-07-31,4640.8,509198.0,19681.6328,13.7216,1.7621,20.0
2009-08-31,4287.8,182233.0,18184.5598,12.6779,1.628,20.0
2009-09-30,5746.45,700316.0,24370.6963,9.7183,1.7977,20.0
2009-10-31,5289.85,597719.0,22434.2553,8.9461,1.6549,20.0
2009-11-30,5960.1,635455.0,25276.7857,10.0797,1.8645,20.0
2009-12-31,6045.95,1162413.0,25640.8758,10.2248,1.8914,20.0
2010-01-31,5802.95,548862.0,24610.3128,9.8139,1.8154,20.0
2010-02-28,5659.6,232158.0,24002.3651,9.5715,1.7705,25.0
2010-03-31,6784.35,1074464.0,28772.4301,11.4736,2.1224,25.0
2010-04-30,7086.75,576482.0,30054.908,11.985,2.217,25.0
2010-05-31,7327.25,385484.0,31074.8685,12.3918,2.2922,25.0
