MRL IN Equity,price,volume,mc,pe,bm,div
2010-03-31,294.9,5644847.0,43913.8526,7.2797,1.2684,0.0
2010-04-30,277.9,3576283.0,41382.3656,6.86,1.1953,0.0
2010-05-31,249.0,3280538.0,37078.8379,6.1466,1.071,0.0
2010-06-30,252.4,7138725.0,37585.1353,6.2306,1.0856,0.0
2010-07-31,258.85,7497894.0,38545.6112,6.3898,1.1134,0.0
2010-08-31,237.45,7328112.0,35358.9159,5.8615,1.0213,12.0
2010-09-30,252.15,7058681.0,37547.9075,6.2244,1.0845,12.0
2010-10-31,240.5,3616179.0,35813.0944,5.9368,1.0344,12.0
2010-11-30,229.7,1753777.0,34204.8557,5.6702,0.988,12.0
2010-12-31,247.25,1814754.0,36818.2436,6.1034,1.0635,12.0
2011-01-31,213.15,2514034.0,31740.3787,5.2617,0.9168,12.0
2011-02-28,187.5,3277019.0,27920.8117,4.6285,0.8065,12.0
2011-03-31,223.1,2223433.0,33222.0431,6.4949,0.8822,12.0
2011-04-30,223.85,1863728.0,33333.7263,6.5167,0.8851,12.0
2011-05-31,229.75,3388493.0,34212.3012,6.6885,0.9085,12.0
2011-06-30,225.05,1969848.0,33512.4195,6.5517,0.8899,12.0
2011-07-31,219.3,1511588.0,32656.1813,6.3843,0.8672,12.0
2011-08-31,203.75,1911864.0,30340.6153,5.9316,0.8057,12.0
2011-09-30,204.8,1114196.0,30496.9719,5.9622,0.8098,12.0
2011-10-31,198.85,820726.0,29610.9515,5.7889,0.7863,12.0
2011-11-30,178.6,934457.0,26595.5038,5.1994,0.7062,12.0
2011-12-31,155.35,355910.0,23133.3231,4.5226,0.6143,12.0
2012-01-31,169.95,349074.0,25307.4237,4.9476,0.672,12.0
2012-02-29,173.45,862217.0,25828.6122,5.0495,0.6859,12.0
2012-03-31,153.15,643009.0,22805.7821,36.9036,0.6012,12.0
2012-04-30,150.2,622161.0,22366.4934,36.1928,0.5897,12.0
2012-05-31,132.15,472553.0,19678.6425,31.8434,0.5188,12.0
2012-06-30,120.9,2587140.0,18003.3892,29.1325,0.4746,12.0
2012-07-31,121.4,1833397.0,18077.8449,29.253,0.4766,12.0
2012-08-31,133.25,1139895.0,19842.445,32.1084,0.5231,2.0
2012-09-30,129.0,1134696.0,19209.5716,31.0843,0.5064,2.0
2012-10-31,129.7,890359.0,19313.8095,31.253,0.5092,2.0
