NACL IN Equity,price,volume,mc,pe,bm,div
2014-03-31,39.75,11178430.0,102445.2314,15.9639,0.8451,1.6
2014-04-30,38.2,28284574.0,98450.5117,15.3414,0.8121,1.6
2014-05-31,49.15,164113989.0,126671.2735,19.739,1.0449,1.6
2014-06-30,59.0,169666915.0,152057.073,23.6948,1.2543,1.6
2014-07-31,57.95,90884743.0,149350.9725,23.2731,1.232,1.6
2014-08-31,56.5,42478167.0,145613.9767,22.6908,1.2012,1.6
2014-09-30,57.65,78061081.0,148577.801,23.1526,1.2256,1.5
2014-10-31,57.3,24003029.0,147675.7675,23.012,1.2182,1.5
2014-11-30,60.6,36279219.0,156180.6546,24.3373,1.2884,1.5
2014-12-31,53.65,37360763.0,138268.8469,21.5462,1.1406,1.5
2015-01-31,45.3,28633051.0,116748.9052,18.1928,0.9631,1.5
2015-02-28,47.2,28731964.0,121645.6814,18.9558,1.0035,1.5
2015-03-31,46.65,16622349.0,120228.1772,9.0936,0.9395,1.65
2015-04-30,47.5,18098674.0,122418.83,9.2593,0.9566,1.65
2015-05-31,48.45,23964972.0,124867.2066,9.4444,0.9757,1.65
2015-06-30,40.0,28208805.0,103089.541,7.7973,0.8056,1.65
2015-07-31,35.45,27283866.0,91363.1057,6.9103,0.7139,1.65
2015-08-31,32.3,43067176.0,83244.8044,6.2963,0.6505,1.65
2015-09-30,35.15,47554316.0,90589.9342,6.8519,0.7079,1.75
2015-10-31,38.5,43935966.0,99223.6832,7.5049,0.7753,1.75
2015-11-30,40.5,14340489.0,104378.1603,7.8947,0.8156,1.75
2015-12-31,39.95,19084225.0,102960.6791,7.7875,0.8046,1.75
2016-01-31,34.5,22552874.0,88914.7291,6.7251,0.6948,1.75
2016-02-29,32.9,19762573.0,84791.1475,6.4133,0.6626,1.75
2016-03-31,39.5,33052071.0,101800.9218,12.9508,0.7715,1.75
2016-04-30,46.15,30153183.0,118939.5579,15.1311,0.9014,1.75
2016-05-31,42.9,21205715.0,110563.5327,14.0656,0.8379,1.75
