NAM IN Equity,price,volume,mc,pe,bm,div
2017-11-30,263.5,78248402.0,161262.0,38.4672,0.1647,0.0
2017-12-31,300.2,18753121.0,183722.4,43.8248,0.1877,0.0
2018-01-31,284.55,13312394.0,174144.6,41.5401,0.1779,5.0
2018-02-28,273.85,5770706.0,167596.2,39.9781,0.1712,5.0
2018-03-31,247.45,4280242.0,151439.4,32.4312,6.4025,5.0
2018-04-30,254.05,2763138.0,155478.6,33.2962,6.5733,5.0
2018-05-31,224.1,5100482.0,137149.2,29.3709,5.7984,5.0
2018-06-30,229.3,3407109.0,140331.6,30.0524,5.9329,5.0
2018-07-31,252.85,3354742.0,154744.2,33.1389,6.5422,5.0
2018-08-31,235.75,5694476.0,144279.0,30.8978,6.0998,5.0
2018-09-30,174.65,7038907.0,106885.8,22.8899,4.5189,6.0
2018-10-31,166.75,6069380.0,102051.0,21.8545,4.3145,6.0
2018-11-30,172.5,2940277.0,105570.0,22.6081,4.4633,6.0
2018-12-31,158.75,2909676.0,97155.0,20.806,4.1075,6.0
2019-01-31,136.3,3160289.0,83415.6,17.8637,3.5266,4.0
2019-02-28,182.2,18620098.0,111506.4,23.8794,4.7142,4.0
2019-03-31,209.7,20985139.0,128336.4,26.4106,4.9936,4.0
2019-04-30,197.9,14795616.0,121114.8,24.9244,4.7126,4.0
2019-05-31,220.3,30609813.0,134823.6,27.7456,5.246,6.0
2019-06-30,221.3,28421142.0,135435.6,27.8715,5.2698,6.0
2019-07-31,227.4,20668419.0,139168.8,28.6398,5.4151,6.0
2019-08-31,272.9,12971686.0,167014.8,34.3703,6.4986,6.0
2019-09-30,260.35,57800709.0,159343.9527,32.7897,6.1997,6.0
2019-10-31,362.15,66799506.0,221649.3661,45.6108,8.6239,6.0
2019-11-30,360.1,71651288.0,220394.6893,45.3526,8.5751,6.0
2019-12-31,354.5,36857595.0,216968.012,44.6474,8.4417,6.0
2020-01-31,363.65,33813962.0,222568.1736,45.7997,8.6596,6.0
2020-02-29,390.5,59276029.0,239013.4553,49.1814,9.299,6.0
2020-03-31,249.2,57221798.0,152538.2773,36.7552,5.8826,6.0
2020-04-30,246.75,61305824.0,151038.6032,36.3938,5.8247,6.0
2020-05-31,255.2,23954484.0,156210.9485,37.6401,6.0242,6.0
2020-06-30,314.35,37640320.0,192417.3654,46.3643,7.4205,5.0
2020-07-31,265.85,22041629.0,162734.3264,39.2109,6.2756,5.0
2020-08-31,272.6,30390472.0,166946.2031,40.2065,6.435,5.0
2020-09-30,262.1,18524559.0,160517.3293,38.6578,6.1871,5.0
2020-10-31,271.85,10908316.0,166526.0978,40.0959,6.4173,5.0
2020-11-30,290.4,13604661.0,177889.1992,42.8319,6.8551,5.0
2020-12-31,297.4,24562252.0,182219.2599,43.8643,7.0204,5.0
2021-01-31,322.15,34612868.0,197462.2829,47.5147,7.6046,5.0
2021-02-28,329.8,18054433.0,202181.2328,48.6431,7.7852,5.0
2021-03-31,338.3,23510221.0,208157.7079,30.6431,6.726,5.0
2021-04-30,341.7,18816652.0,210668.4944,30.9511,6.7936,5.0
2021-05-31,370.5,18252721.0,228622.036,33.5598,7.3662,5.0
2021-06-30,366.2,25371515.0,226455.8092,33.1703,7.2807,8.0
2021-07-31,399.1,46506255.0,247085.4955,36.1504,7.9348,8.0
2021-08-31,424.1,34408477.0,262987.8109,38.4149,8.4318,8.0
2021-09-30,425.35,35762772.0,263866.7606,38.5281,8.4567,8.0
2021-10-31,418.35,29340308.0,259524.296,37.894,8.3175,8.0
2021-11-30,366.3,7655818.0,227537.3813,33.1793,7.2827,11.5
2021-12-31,351.85,21992370.0,218788.8828,31.8705,6.9954,11.5
2022-01-31,343.5,13908525.0,213624.5849,31.1141,6.8294,11.5
2022-02-28,307.8,12905100.0,191453.7528,27.8804,6.1196,8.5
2022-03-31,347.65,15144190.0,216244.5327,28.9708,6.2164,8.5
2022-04-30,316.5,14445231.0,196880.6075,26.375,5.6594,8.5
2022-05-31,284.0,13991338.0,176665.5035,23.6667,5.0783,8.5
2022-06-30,271.25,11378052.0,168849.2524,22.6042,4.8503,11.0
