NEWGEN IN Equity,price,volume,mc,pe,bm,div
2018-01-31,124.78,39088692.0,17277.7687,30.2119,6.4207,0.0
2018-02-28,121.75,8603442.0,16858.8932,29.4794,6.265,0.0
2018-03-31,115.9,3366784.0,16048.8355,20.2622,3.9605,0.0
2018-04-30,125.58,2979914.0,17388.5463,21.9537,4.2911,0.0
2018-05-31,133.5,5470534.0,18485.9322,23.3392,4.5619,0.0
2018-06-30,126.68,2258194.0,17540.8648,22.146,4.3287,0.0
2018-07-31,120.28,1007404.0,16654.6479,21.0271,4.11,0.0
2018-08-31,119.55,3792096.0,16554.2561,20.9003,4.0852,1.0
2018-09-30,109.28,1502214.0,15131.4625,19.104,3.7341,1.0
2018-10-31,123.68,1410006.0,17125.4506,21.6215,4.2262,1.0
2018-11-30,161.53,9857126.0,22366.5932,28.2386,5.5196,1.0
2018-12-31,147.43,4118482.0,20414.1464,25.7736,5.0378,1.0
2019-01-31,139.82,1803424.0,19361.7638,24.4449,4.7781,1.0
2019-02-28,148.32,1002342.0,20538.7707,25.9309,5.0685,1.0
2019-03-31,164.33,3615832.0,22754.3131,21.8954,4.5296,1.0
2019-04-30,157.48,2162494.0,21916.0165,20.9827,4.3407,1.0
2019-05-31,157.57,1814860.0,21929.9337,20.996,4.3435,1.0
2019-06-30,154.9,803266.0,21557.6502,20.6396,4.2698,1.0
2019-07-31,148.85,1276204.0,20715.6632,19.8334,4.103,1.0
2019-08-31,142.63,838928.0,19849.3212,19.004,3.9314,1.5
2019-09-30,133.55,725138.0,18586.3407,17.7948,3.6813,1.5
2019-10-31,88.35,2695004.0,12295.7934,11.7722,2.4353,1.5
2019-11-30,96.55,3641758.0,13436.9989,12.8648,2.6614,1.5
2019-12-31,97.48,513922.0,13565.7324,12.988,2.6869,1.5
2020-01-31,112.48,2331536.0,15653.3034,14.9867,3.1003,1.5
2020-02-29,98.35,1690864.0,13760.2864,13.1046,2.711,1.5
2020-03-31,52.98,3341006.0,7411.8065,10.0331,1.3332,1.5
2020-04-30,67.7,2711360.0,9472.0019,12.822,1.7038,1.5
2020-05-31,69.3,4301614.0,9695.8602,13.125,1.744,1.5
2020-06-30,74.63,7676602.0,10440.8884,14.1335,1.878,1.5
2020-07-31,87.18,7433556.0,12196.7765,16.5104,2.1939,1.0
2020-08-31,100.18,4944594.0,14015.6247,18.9725,2.521,1.0
2020-09-30,108.38,3854836.0,15162.8982,20.5256,2.7274,1.0
2020-10-31,129.82,12661020.0,18163.9978,24.5881,3.2672,1.0
2020-11-30,135.57,5513156.0,18968.4883,25.6771,3.4119,1.0
2020-12-31,134.2,3544900.0,18776.1101,25.4167,3.3773,1.0
2021-01-31,145.8,9483340.0,20399.0824,27.6136,3.6692,1.0
2021-02-28,146.13,4853204.0,20444.5536,27.6752,3.6774,1.0
2021-03-31,141.53,3008778.0,19800.9612,15.4841,2.9468,1.0
2021-04-30,157.5,5168574.0,22036.0458,17.2319,3.2795,1.0
2021-05-31,206.28,15003896.0,28860.2244,22.5684,4.2951,1.0
2021-06-30,318.8,42706412.0,44603.755,34.8796,6.6381,1.0
