NFIL IN Equity,price,volume,mc,pe,bm,div
2007-09-30,65.82,2125540.0,3323.9101,20.4865,1.7165,0.8
2007-10-31,58.58,2456160.0,2958.2901,18.233,1.5277,0.8
2007-11-30,74.47,3985380.0,3760.7351,23.1788,1.9421,0.8
2007-12-31,78.02,3314985.0,3940.0101,24.2838,2.0347,0.8
2008-01-31,57.94,3552465.0,2925.9701,18.0338,1.511,0.8
2008-02-29,59.43,1804540.0,3001.2151,18.4976,1.5499,0.8
2008-03-31,44.11,2863145.0,2227.5551,393.8393,1.1539,0.8
2008-04-30,49.84,2018770.0,2516.9201,445.0,1.3038,0.8
2008-05-31,56.15,8875830.0,2835.5751,501.3393,1.4689,0.8
2008-06-30,49.18,2337660.0,2483.5901,439.1071,1.2866,0.8
2008-07-31,55.4,2894475.0,2797.7001,494.6429,1.4493,0.8
2008-08-31,48.18,986395.0,2433.0901,430.1786,1.2604,0.8
2008-09-30,36.01,842865.0,1818.5051,321.5179,0.942,0.8
2008-10-31,27.86,1386445.0,1406.9301,248.75,0.7288,0.8
2008-11-30,22.62,683175.0,1142.31,201.9643,0.5918,2.0
2008-12-31,25.05,725505.0,1265.025,223.6607,0.6553,2.0
2009-01-31,23.82,816540.0,1202.91,212.6786,0.6231,2.0
2009-02-28,18.79,1494615.0,948.895,167.7679,0.4916,2.0
2009-03-31,17.01,2378275.0,859.005,1.9766,0.377,2.0
2009-04-30,24.65,2160490.0,1244.825,2.8644,0.5464,2.0
2009-05-31,37.95,4578590.0,1916.4751,4.4099,0.8412,2.0
2009-06-30,33.43,2236120.0,1688.2151,3.8847,0.741,2.0
2009-07-31,42.97,3970230.0,2169.9851,4.9933,0.9524,2.0
2009-08-31,47.93,2265685.0,2420.4651,5.5697,1.0624,2.0
2009-09-30,51.59,3577780.0,2605.2951,5.995,1.1435,2.0
2009-10-31,57.72,4423890.0,2914.8601,6.7073,1.2794,2.0
2009-11-30,60.51,1891240.0,3055.7551,7.0315,1.3412,2.3
2009-12-31,67.62,10908935.0,3414.8101,7.8577,1.4988,2.3
2010-01-31,66.65,6981165.0,3365.8251,7.745,1.4773,2.3
2010-02-28,62.24,2756245.0,3143.1201,7.2325,1.3796,2.3
2010-03-31,60.04,3568435.0,3032.0201,3.6771,1.0178,2.3
2010-04-30,66.16,5057625.0,3341.0801,4.0519,1.1215,2.3
2010-05-31,57.75,2132910.0,2916.3751,3.5369,0.979,2.3
2010-06-30,56.85,1878425.0,2870.9251,3.4817,0.9637,2.8
2010-07-31,57.24,2489695.0,2890.6201,3.5056,0.9703,2.8
2010-08-31,57.08,5281475.0,2882.5401,3.4958,0.9676,2.8
2010-09-30,60.81,31296580.0,3070.9051,3.7243,1.0309,2.8
2010-10-31,56.44,8207635.0,2850.2201,3.4566,0.9568,2.8
2010-11-30,53.18,11603585.0,2685.5901,3.257,0.9015,2.8
2010-12-31,58.41,5852700.0,2949.7051,3.5773,0.9902,2.8
2011-01-31,55.44,18034220.0,2799.7201,3.3954,0.9398,2.8
2011-02-28,47.18,1985435.0,2382.5901,2.8895,0.7998,2.8
2011-03-31,50.17,4752955.0,2533.5851,3.5426,0.7229,2.8
2011-04-30,53.64,2321555.0,2708.8201,3.7876,0.7729,2.8
2011-05-31,58.65,3382410.0,2961.8251,4.1414,0.8451,2.8
2011-06-30,57.64,2830670.0,2910.8201,4.07,0.8305,3.0
2011-07-31,70.78,12000785.0,3574.3901,4.9979,1.0199,3.0
2011-08-31,66.01,3384745.0,3333.5051,4.6611,0.9511,3.0
2011-09-30,69.64,3639205.0,3516.8201,4.9174,1.0034,3.0
2011-10-31,79.35,7510595.0,4007.1752,5.603,1.1433,3.0
2011-11-30,68.82,3346315.0,3475.4101,4.8595,0.9916,3.4
2011-12-31,56.42,1603675.0,2849.2101,3.9839,0.8129,3.4
2012-01-31,73.15,2061260.0,3694.0751,5.1652,1.054,3.4
2012-02-29,69.13,1586260.0,3491.0651,4.8814,0.9961,3.4
2012-03-31,70.88,1609045.0,3579.4046,1.5899,0.7242,3.4
2012-04-30,75.32,2396970.0,3676.0302,1.6895,0.7695,3.4
2012-05-31,86.1,12840095.0,4202.1535,1.9313,0.8797,3.4
2012-06-30,64.6,7236260.0,3152.8352,1.449,0.66,15.0
2012-07-31,58.73,1983750.0,2866.347,1.3173,0.6,15.0
2012-08-31,57.38,1212935.0,2800.4595,1.2871,0.5862,15.0
2012-09-30,59.04,1504365.0,2881.4767,1.3243,0.6032,15.0
2012-10-31,58.42,3025135.0,2851.2173,1.3104,0.5969,14.8
2012-11-30,58.53,936595.0,2856.5859,1.3129,0.598,14.8
2012-12-31,58.53,887300.0,2856.5859,1.3129,0.598,14.8
